DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Attack 1 EzState Anime Number,Attack 1 EzState Anime Number,0,65535,100,u16,1,%d,u16,Wrap
Attack 2 EzState Anime Number,Attack 2 EzState Anime Number,0,65535,600,u16,1,%d,u16,Wrap
Attack 3 EzState Anime Number,Attack 3 EzState Anime Number,0,65535,1100,u16,1,%d,u16,Wrap
Attack 4 EzState Anime Number,Attack 4 EzState Anime Number,0,65535,1600,u16,1,%d,u16,Wrap
Attack 5 EzState Anime Number,Attack 5 EzState Anime Number,0,65535,2100,u16,1,%d,u16,Wrap
Attack 6 EzState Anime Number,Attack 6 EzState Anime Number,0,65535,2600,u16,1,%d,u16,Wrap
Attack 7 EzState Anime Number,Attack 7 EzState Anime Number,0,65535,3100,u16,1,%d,u16,Wrap
Attack 8 EzState Anime Number,Attack 8 EzState Anime Number,0,65535,3600,u16,1,%d,u16,Wrap
Attack 9 EzState Anime Number,Attack 9 EzState Anime Number,0,65535,4100,u16,1,%d,u16,Wrap
Attack 10 EzState Anime Number,Attack 10 EzState Anime Number,0,65535,4600,u16,1,%d,u16,Wrap
Attack 11 EzState Anime Number,Attack 11 EzState Anime Number,0,65535,5100,u16,1,%d,u16,Wrap
Attack 12 EzState Anime Number,Attack 12 EzState Anime Number,0,65535,5600,u16,1,%d,u16,Wrap
Attack 13 EzState Anime Number,Attack 13 EzState Anime Number,0,65535,6100,u16,1,%d,u16,Wrap
Attack 14 EzState Anime Number,Attack 14 EzState Anime Number,0,65535,6600,u16,1,%d,u16,Wrap
Attack 15 EzState Anime Number,Attack 15 EzState Anime Number,0,65535,7100,u16,1,%d,u16,Wrap
Attack 16 EzState Anime Number,Attack 16 EzState Anime Number,0,65535,7600,u16,1,%d,u16,Wrap
Attack 17 EzState Anime Number,Attack 17 EzState Anime Number,0,65535,8100,u16,1,%d,u16,Wrap
Attack 18 EzState Anime Number,Attack 18 EzState Anime Number,0,65535,8600,u16,1,%d,u16,Wrap
Attack 19 EzState Anime Number,Attack 19 EzState Anime Number,0,65535,9100,u16,1,%d,u16,Wrap
Attack 20 EzState Anime Number,Attack 20 EzState Anime Number,0,65535,9600,u16,1,%d,u16,Wrap
Attack 21 EzState Anime Number,Attack 21 EzState Anime Number,0,65535,10100,u16,1,%d,u16,Wrap
Attack 22 EzState Anime Number,Attack 22 EzState Anime Number,0,65535,10600,u16,1,%d,u16,Wrap
Attack 23 EzState Anime Number,Attack 23 EzState Anime Number,0,65535,11100,u16,1,%d,u16,Wrap
Attack 24 EzState Anime Number,Attack 24 EzState Anime Number,0,65535,11600,u16,1,%d,u16,Wrap
Attack 25 EzState Anime Number,Attack 25 EzState Anime Number,0,65535,12100,u16,1,%d,u16,Wrap
Attack 26 EzState Anime Number,Attack 26 EzState Anime Number,0,65535,12600,u16,1,%d,u16,Wrap
Attack 27 EzState Anime Number,Attack 27 EzState Anime Number,0,65535,13100,u16,1,%d,u16,Wrap
Attack 28 EzState Anime Number,Attack 28 EzState Anime Number,0,65535,13600,u16,1,%d,u16,Wrap
Attack 29 EzState Anime Number,Attack 29 EzState Anime Number,0,65535,14100,u16,1,%d,u16,Wrap
Attack 30 EzState Anime Number,Attack 30 EzState Anime Number,0,65535,14600,u16,1,%d,u16,Wrap
Minimum distance of attack 1 [cm],Minimum distance of attack 1 [cm],0,65535,200,u16,1,%d,u16,Wrap
Minimum distance of attack 2 [cm],Minimum distance of attack 2 [cm],0,65535,700,u16,1,%d,u16,Wrap
Minimum distance of attack 3 [cm],Minimum distance of attack 3 [cm],0,65535,1200,u16,1,%d,u16,Wrap
Minimum distance of attack 4 [cm],Minimum distance of attack 4 [cm],0,65535,1700,u16,1,%d,u16,Wrap
Minimum distance of attack 5 [cm],Minimum distance of attack 5 [cm],0,65535,2200,u16,1,%d,u16,Wrap
Minimum distance of attack 6 [cm],Minimum distance of attack 6 [cm],0,65535,2700,u16,1,%d,u16,Wrap
Minimum distance of attack 7 [cm],Minimum distance of attack 7 [cm],0,65535,3200,u16,1,%d,u16,Wrap
Minimum distance of attack 8 [cm],Minimum distance of attack 8 [cm],0,65535,3700,u16,1,%d,u16,Wrap
Minimum distance of attack 9 [cm],Minimum distance of attack 9 [cm],0,65535,4200,u16,1,%d,u16,Wrap
Minimum distance of attack 10 [cm],Minimum distance of attack 10 [cm],0,65535,4700,u16,1,%d,u16,Wrap
Minimum distance of attack 11 [cm],Minimum distance of attack 11 [cm],0,65535,5200,u16,1,%d,u16,Wrap
Minimum distance of attack 12 [cm],Minimum distance of attack 12 [cm],0,65535,5700,u16,1,%d,u16,Wrap
Minimum distance of attack 13 [cm],Minimum distance of attack 13 [cm],0,65535,6200,u16,1,%d,u16,Wrap
Minimum distance of attack 14 [cm],Minimum distance of attack 14 [cm],0,65535,6700,u16,1,%d,u16,Wrap
Minimum distance of attack 15 [cm],Minimum distance of attack 15 [cm],0,65535,7200,u16,1,%d,u16,Wrap
Minimum distance of attack 16 [cm],Minimum distance of attack 16 [cm],0,65535,7700,u16,1,%d,u16,Wrap
Minimum distance of attack 17 [cm],Minimum distance of attack 17 [cm],0,65535,8200,u16,1,%d,u16,Wrap
Minimum distance of attack 18 [cm],Minimum distance of attack 18 [cm],0,65535,8700,u16,1,%d,u16,Wrap
Minimum distance of attack 19 [cm],Minimum distance of attack 19 [cm],0,65535,9200,u16,1,%d,u16,Wrap
Minimum distance of attack 20 [cm],Minimum distance of attack 20 [cm],0,65535,9700,u16,1,%d,u16,Wrap
Minimum distance of attack 21 [cm],Minimum distance of attack 21 [cm],0,65535,10200,u16,1,%d,u16,Wrap
Minimum distance of attack 22 [cm],Minimum distance of attack 22 [cm],0,65535,10700,u16,1,%d,u16,Wrap
Minimum distance of attack 23 [cm],Minimum distance of attack 23 [cm],0,65535,11200,u16,1,%d,u16,Wrap
Minimum distance of attack 24 [cm],Minimum distance of attack 24 [cm],0,65535,11700,u16,1,%d,u16,Wrap
Minimum distance of attack 25 [cm],Minimum distance of attack 25 [cm],0,65535,12200,u16,1,%d,u16,Wrap
Minimum distance of attack 26 [cm],Minimum distance of attack 26 [cm],0,65535,12700,u16,1,%d,u16,Wrap
Minimum distance of attack 27 [cm],Minimum distance of attack 27 [cm],0,65535,13200,u16,1,%d,u16,Wrap
