DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Recognition distance [m],Distance to recognize hostile characters,0,30000,1,u16,1,%d,u16,Wrap
Recognition angle X [deg],X angle for recognizing hostile characters: The current line-of-sight direction is 0 degrees, and the top is +.,0,90,2,u8,1,%d,u8,Wrap
Recognition angle Y [deg],Y angle for recognizing hostile characters: The current line-of-sight direction is 0 degrees, and the right is +.,0,180,3,u8,1,%d,u8,Wrap
Territory distance [m],The distance of your territory. If the recognizing player deviates from this distance, it will return to the initial position.,0,30000,4,u16,1,%d,u16,Wrap
Intimidation rate before attack [0-100],Probability of threatening before attack,0,100,5,u8,1,%d,u8,Wrap
First recognition menacing,Whether to intimidate when recognizing the first player,0,0,6,u8,1,%d,ON_OFF,Wrap
reserve,,,,41,dummy8,,,dummy8,None
Attack 1 Maai [m],Time to attack [m],0,30000,7,u16,1,%d,u16,Wrap
Attack 1 Maai play [m],Play between attacks. Do not vibrate near the distance,0,100,8,u16,1,%d,u16,Wrap
Attack 1 ratio [0-100],Frequency of attacks,0,100,9,u8,1,%d,u8,Wrap
Attack 1 type,Types of attacks,0,0,10,u8,1,%d,ACTION_PATTERN,Wrap
Attack 1 Minimum delay time [frame],The minimum delay time from the time when an attack becomes possible to the time when an attack is possible.,0,255,11,u8,1,%d,u8,Wrap
Attack 1 Maximum delay time [frame],The longest delay time from the time when an attack becomes possible to the time when an attack is possible.,0,255,12,u8,1,%d,u8,Wrap
Attack 1 Attack permission Conical angle [deg],If the angle between the line-of-sight direction and the direction vector to the target is within this angle, the attack is OK.,0,180,13,u8,1,%d,u8,Wrap
reserve,,,,42,dummy8,,,dummy8,None
Attack 2 Maai [m],Time to attack [m],0,30000,14,u16,1,%d,u16,Wrap
Attack 2 Maai play [m],Play between attacks. Do not vibrate near the distance,0,100,15,u16,1,%d,u16,Wrap
Attack 1 ratio [0-100],Frequency of attacks,0,100,16,u8,1,%d,u8,Wrap
Attack 2 type,Types of attacks,0,0,17,u8,1,%d,ACTION_PATTERN,Wrap
Attack 2 Minimum delay time [frame],The minimum delay time from the time when an attack becomes possible to the time when an attack is possible.,0,255,18,u8,1,%d,u8,Wrap
Attack 2 Maximum delay time [frame],The longest delay time from the time when an attack becomes possible to the time when an attack is possible.,0,255,19,u8,1,%d,u8,Wrap
Attack 2 Attack permission Conical angle [deg],If the angle between the line-of-sight direction and the direction vector to the target is within this angle, the attack is OK.,0,180,20,u8,1,%d,u8,Wrap
reserve,,,,43,dummy8,,,dummy8,None
Attack 3 Maai [m],Time to attack [m],0,30000,21,u16,1,%d,u16,Wrap
Attack 3 Maai play [m],Play between attacks. Do not vibrate near the distance,0,100,22,u16,1,%d,u16,Wrap
Attack 1 ratio [0-100],Frequency of attacks,0,100,23,u8,1,%d,u8,Wrap
Attack 3 types,Types of attacks,0,0,24,u8,1,%d,ACTION_PATTERN,Wrap
Attack 3 Minimum delay time [frame],The minimum delay time from the time when an attack becomes possible to the time when an attack is possible.,0,255,25,u8,1,%d,u8,Wrap
Attack 3 Maximum delay time [frame],The longest delay time from the time when an attack becomes possible to the time when an attack is possible.,0,255,26,u8,1,%d,u8,Wrap
Attack 3 Attack permission Conical angle [deg],If the angle between the line-of-sight direction and the direction vector to the target is within this angle, the attack is OK.,0,180,27,u8,1,%d,u8,Wrap
reserve,,,,44,dummy8,,,dummy8,None
Attack 4 Maai [m],Time to attack [m],0,30000,28,u16,1,%d,u16,Wrap
Attack 4 Maai play [m],Play between attacks. Do not vibrate near the distance,0,100,29,u16,1,%d,u16,Wrap
Attack 1 ratio [0-100],Frequency of attacks,0,100,30,u8,1,%d,u8,Wrap
4 types of attacks,Types of attacks,0,0,31,u8,1,%d,ACTION_PATTERN,Wrap
Attack 4 Minimum delay time [frame],The minimum delay time from the time when an attack becomes possible to the time when an attack is possible.,0,255,32,u8,1,%d,u8,Wrap
Attack 4 Maximum delay time [frame],The longest delay time from the time when an attack becomes possible to the time when an attack is possible.,0,255,33,u8,1,%d,u8,Wrap
Attack 4 Attack permission Conical angle [deg],If the angle between the line-of-sight direction and the direction vector to the target is within this angle, the attack is OK.,0,180,34,u8,1,%d,u8,Wrap
reserve,,,,45,dummy8,,,dummy8,None
reserve,,,,46,dummy8,,,dummy8,None
