DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
0 radius per,Sphere, capsule radius,0,100,4000,f32,0.01,%f,f32,Wrap
1 radius per,Sphere, capsule radius,0,100,4500,f32,0.01,%f,f32,Wrap
2 radii per,Sphere, capsule radius,0,100,5000,f32,0.01,%f,f32,Wrap
3 radii per,Sphere, capsule radius,0,100,5500,f32,0.01,%f,f32,Wrap
Knockback distance [m],Knockback distance [m],-99,99,5790,f32,0.01,%f,f32,Wrap
Hit stop time [s],Hit stop stop time [s],0,10,6110,f32,0.01,%f,f32,Wrap
Special effects 0,Enter the ID created with the special effects parameter,-1,999999999,6300,s32,1,%d,s32,Wrap
Special effect 1,Enter the ID created with the special effects parameter,-1,999999999,6400,s32,1,%d,s32,Wrap
Special effect 2,Enter the ID created with the special effects parameter,-1,999999999,6500,s32,1,%d,s32,Wrap
Special effect 3,Enter the ID created with the special effects parameter,-1,999999999,6600,s32,1,%d,s32,Wrap
Special effect 4,Enter the ID created with the special effects parameter,-1,999999999,6700,s32,1,%d,s32,Wrap
Per 0 Damipoli 1,Damipoli in sphere, capsule position,-1,31999,3800,s16,1,%d,s16,Wrap
1 per Damipoli 1,Damipoli in sphere, capsule position,-1,31999,4300,s16,1,%d,s16,Wrap
2 per Damipoli 1,Damipoli in sphere, capsule position,-1,31999,4800,s16,1,%d,s16,Wrap
3 per Damipoli 1,Damipoli in sphere, capsule position,-1,31999,5300,s16,1,%d,s16,Wrap
Per 0 Damipoli 2,The position of another point on the capsule Damipoli. -1 makes it a sphere,-1,31999,3900,s16,1,%d,s16,Wrap
1 per Damipoli 2,The position of another point on the capsule Damipoli. -1 makes it a sphere,-1,31999,4400,s16,1,%d,s16,Wrap
2 per Damipoli 2,The position of another point on the capsule Damipoli. -1 makes it a sphere,-1,31999,4900,s16,1,%d,s16,Wrap
3 per Damipoli 2,The position of another point on the capsule Damipoli. -1 makes it a sphere,-1,31999,5400,s16,1,%d,s16,Wrap
Blow-off correction value,Correction value when blowing off,0,60000,500,u16,1,%d,u16,Wrap
Physical attack power correction value,PC only. Multiplier by multiplying the basic physical attack power,0,60000,2300,u16,1,%d,u16,Wrap
Magic attack power correction value,PC only. Multiply the magic attack power (in the case of a bow, correct the missile),0,60000,2400,u16,1,%d,u16,Wrap
Fire attack power correction value,PC only. Multiply the fire attack power (in the case of a bow, correct the missile),0,60000,2500,u16,1,%d,u16,Wrap
Electric shock attack power correction value,PC only. Multiplier for electric shock attack power (in the case of a bow, correct the missile),0,60000,2510,u16,1,%d,u16,Wrap
Stamina attack power correction value,PC only. Multiplier for stamina attack power,0,60000,2600,u16,1,%d,u16,Wrap
Repellent attack power correction value,PC only. 1 only,0,60000,2900,u16,1,%d,u16,Wrap
