DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Whether to correct muscle strength (physical),,0,1,10000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Whether to correct the skill (physical),,0,1,11000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Whether to correct the force (physics),,0,1,12000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your faith (physics)?,,0,1,13000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Whether to correct luck (physical),,0,1,14000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Whether to correct muscle strength (magic),,0,1,20000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your workmanship (magic)?,,0,1,21000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct the force (magic)?,,0,1,22000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your faith (magic)?,,0,1,23000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your luck (magic),,0,1,24000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct muscle strength (flame)?,,0,1,30000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your workmanship (flame)?,,0,1,31000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct the force (flame)?,,0,1,32000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your faith (flame)?,,0,1,33000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your luck (flame)?,,0,1,34000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Whether to correct muscle strength (lightning),,0,1,40000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your workmanship (lightning)?,,0,1,41000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct the force (lightning)?,,0,1,42000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your faith (thunder)?,,0,1,43000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your luck (lightning)?,,0,1,44000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your strength (darkness)?,,0,1,50000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your workmanship (darkness)?,,0,1,51000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct the force (darkness)?,,0,1,52000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your faith (darkness)?,,0,1,53000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Do you correct your luck (darkness)?,,0,1,54000,u8,1,%d,BOOL_YESNO_TYPE,Wrap
Padding,,,,54111,dummy8,,,dummy8,None
