DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Behavior variation ID,Used when calculating the ID for attack parameters. It is not used directly on the actual machine.,0,999999999,100,s32,1,%d,s32,Wrap
Action judgment ID,Used when calculating the ID for attack parameters. This ID matches the action judgment ID entered in TimeActEditor. It is not used directly on the actual machine.,0,999,200,s32,1,%d,s32,Wrap
For ID rules,For ID calculation rules,0,255,300,u8,1,%d,u8,Wrap
Reference ID type,Specify the reference ID so that it is correct.,0,255,400,u8,1,%d,BEHAVIOR_REF_TYPE,Wrap
pad,,,,1001,dummy8,,%d,dummy8,Wrap
Reference ID,It can be used properly according to the attack power, missile, ID of special effect parameter, and refType.,-1,999999999,500,s32,1,%d,s32,Wrap
Consumption SA,Set the amount of SA consumed during action.,0,9999.99,800,f32,0.1,%f,f32,Wrap
Consumption stamina,Set the amount of stamina consumed during action.,0,9999,700,s32,1,%d,s32,Wrap
Weapon durability consumption (only when using missiles),Set the durability of weapons consumed during action.,0,9999,900,s32,1,%d,s32,Wrap
category,Since there are effects (enchantment weapons, etc.) whose parameters fluctuate depending on skills, magic, items, etc., set each action so that the determined effect can correspond to the effect such as "power up only weapon attack". Set "None" for items that do not need to be set, such as varistor.,0,255,600,u8,1,%d,BEHAVIOR_CATEGORY,Wrap
Consumer nature,Set the amount of humanity consumed during action,0,255,1000,u8,1,%d,u8,Wrap
pad,,,,1002,dummy8,,,dummy8,None
