DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Do you remove it from the NT version output?,Parameters marked with ○ are excluded in the NT version package.,0,1,0,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Reserve for package output 1,Reserve for package output 1,,,1111,dummy8,,%d,dummy8,None
Reserve for package output 2,Reserve for package output 2,,,1112,dummy8,,%d,dummy8,None
Summon special effect ID,Set the special effect ID that will be the summoning condition,-1,999999999,0,s32,1,%d,s32,None
NPC parameter ID,Set the NPC parameter ID of the summoned buddy,-1,999999999,100,s32,1,%d,s32,None
Thinking parameter ID,Sets the NPC Thinking Parameter ID of the summoned buddy,-1,999999999,200,s32,1,%d,s32,None
Riding (riding side): NPC parameter ID,For buddies that you want to summon while riding, set the NPC parameter ID for the "rider",-1,999999999,300,s32,1,%d,s32,None
Riding (riding side): Thinking parameter ID,For buddies that you want to summon while riding, set the NPC Thinking Parameter ID for the "rider",-1,999999999,400,s32,1,%d,s32,None
X: Placement coordinate offset [m],Sets the distance in meters to offset the buddy from the summon point to the X coordinate,-99.99,99.99,500,f32,0.01,%f,f32,None
Z: Placement coordinate offset [m],Sets the distance in meters that offsets the buddy from the summon point to the Z coordinate.,-99.99,99.99,600,f32,0.01,%f,f32,None
Y: Your placement angle [deg],Set the angle to rotate yourself around the Y axis,-180,180,700,f32,0.1,%f,f32,None
Will it emerge from around the stone monument?,Will it emerge from around the stone monument?,0,1,800,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Do you want to skip target sharing with your PC?,Do you want to skip target sharing with your PC?,0,1,900,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
PC tracking & warp type,PC tracking & warp type,0,1,1000,u8,1,%d,BUDDY_PC_FOLLOW_TYPE,None
Reserve,Reserve,,,1113,dummy8,,,dummy8,None
+0 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1100,s32,1,%d,s32,None
+1 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1101,s32,1,%d,s32,None
+2 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1102,s32,1,%d,s32,None
+3 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1103,s32,1,%d,s32,None
+4 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1104,s32,1,%d,s32,None
+5 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1105,s32,1,%d,s32,None
+6 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1106,s32,1,%d,s32,None
+7 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1107,s32,1,%d,s32,None
+8 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1108,s32,1,%d,s32,None
+9 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1109,s32,1,%d,s32,None
+10 o'clock doping special effect,+0 o'clock doping special effect,-1,999999,1110,s32,1,%d,s32,None
Initial parameter ID by architype,Initial parameter ID by architype,-1,999999999,210,s32,1,%d,s32,None
Generate Anime ID,Generate Anime ID,-1,999999,750,s32,1,%d,s32,None
Reserve 2,Reserve 2,,,1114,dummy8,,,dummy8,None
