DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Attack ID,Register each attack parameter ID. → Attack type / Attack material / Physical attack power / Magic attack power / Stamina attack power / Knockback distance.,-1,999999999,1000,s32,1,%d,s32,Wrap
SFX ID [bullet],Enter the SFX ID for [Bullet]. -1 does not occur.,-1,99999999,2000,s32,1,%d,s32,Wrap
SFXID [landing],[Impact] Enter the SFX ID. -1 does not occur.,-1,99999999,3000,s32,1,%d,s32,Wrap
SFXID [at the time of repelling],[At the time of repelling] Enter the SFX ID. -1 does not occur.,-1,99999999,4000,s32,1,%d,s32,Wrap
Lifespan [s],Time for missiles to continue to exist (-1 is infinite).,-1,99999,29000,f32,0.01,%f,f32,Wrap
Range [m],Distance at which attenuation begins (not actual flight distance).,0,99999,33000,f32,0.1,%f,f32,Wrap
Fire interval [s],Specify how many seconds the missile will be fired.,0,99,28000,f32,0.01,%f,f32,Wrap
Gravity within range [m / s ^ 2],Downward gravity within range.,-999,999,34000,f32,0.1,%f,f32,Wrap
Gravity outside range [m / s ^ 2],Gravity applied downward when damping begins (expresses the feeling of falling down.,-999,999,35000,f32,0.1,%f,f32,Wrap
Guidance stop distance [m],The distance to the target to stop the guidance. A parameter that prevents you from hitting too much with a guided bullet.,0,999999,45000,f32,0.1,%f,f32,Wrap
Initial velocity [m / s],Initial speed of SFX.,0,999,36000,f32,0.1,%f,f32,Wrap
Acceleration within range [m / s ^ 2],Acceleration within SFX range.,-999,999,40000,f32,0.1,%f,f32,Wrap
Acceleration outside range [m / s ^ 2],Acceleration when SFX goes out of range.,-999,999,41000,f32,0.1,%f,f32,Wrap
Maximum speed [m / s],maximum speed.,0,999,38000,f32,0.1,%f,f32,Wrap
Minimum speed [m / s],Minimum guaranteed speed.,0,999,37000,f32,0.1,%f,f32,Wrap
Acceleration start time [s],Until this time, do not accelerate (make sure you can shoot magic like rockets).,0,99,39000,f32,0.01,%f,f32,Wrap
Guidance start distance [m],How many meters should the guidance start?,0,999,44000,f32,0.1,%f,f32,Wrap
