DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
MP recovery speed basic value [s],Time until MP recovers 1 point (first decimal place),0,999,1100,f32,0.1,%f,f32,Wrap
Stamina recovery speed basic value [s],Time to recover 1 point of stamina (first decimal place),0,999,1300,f32,0.1,%f,f32,Wrap
Fall damage reduction correction [%],Damage reduction amount (%) that can be a cushion when scolded by another character from above (first decimal place),0,100,1400,f32,0.1,%f,f32,Wrap
Early soul,The amount of soul you have at the beginning,0,10000000,1500,s32,1,%d,s32,Wrap
Right-handed weapon slot 1,Weapon ID of equipment parameter (right hand slot 1),-1,999999999,1610,s32,1,%d,s32,Wrap
Right-handed weapon slot 2,Weapon ID of equipment parameter (right hand slot 2),-1,999999999,1630,s32,1,%d,s32,Wrap
Left-handed weapon slot 1,Weapon ID of equipment parameter (left hand slot 1),-1,999999999,1710,s32,1,%d,s32,Wrap
Left-handed weapon slot 2,Weapon ID of equipment parameter (left hand slot 2),-1,999999999,1730,s32,1,%d,s32,Wrap
Head armor,Equipment parameter armor ID (head armor),-1,999999999,2000,s32,1,%d,s32,Wrap
Torso armor,Equipment parameter armor ID (torso armor),-1,999999999,2100,s32,1,%d,s32,Wrap
Arm armor,Equipment parameter armor ID (arm armor),-1,999999999,2200,s32,1,%d,s32,Wrap
Leg armor,Equipment parameter armor ID (leg armor),-1,999999999,2300,s32,1,%d,s32,Wrap
arrow,Weapon ID (arrow) of equipment parameter,-1,999999999,2400,s32,1,%d,s32,Wrap
bolt,Weapon ID (bolt) of equipment parameter,-1,999999999,2600,s32,1,%d,s32,Wrap
Spare arrow,Weapon ID of equipment parameter (arrow reserve),-1,999999999,2500,s32,1,%d,s32,Wrap
Spare bolt,Weapon ID of equipment parameter (spare bolt),-1,999999999,2700,s32,1,%d,s32,Wrap
Ornaments 1,Equipment parameter decoration ID01,-1,999999,2800,s32,1,%d,s32,Wrap
Ornament 2,Equipment parameter decoration ID02,-1,999999,2900,s32,1,%d,s32,Wrap
Ornaments 3,Equipment parameter decoration ID03,-1,999999,3000,s32,1,%d,s32,Wrap
Ornament 4,Equipment parameter decoration ID04,-1,999999,3100,s32,1,%d,s32,Wrap
pad,pad,,,10001,dummy8,,%d,dummy8,Wrap
Material ID1 for Elixir,Material ID1 for Elixir,-1,999999999,6580,s32,1,%d,s32,Wrap
Material ID2 for Elixir,Material ID2 for Elixir,-1,999999999,6581,s32,1,%d,s32,Wrap
Material ID3 for Elixir,Material ID3 for Elixir,-1,999999999,6582,s32,1,%d,s32,Wrap
Magic / miracle 1,Initial placement magic / miracle ID01,-1,999999,3600,s32,1,%d,s32,Wrap
