DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Do you remove it from the NT version output?,Parameters marked with ○ are excluded in the NT version package.,0,1,0,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Is it a debug parameter?,Parameters marked with a circle are excluded from all packages (because they are for debugging).,0,0,1,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Reserve for package output 1,Reserve for package output 1,,,9999,dummy8,,%d,dummy8,None
Reserve for package output 2,Reserve for package output 2,,,9999,dummy8,,%d,dummy8,None
Texture name 00,Texture name 00,,,100,fixstr,,,fixstr,None
Texture name 01,Texture name 01,,,100,fixstr,,,fixstr,None
Texture name 02,Texture name 02,,,100,fixstr,,,fixstr,None
Texture name 03,Texture name 03,,,100,fixstr,,,fixstr,None
Texture name 04,Texture name 04,,,100,fixstr,,,fixstr,None
Texture name 05,Texture name 05,,,100,fixstr,,,fixstr,None
Texture name 06,Texture name 06,,,100,fixstr,,,fixstr,None
Texture name 07,Texture name 07,,,100,fixstr,,,fixstr,None
Texture name 08,Texture name 08,,,100,fixstr,,,fixstr,None
Texture name 09,Texture name 09,,,100,fixstr,,,fixstr,None
Texture name 10,Texture name 10,,,100,fixstr,,,fixstr,None
Texture name 11,Texture name 11,,,100,fixstr,,,fixstr,None
Texture name 12,Texture name 12,,,100,fixstr,,,fixstr,None
Texture name 13,Texture name 13,,,100,fixstr,,,fixstr,None
Texture name 14,Texture name 14,,,100,fixstr,,,fixstr,None
Texture name 15,Texture name 15,,,100,fixstr,,,fixstr,None
