DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Do you remove it from the NT version output?,Parameters marked with ○ are excluded in the NT version package.,0,1,0,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Is it a debug parameter?,Parameters marked with a circle are excluded from all packages (because they are for debugging).,0,0,1,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Reserve for package output 1,Reserve for package output 1,,,9999,dummy8,,%d,dummy8,None
Reserve for package output 2,Reserve for package output 2,,,10000,dummy8,,%d,dummy8,None
Morning,Morning (Refer to the cutscene time conversion setting sheet for the conversion time),0,1,100,u8,1,%d,CUTSCENE_TIMEZONE_TYPE,None
Noon A,Day A (Refer to the cutscene time conversion setting sheet for the conversion time),0,1,101,u8,1,%d,CUTSCENE_TIMEZONE_TYPE,None
Noon B,Noon-B (Refer to the cutscene time conversion setting sheet for the conversion time),0,1,102,u8,1,%d,CUTSCENE_TIMEZONE_TYPE,None
evening,Evening (Refer to the cutscene time conversion setting sheet for the conversion time),0,1,103,u8,1,%d,CUTSCENE_TIMEZONE_TYPE,None
Night,Night (Refer to the cutscene time conversion setting sheet for the conversion time),0,1,104,u8,1,%d,CUTSCENE_TIMEZONE_TYPE,None
Midnight A,Midnight A (Refer to the cutscene time conversion setting sheet for the conversion time),0,1,105,u8,1,%d,CUTSCENE_TIMEZONE_TYPE,None
Midnight B,Midnight B (Refer to the cutscene time conversion setting sheet for the conversion time),0,1,106,u8,1,%d,CUTSCENE_TIMEZONE_TYPE,None
reserved,reserved,,,9999,dummy8,,,dummy8,None
Specify in-game time at the end of playback [hour],Specify in-game time at the end of playback [hour] [-1.0 to 24.0] (-1 (less than 0): do nothing),-1,24,9,f32,0.1,%f,f32,None
