DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Texture ID,Texture ID,-1,999999999,100,s32,1,%d,s32,None
Damipoli ID,Damipoly ID of decal generation standard. If specified by TAE, it will be the value of TAE.,-1,31999,201,s32,1,%d,s32,None
Reference angle offset_up / down [deg],Reference angle offset_up / down [deg],-180,180,300,f32,1,%0.1f,f32,None
Reference angle offset_left / right [deg],Reference angle offset_left / right [deg],-180,180,301,f32,1,%0.1f,f32,None
Pasting start distance [m],Pasting start distance [m],-99,99,401,f32,0.1,%0.1f,f32,None
Paste end distance [m],Paste end distance [m],-99,99,402,f32,0.1,%0.1f,f32,None
Size at the start distance [m],Size at the start distance [m],0,99,403,f32,0.1,%0.1f,f32,None
Size at the end distance [m],Size at the end distance [m],0,99,404,f32,0.1,%0.1f,f32,None
Monitoring special effects ID,Monitoring special effect ID. If you enter an arbitrary special effect ID, decals will not be generated unless the special effect is applied.,-1,999999999,500,s32,1,%d,s32,None
Padding,Padding,0,9,9999,u32,1,%d,u32,None
Texture replacement by material,When it is generated by an attack hit, 1 changes the texture depending on the defense material. New Texture ID = Blood Material ID * 10000000 + Original Texture ID,0,1,160,u32,1,%d,u32,None
Damipoli search location,Damipoli Search Location 0: Body 1: Left Hand Weapon 2: Right Hand Weapon,0,2,200,u32,1,%d,u32,None
Padding,Padding,0,1,9999,u32,1,%d,u32,None
Deferred,Acts as a deferred decal at 1,0,1,600,u32,1,%d,u32,None
paint,Acts as a paint decal at 1,0,1,601,u32,1,%d,u32,None
Bloody expression,Affected by optional bloody expression, ID is +1000 in mild, do not paste if hidden,0,1,603,u32,1,%d,u32,None
Whether to use normal ingredients,1 if normal component is used (compatible with normal and shinyness texture integration),0,1,604,u32,1,%d,u32,None
Padding,Padding,0,1,9999,u32,1,%d,u32,None
Padding,Padding,0,1,9999,u32,1,%d,u32,None
Whether to enable POM,Whether to enable POM,0,1,700,u32,1,%d,u32,None
Whether to update emissive,Whether to update emissive,0,1,800,u32,1,%d,u32,None
Whether to paste vertically,Whether to paste vertically,0,1,1000,u32,1,%d,u32,None
Random scale minimum [%],Random scale minimum [%],1,9999,1010,s16,1,%d,s16,None
Random scale maximum [%],Random scale maximum [%],1,9999,1011,s16,1,%d,s16,None
Random angle_minimum twist [deg],Random angle_minimum twist [deg],-180,180,1020,f32,1,%0.1f,f32,None
Random angle _ maximum twist [deg],Random angle _ maximum twist [deg],-180,180,1021,f32,1,%0.1f,f32,None
Random angle_minimum top and bottom [deg],Random angle_minimum top and bottom [deg],-180,180,1030,f32,1,%0.1f,f32,None
Random angle_maximum value [deg],Random angle_maximum value [deg],-180,180,1031,f32,1,%0.1f,f32,None
Random angle_minimum left and right [deg],Random angle_minimum left and right [deg],-180,180,1040,f32,1,%0.1f,f32,None
Random angle_maximum left and right [deg],Random angle_maximum left and right [deg],-180,180,1041,f32,1,%0.1f,f32,None
POM height scale,POM height scale,0,1,710,f32,0.001,%0.3f,f32,None
Minimum number of POM samples,Minimum number of POM samples,8,128,720,u8,1,%d,u8,None
Maximum number of POM samples,Maximum number of POM samples,8,128,730,u8,1,%d,u8,None
Blend mode,Blend mode,1,2,602,s8,1,%d,DECAL_PARAM_BLEND_MODE,Wrap
Reference coordinates for skipping decals,Reference coordinates that determine the direction in which the decal is flown,0,3,302,s8,1,%d,DECAL_PARAM_DIR_TYPE,Wrap
Emissive starting price,Emissive starting price,0,9999,801,f32,0.01,%f,f32,Wrap
Emissive end value,Emissive end value,0,9999,802,f32,0.01,%f,f32,Wrap
Emissive update time (seconds),Interpolation time from start value to end value,0,9999,803,f32,0.01,%f,f32,Wrap
Do you want to interpolate?,Do you generate the time when the bar is extended due to the decal generation of TAE?,0,1,5200,u8,1,%d,ON_OFF,Wrap
Padding,Padding,,,10000,dummy8,,,dummy8,None
Interpolation interval [m],Distance to interpolate decals generated between TAE bars when interpolation is enabled,0.01,99,5201,f32,0.01,%f,f32,Wrap
Texture ID at the start of interpolation,Texture ID at the start of interpolation (-1 uses the same value as the texture ID),-1,999999999,5202,s32,1,%d,s32,None
Texture ID at the end of interpolation,Texture at the end of interpolation Texture ID (-1 uses the same value as the texture ID),-1,999999999,5203,s32,1,%d,s32,None
SFX ID issued when the decal is affixed,SFXID issued when the decal is affixed (Nothing is issued with -1),-1,999999999,5300,s32,1,%d,s32,None
