DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Pad 0,Lower suppression pad 0,0,1,0,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
For GUI framework,Pad for lower suppression GUI framework,0,1,1,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 2,Lower suppression pad 2,0,1,2,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Debug menu mode switching,Lower suppression debug menu mode switching pad,0,1,3,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 4,Lower suppression pad 4,0,1,4,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad debug menu,Lower suppression pad Debug menu pad,0,1,5,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 6,Lower suppression pad 6,0,1,6,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 7,Lower suppression pad 7,0,1,7,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 8,Lower suppression pad 8,0,1,8,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 9,Lower suppression pad 9,0,1,9,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 10,Lower suppression pad 10,0,1,10,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 11,Lower suppression pad 11,0,1,11,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 12,Lower suppression pad 12,0,1,12,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 13,Lower suppression pad 13,0,1,13,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 14,Lower suppression pad 14,0,1,14,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 15,Lower suppression pad 15,0,1,15,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 16,Lower suppression pad 16,0,1,16,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 17,Lower suppression pad 17,0,1,17,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 18,Lower suppression pad 18,0,1,18,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 19,Lower suppression pad 19,0,1,19,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 20,Lower suppression pad 20,0,1,20,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 21,Lower suppression pad 21,0,1,21,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 22,Lower suppression pad 22,0,1,22,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 23,Lower suppression pad 23,0,1,23,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 24,Lower suppression pad 24,0,1,24,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 25,Lower suppression pad 25,0,1,25,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 26,Lower suppression pad 26,0,1,26,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
Pad 27,Lower suppression pad 27,0,1,27,u8,1,%d,DefaultKeyAssignPrioritySuppression,Wrap
