DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Do you remove it from the NT version output?,Parameters marked with ○ are excluded in the NT version package.,0,1,0,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Reserve for package output 1,Reserve for package output 1,,,100000,dummy8,,%d,dummy8,None
Reserve for package output 2,Reserve for package output 2,,,100001,dummy8,,%d,dummy8,None
Call ID 0 (default),ID0 called from the item (default),-1,999999999,400,s32,1,%d,s32,Wrap
SFX variation ID,Specify SFX variation (used to identify SFX in combination with TimeActEditor ID),-1,99999999,99999,s32,1,%d,s32,Wrap
Weight [kg],Weight [kg],0,1000,900,f32,0.1,%d,f32,Wrap
Basic price,Basic price,0,99999999,1200,s32,1,%d,s32,Wrap
Sale price,Selling price,-1,99999999,1210,s32,1,%d,s32,Wrap
Action ID,Set the effect that occurs when using a tool,-1,99999999,1600,s32,1,%d,s32,Wrap
Replacement item ID,Item ID when replacing,-1,999999999,3500,s32,1,%d,s32,Wrap
Sort ID,Sort ID (-1: Do not collect),-1,99999999,3600,s32,1,%d,s32,Wrap
Display replacement destination item ID,Conditionally replace the display with another tool ID. The tool ID on the game data side does not change,-1,99999999,4400,s32,1,%d,s32,Wrap
YES / NO message ID,YesNo Message ID used when displaying the dialog,-1,99999999,4300,s32,1,%d,s32,Wrap
Usable condition_state change type,Allow to use only when the special effect of the set state change type is applied,0,65000,1621,u16,1,%d,SP_EFFECT_TYPE,Wrap
Vase group ID,"Consumable items" for which 0 or more is set for the pot group ID can be possessed by the number of "pots" with the same pot group ID.,-1,15,3960,s8,1,%d,s8,Wrap
PAD,Old (magic ID linked to a scroll),,,100002,dummy8,,%d,dummy8,Wrap
Icon ID,Menu icon ID,0,65535,100,u16,1,%d,u16,Wrap
Model ID,Model ID,0,9999,1000,u16,1,%d,u16,Wrap
Shop level,Level that can be sold at the store,-1,9999,2800,s16,1,%d,s16,Wrap
Comptrophy SEQ number,SEQ number of complete trophy,-1,99,3700,s16,1,%d,s16,Wrap
Trophy SEQ number,Trophy SEQ number,-1,99,3800,s16,1,%d,s16,Wrap
Maximum number of possessions,Maximum number of possessions,0,9999,610,s16,1,%d,s16,Wrap
Consumer nature,Consumer nature,0,255,612,u8,1,%d,u8,Wrap
Skill over start value,Skill over start value,0,99,700,u8,1,%d,u8,Wrap
Tool type,Types of tools,0,99,200,u8,1,%d,GOODS_TYPE,Wrap
ID category,↓ ID category [Attack, Projectile, Special],0,255,300,u8,1,%d,BEHAVIOR_REF_TYPE,Wrap
Special effects category,Since there are effects (enchantment weapons, etc.) whose parameters fluctuate depending on skills, magic, items, etc., set each action so that the determined effect can correspond to the effect such as "power up only weapon attack". Set "None" for items that do not need to be set, such as varistor.
,0,255,600,u8,1,%d,BEHAVIOR_CATEGORY,Wrap
pad,,,,100003,dummy8,,%d,dummy8,Wrap
Animation when using tools,Set the animation to play when using the tool,0,99,1500,u8,1,%d,GOODS_USE_ANIM,Wrap
