DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Do you remove it from the NT version output?,Parameters marked with ○ are excluded in the NT version package.,0,1,0,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Reserve for package output 1,Reserve for package output 1,,,998801,dummy8,,%d,dummy8,None
Reserve for package output 2,Reserve for package output 2,,,998802,dummy8,,%d,dummy8,None
Sort ID,Sort ID (7 digits is the limit for s32 because the enhancement level is added in the program),-1,9999999,1300,s32,1,%d,s32,Wrap
Wandering equipment ID,Replacement equipment ID for wandering ghosts.,0,99999999,1400,u32,1,%d,u32,Wrap
Sleep tolerance,Difficulty in getting sleep abnormalities,0,999,4150,u16,1,%d,u16,Wrap
Madness resistance,Difficulty in getting mad,0,999,4160,u16,1,%d,u16,Wrap
SA durability value,Super armor endurance,-1,9999,3000,f32,0.1,%f,f32,Wrap
Toughness correction factor,It is a magnification that corrects the basic value of toughness.,0,10,3160,f32,0.01,%.2f,f32,Wrap
Repair price,Basic repair price,0,99999999,2500,s32,1,%d,s32,Wrap
Basic price,Basic price,0,99999999,2600,s32,1,%d,s32,Wrap
Sale price,Selling price,-1,99999999,2610,s32,1,%d,s32,Wrap
Weight [kg],Weight [kg].,0,1000,2700,f32,0.1,%0.3f,f32,Wrap
Resident special effect ID1,Resident special effect ID1,-1,999999999,4500,s32,1,%d,s32,Wrap
Resident special effect ID2,Resident special effect ID2,-1,999999999,4600,s32,1,%d,s32,Wrap
Resident special effect ID3,Resident special effect ID3,-1,999999999,4700,s32,1,%d,s32,Wrap
Material ID,Material parameter ID required for weapon enhancement,-1,999999,4800,s32,1,%d,s32,Wrap
Part damage rate,Part damage rate,0,99,1900,f32,0.01,%.2f,f32,Wrap
SA recovery time correction value,Super Armor Recovery Time Correction Value,-1,99.99,3100,f32,0.01,%0.3f,f32,Wrap
Derivation source,Strengthening of this armor Original armor ID,-1,99999999,5000,s32,1,%d,s32,Wrap
Derivative source enhancement +1,Strengthening this armor Original armor ID1,-1,99999999,5100,s32,1,%d,s32,Wrap
Derivative source enhancement +2,Strengthening this armor Original armor ID2,-1,99999999,5200,s32,1,%d,s32,Wrap
Derivative source enhancement +3,Strengthening this armor Original armor ID3,-1,99999999,5300,s32,1,%d,s32,Wrap
Derivative source enhancement +4,Strengthening this armor Original armor ID4,-1,99999999,5400,s32,1,%d,s32,Wrap
Derivative source enhancement +5,Strengthening this armor Original armor ID5,-1,99999999,5500,s32,1,%d,s32,Wrap
Derivative source enhancement +6,Strengthening this armor Original armor ID6,-1,99999999,5600,s32,1,%d,s32,Wrap
Derivative source enhancement +7,Strengthening this armor Original armor ID7,-1,99999999,5700,s32,1,%d,s32,Wrap
Derivative source enhancement +8,Strengthening this armor Original armor ID8,-1,99999999,5800,s32,1,%d,s32,Wrap
Derivative source enhancement +9,Strengthening this armor Original armor ID9,-1,99999999,5900,s32,1,%d,s32,Wrap
Derivative source enhancement +10,Strengthening this armor Original armor ID10,-1,99999999,6000,s32,1,%d,s32,Wrap
Derivative source enhancement +11,Strengthening this armor Original armor ID11,-1,99999999,6100,s32,1,%d,s32,Wrap
Derivative source enhancement +12,Strengthening this armor Original armor ID12,-1,99999999,6200,s32,1,%d,s32,Wrap
Derivative source enhancement +13,Strengthening this armor Original armor ID13,-1,99999999,6300,s32,1,%d,s32,Wrap
Derivative source enhancement +14,Strengthening this armor Original armor ID14,-1,99999999,6400,s32,1,%d,s32,Wrap
Derivative source enhancement +15,Strengthening this armor Original armor ID15,-1,99999999,6500,s32,1,%d,s32,Wrap
Man profile enlargement scale,,0,5,9900,f32,0.01,%0.3f,f32,Wrap
Male face enlargement scale,,0,5,10000,f32,0.01,%0.3f,f32,Wrap
Maximum magnification for male profile enlargement,,1,2,10100,f32,0.01,%0.3f,f32,Wrap
Maximum magnification for man's face enlargement,,1,2,10200,f32,0.01,%0.3f,f32,Wrap
Female profile enlargement scale,,0,5,10300,f32,0.01,%0.3f,f32,Wrap
Female face enlargement scale,,0,5,10400,f32,0.01,%0.3f,f32,Wrap
Female profile enlargement maximum magnification,,1,2,10500,f32,0.01,%0.3f,f32,Wrap
Maximum magnification for female face enlargement,,1,2,10600,f32,0.01,%0.3f,f32,Wrap
QWCID,QWC parameter ID,-1,99999999,10800,s32,1,%d,s32,Wrap
Equipment model number,Equipment model number.,0,9999,300,u16,1,%d,u16,Wrap
Icon ID for men,Men's menu icon ID.,0,65535,1100,u16,1,%d,u16,Wrap
Female icon ID,Women's menu icon ID.,0,65535,1200,u16,1,%d,u16,Wrap
Knockback cut rate,Knockback reduction value.,0,100,2200,u16,1,%d,u16,Wrap
Knockback repulsion rate,Knockback repulsion rate.,0,100,2300,u16,1,%d,u16,Wrap
Durability,Initial durability.,0,999,2800,u16,1,%d,u16,Wrap
Maximum durability,New durability.,0,999,2900,u16,1,%d,u16,Wrap
pad,,,,998803,dummy8,,%d,dummy8,Wrap
Repellent defense,Used to determine the repulsion of enemy attacks.,0,99,3200,u16,1,%d,u16,Wrap
Physical defense,Physical attack damage protection.,0,9999,3400,u16,1,%d,u16,Wrap
Magic defense,Magic attack damage protection.,0,9999,3500,u16,1,%d,u16,Wrap
Fire defense,Fire attack damage protection.,0,9999,3600,u16,1,%d,u16,Wrap
Electric shock defense,Damage protection for electric shock attacks.,0,9999,3700,u16,1,%d,u16,Wrap
Slash defense,Look at the attack type, and if it is a slashing attribute, reduce the defense power,-100,9999,3800,s16,1,%d,s16,Wrap
Strike defense,Look at the attack attribute, and if it is a hit attribute, reduce the defense power.,-100,9999,3900,s16,1,%d,s16,Wrap
Puncture defense,Look at the attack attribute, and if it is a hit attribute, reduce the defense power.,-100,9999,4000,s16,1,%d,s16,Wrap
Poison resistance,Difficulty in getting poisonous,0,999,4100,u16,1,%d,u16,Wrap
Epidemic resistance,Difficulty in getting sick,0,999,4110,u16,1,%d,u16,Wrap
Bleeding resistance,Difficulty in getting bleeding abnormalities,0,999,4120,u16,1,%d,u16,Wrap
Curse resistance,Difficulty in getting a curse condition,0,999,4130,u16,1,%d,u16,Wrap
Enhanced type ID,Enhanced type ID,0,9999,4900,s16,1,%d,s16,Wrap
Trophy,Is it related to the trophy system?,-1,9999,4750,s16,1,%d,s16,Wrap
Shop level,Level that can be sold at the store,-1,9999,10900,s16,1,%d,s16,Wrap
Knockback parameter ID,ID of the parameter used for knockback,0,255,2400,u8,1,%d,u8,Wrap
Damage attenuation rate when repelling [%],Used for damage attenuation rate when repelling,0,100,3300,u8,1,%d,u8,Wrap
