DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Do you remove it from the NT version output?,Parameters marked with ○ are excluded in the NT version package.,0,1,0,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Reserve for package output 1,Reserve for package output 1,,,30101,dummy8,,%d,dummy8,None
Reserve for package output 2,Reserve for package output 2,,,30102,dummy8,,%d,dummy8,None
Behavior variation ID,Used when determining the action parameter ID to be referenced during an attack,-1,99999999,400,s32,1,%d,s32,Wrap
Sort ID,Sort ID (-1: Do not collect) (7 digits is the limit in s32 to add the enhancement level in the program),-1,9999999,2400,s32,1,%d,s32,Wrap
Wandering equipment ID,Replacement equipment ID for wandering ghosts.,0,999999999,2500,u32,1,%d,u32,Wrap
Weight [kg],Weight [kg].,0,1000,3000,f32,0.1,%0.3f,f32,Wrap
Equipment weight ratio,Equipment weight ratio,0,1,3100,f32,0.001,%0.3f,f32,Wrap
Repair price,Basic repair price,0,99999999,3400,s32,1,%d,s32,Wrap
Enhanced price,Enhanced price,0,99999999,3500,s32,1,%d,s32,Wrap
Sale price,Selling price,-1,99999999,3510,s32,1,%d,s32,Wrap
Strength correction,Charapara correction value.,0,999,6100,f32,0.1,%0.3f,f32,Wrap
Agility correction,Charapara correction value.,0,999,6200,f32,0.1,%0.3f,f32,Wrap
Magic correction,Charapara correction value.,0,999,6300,f32,0.1,%0.3f,f32,Wrap
Faith correction,Charapara correction value.,0,999,6400,f32,0.1,%0.3f,f32,Wrap
Physical attack cut rate when guarding,Set the damage cut rate when guarding for each attack,0,100,6500,f32,0.1,%0.1f,f32,Wrap
Magic attack cut rate when guarding,If it is not a guard attack, enter 0,0,100,6600,f32,0.1,%0.1f,f32,Wrap
Flame attack power cut rate when guarding,How much to cut the fire attack?,0,100,6700,f32,0.1,%0.1f,f32,Wrap
Electric shock attack power cut rate when guarding,How much to cut the electric shock attack?,0,100,6800,f32,0.1,%0.1f,f32,Wrap
Special effect ID 0 on attack hit,Register when adding special effects to weapons,-1,999999999,7900,s32,1,%d,s32,Wrap
Special effect ID1 on attack hit,Register when adding special effects to weapons,-1,999999999,7910,s32,1,%d,s32,Wrap
Special effect ID2 on attack hit,Register when adding special effects to weapons,-1,999999999,7920,s32,1,%d,s32,Wrap
Resident special effect ID,Resident special effect ID0,-1,999999999,8000,s32,1,%d,s32,Wrap
Resident special effect ID1,Resident special effect ID1,-1,999999999,8100,s32,1,%d,s32,Wrap
Resident special effect ID2,Resident special effect ID2,-1,999999999,8200,s32,1,%d,s32,Wrap
Material ID,Material parameter ID required for weapon enhancement,-1,999999,8500,s32,1,%d,s32,Wrap
Derivation source,This weapon's enhancement source weapon ID,-1,99999999,8600,s32,1,%d,s32,Wrap
Derivative source enhancement +1,This weapon's enhancement source weapon ID1,-1,99999999,8600,s32,1,%d,s32,Wrap
Derivative source enhancement +2,This weapon's enhancement source weapon ID2,-1,99999999,8600,s32,1,%d,s32,Wrap
Derivative source enhancement +3,This weapon's enhancement source weapon ID3,-1,99999999,8600,s32,1,%d,s32,Wrap
Derivative source enhancement +4,This weapon's enhancement source weapon ID 4,-1,99999999,8600,s32,1,%d,s32,Wrap
Derivative source enhancement +5,This weapon's enhancement source weapon ID 5,-1,99999999,8600,s32,1,%d,s32,Wrap
Derivative source enhancement +6,This weapon's enhancement source weapon ID 6,-1,99999999,8600,s32,1,%d,s32,Wrap
Derivative source enhancement +7,This weapon's enhancement source weapon ID 7,-1,99999999,8600,s32,1,%d,s32,Wrap
Derivative source enhancement +8,This weapon's enhancement source weapon ID8,-1,99999999,8600,s32,1,%d,s32,Wrap
Derivative source enhancement +9,This weapon's enhancement source weapon ID 9,-1,99999999,8600,s32,1,%d,s32,Wrap
