DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Face part ID,Face part ID,0,255,1000,u8,1,%d,u8,Wrap
Skin color (R),Skin color (R),0,255,1010,u8,1,%d,u8,Wrap
Skin color (G),Skin color (G),0,255,1011,u8,1,%d,u8,Wrap
Skin color (B),Skin color (B),0,255,1012,u8,1,%d,u8,Wrap
Shiny skin,Shiny skin,0,255,1020,u8,1,%d,u8,Wrap
pores,pores,0,255,1030,u8,1,%d,u8,Wrap
Blue beard,Blue beard,0,255,1040,u8,1,%d,u8,Wrap
Bear,Bear,0,255,1050,u8,1,%d,u8,Wrap
Bear color (R),Bear color (R),0,255,1060,u8,1,%d,u8,Wrap
Bear color (G),Bear color (G),0,255,1061,u8,1,%d,u8,Wrap
Bear color (B),Bear color (B),0,255,1062,u8,1,%d,u8,Wrap
cheek,cheek,0,255,1070,u8,1,%d,u8,Wrap
Teak color (R),Teak color (R),0,255,1080,u8,1,%d,u8,Wrap
Teak color (G),Teak color (G),0,255,1081,u8,1,%d,u8,Wrap
Teak color (B),Teak color (B),0,255,1082,u8,1,%d,u8,Wrap
Eyeline,Eyeline,0,255,1090,u8,1,%d,u8,Wrap
Eyeliner color (R),Eyeliner color (R),0,255,1100,u8,1,%d,u8,Wrap
Eyeliner color (G),Eyeliner color (G),0,255,1101,u8,1,%d,u8,Wrap
Eyeliner color (B),Eyeliner color (B),0,255,1102,u8,1,%d,u8,Wrap
Eye shadow (bottom),Eye shadow (bottom),0,255,1110,u8,1,%d,u8,Wrap
Eyeshadow (bottom) color (R),Eyeshadow (bottom) color (R),0,255,1120,u8,1,%d,u8,Wrap
Eyeshadow (bottom) color (G),Eyeshadow (bottom) color (G),0,255,1121,u8,1,%d,u8,Wrap
Eyeshadow (bottom) color (B),Eyeshadow (bottom) color (B),0,255,1122,u8,1,%d,u8,Wrap
Eye shadow (top),Eye shadow (top),0,255,1130,u8,1,%d,u8,Wrap
Eyeshadow (top) color (R),Eyeshadow (top) color (R),0,255,1140,u8,1,%d,u8,Wrap
Eyeshadow (top) color (G),Eyeshadow (top) color (G),0,255,1141,u8,1,%d,u8,Wrap
Eyeshadow (top) color (B),Eyeshadow (top) color (B),0,255,1142,u8,1,%d,u8,Wrap
lipstick,lipstick,0,255,1150,u8,1,%d,u8,Wrap
Lipstick color (R),Lipstick color (R),0,255,1160,u8,1,%d,u8,Wrap
Lipstick color (G),Lipstick color (G),0,255,1161,u8,1,%d,u8,Wrap
Lipstick color (B),Lipstick color (B),0,255,1162,u8,1,%d,u8,Wrap
Hair thickness,Hair thickness,0,255,1200,u8,1,%d,u8,Wrap
Hair color (R),Hair color (R),0,255,1210,u8,1,%d,u8,Wrap
Hair color (G),Hair color (G),0,255,1211,u8,1,%d,u8,Wrap
Hair color (B),Hair color (B),0,255,1212,u8,1,%d,u8,Wrap
Eyeball part ID,Eyeball part ID,0,255,1300,u8,1,%d,u8,Wrap
Iris color (R),Right eye iris color (R),0,255,1400,u8,1,%d,u8,Wrap
Iris color (G),Right eye iris color (G),0,255,1401,u8,1,%d,u8,Wrap
Iris color (B),Right eye iris color (B),0,255,1402,u8,1,%d,u8,Wrap
The size of the iris,The size of the iris of the right eye,0,255,1410,u8,1,%d,u8,Wrap
Cloudiness of the crystalline lens,Cloudiness of the crystalline lens of the right eye,0,255,1420,u8,1,%d,u8,Wrap
The turbid color of the crystalline lens (R),The turbid color of the crystalline lens of the right eye (R),0,255,1430,u8,1,%d,u8,Wrap
The turbid color of the crystalline lens (G),The turbid color of the crystalline lens of the right eye (G),0,255,1431,u8,1,%d,u8,Wrap
The turbid color of the crystalline lens (B),The turbid color of the crystalline lens of the right eye (B),0,255,1432,u8,1,%d,u8,Wrap
White eye color (R),White eye color of the right eye (R),0,255,1440,u8,1,%d,u8,Wrap
White eye color (G),White eye color of the right eye (G),0,255,1441,u8,1,%d,u8,Wrap
White eye color (B),White eye color of the right eye (B),0,255,1442,u8,1,%d,u8,Wrap
Position of the iris,Position of the iris of the right eye,0,255,1450,u8,1,%d,u8,Wrap
Iris color (R),Left eye iris color (R),0,255,1500,u8,1,%d,u8,Wrap
Iris color (G),Left eye iris color (G),0,255,1501,u8,1,%d,u8,Wrap
Iris color (B),Left eye iris color (B),0,255,1502,u8,1,%d,u8,Wrap
The size of the iris,The size of the iris of the left eye,0,255,1510,u8,1,%d,u8,Wrap
Cloudiness of the crystalline lens,Cloudiness of the crystalline lens of the left eye,0,255,1520,u8,1,%d,u8,Wrap
The turbid color of the crystalline lens (R),The turbid color of the crystalline lens of the left eye (R),0,255,1530,u8,1,%d,u8,Wrap
The turbid color of the crystalline lens (G),The turbid color of the crystalline lens of the left eye (G),0,255,1531,u8,1,%d,u8,Wrap
The turbid color of the crystalline lens (B),The turbid color of the crystalline lens of the left eye (B),0,255,1532,u8,1,%d,u8,Wrap
White eye color (R),White eye color of the left eye (R),0,255,1540,u8,1,%d,u8,Wrap
White eye color (G),White eye color of the left eye (G),0,255,1541,u8,1,%d,u8,Wrap
White eye color (B),White eye color of the left eye (B),0,255,1542,u8,1,%d,u8,Wrap
Position of the iris,Position of the iris of the left eye,0,255,1550,u8,1,%d,u8,Wrap
Hair part ID,Hair part ID,0,255,1600,u8,1,%d,u8,Wrap
Hair color (R),Hair color (R),0,255,1610,u8,1,%d,u8,Wrap
Hair color (G),Hair color (G),0,255,1611,u8,1,%d,u8,Wrap
Hair color (B),Hair color (B),0,255,1612,u8,1,%d,u8,Wrap
Gloss,Hair gloss,0,255,1620,u8,1,%d,u8,Wrap
Blackness at the base,Blackness at the base of hair,0,255,1630,u8,1,%d,u8,Wrap
Amount of gray hair,Amount of white hair,0,255,1640,u8,1,%d,u8,Wrap
Beard part ID,Beard part ID,0,255,1700,u8,1,%d,u8,Wrap
Beard color (R),Beard color (R),0,255,1710,u8,1,%d,u8,Wrap
Beard color (G),Beard color (G),0,255,1711,u8,1,%d,u8,Wrap
Beard color (B),Beard color (B),0,255,1712,u8,1,%d,u8,Wrap
Gloss,Beard luster,0,255,1720,u8,1,%d,u8,Wrap
Blackness at the base,Blackness at the base of the beard,0,255,1730,u8,1,%d,u8,Wrap
Amount of gray hair,Amount of white hair with a beard,0,255,1740,u8,1,%d,u8,Wrap
Eyebrow part ID,Eyebrow part ID,0,255,1800,u8,1,%d,u8,Wrap
