DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Face part ID,Face part ID,-1000,1000,1000,f32,0.01,%.2f,f32,Wrap
Skin color (R),Skin color (R),-1000,1000,1010,f32,0.01,%.2f,f32,Wrap
Skin color (G),Skin color (G),-1000,1000,1011,f32,0.01,%.2f,f32,Wrap
Skin color (B),Skin color (B),-1000,1000,1012,f32,0.01,%.2f,f32,Wrap
Shiny skin,Shiny skin,-1000,1000,1020,f32,0.01,%.2f,f32,Wrap
pores,pores,-1000,1000,1030,f32,0.01,%.2f,f32,Wrap
Blue beard,Blue beard,-1000,1000,1040,f32,0.01,%.2f,f32,Wrap
Bear,Bear,-1000,1000,1050,f32,0.01,%.2f,f32,Wrap
Bear color (R),Bear color (R),-1000,1000,1060,f32,0.01,%.2f,f32,Wrap
Bear color (G),Bear color (G),-1000,1000,1061,f32,0.01,%.2f,f32,Wrap
Bear color (B),Bear color (B),-1000,1000,1062,f32,0.01,%.2f,f32,Wrap
cheek,cheek,-1000,1000,1070,f32,0.01,%.2f,f32,Wrap
Teak color (R),Teak color (R),-1000,1000,1080,f32,0.01,%.2f,f32,Wrap
Teak color (G),Teak color (G),-1000,1000,1081,f32,0.01,%.2f,f32,Wrap
Teak color (B),Teak color (B),-1000,1000,1082,f32,0.01,%.2f,f32,Wrap
Eyeline,Eyeline,-1000,1000,1090,f32,0.01,%.2f,f32,Wrap
Eyeliner color (R),Eyeliner color (R),-1000,1000,1100,f32,0.01,%.2f,f32,Wrap
Eyeliner color (G),Eyeliner color (G),-1000,1000,1101,f32,0.01,%.2f,f32,Wrap
Eyeliner color (B),Eyeliner color (B),-1000,1000,1102,f32,0.01,%.2f,f32,Wrap
Eye shadow (bottom),Eye shadow (bottom),-1000,1000,1110,f32,0.01,%.2f,f32,Wrap
Eyeshadow (bottom) color (R),Eyeshadow (bottom) color (R),-1000,1000,1120,f32,0.01,%.2f,f32,Wrap
Eyeshadow (bottom) color (G),Eyeshadow (bottom) color (G),-1000,1000,1121,f32,0.01,%.2f,f32,Wrap
Eyeshadow (bottom) color (B),Eyeshadow (bottom) color (B),-1000,1000,1122,f32,0.01,%.2f,f32,Wrap
Eye shadow (top),Eye shadow (top),-1000,1000,1130,f32,0.01,%.2f,f32,Wrap
Eyeshadow (top) color (R),Eyeshadow (top) color (R),-1000,1000,1140,f32,0.01,%.2f,f32,Wrap
Eyeshadow (top) color (G),Eyeshadow (top) color (G),-1000,1000,1141,f32,0.01,%.2f,f32,Wrap
Eyeshadow (top) color (B),Eyeshadow (top) color (B),-1000,1000,1142,f32,0.01,%.2f,f32,Wrap
lipstick,lipstick,-1000,1000,1150,f32,0.01,%.2f,f32,Wrap
Lipstick color (R),Lipstick color (R),-1000,1000,1160,f32,0.01,%.2f,f32,Wrap
Lipstick color (G),Lipstick color (G),-1000,1000,1161,f32,0.01,%.2f,f32,Wrap
Lipstick color (B),Lipstick color (B),-1000,1000,1162,f32,0.01,%.2f,f32,Wrap
Hair thickness,Hair thickness,-1000,1000,1200,f32,0.01,%.2f,f32,Wrap
Hair color (R),Hair color (R),-1000,1000,1210,f32,0.01,%.2f,f32,Wrap
Hair color (G),Hair color (G),-1000,1000,1211,f32,0.01,%.2f,f32,Wrap
Hair color (B),Hair color (B),-1000,1000,1212,f32,0.01,%.2f,f32,Wrap
Eyeball part ID,Eyeball part ID,-1000,1000,1300,f32,0.01,%.2f,f32,Wrap
Iris color (R),Right eye iris color (R),-1000,1000,1400,f32,0.01,%.2f,f32,Wrap
Iris color (G),Right eye iris color (G),-1000,1000,1401,f32,0.01,%.2f,f32,Wrap
Iris color (B),Right eye iris color (B),-1000,1000,1402,f32,0.01,%.2f,f32,Wrap
The size of the iris,The size of the iris of the right eye,-1000,1000,1410,f32,0.01,%.2f,f32,Wrap
Cloudiness of the crystalline lens,Cloudiness of the crystalline lens of the right eye,-1000,1000,1420,f32,0.01,%.2f,f32,Wrap
The turbid color of the crystalline lens (R),The turbid color of the crystalline lens of the right eye (R),-1000,1000,1430,f32,0.01,%.2f,f32,Wrap
The turbid color of the crystalline lens (G),The turbid color of the crystalline lens of the right eye (G),-1000,1000,1431,f32,0.01,%.2f,f32,Wrap
The turbid color of the crystalline lens (B),The turbid color of the crystalline lens of the right eye (B),-1000,1000,1432,f32,0.01,%.2f,f32,Wrap
White eye color (R),White eye color of the right eye (R),-1000,1000,1440,f32,0.01,%.2f,f32,Wrap
White eye color (G),White eye color of the right eye (G),-1000,1000,1441,f32,0.01,%.2f,f32,Wrap
White eye color (B),White eye color of the right eye (B),-1000,1000,1442,f32,0.01,%.2f,f32,Wrap
Position of the iris,Position of the iris of the right eye,-1000,1000,1450,f32,0.01,%.2f,f32,Wrap
Iris color (R),Left eye iris color (R),-1000,1000,1500,f32,0.01,%.2f,f32,Wrap
Iris color (G),Left eye iris color (G),-1000,1000,1501,f32,0.01,%.2f,f32,Wrap
Iris color (B),Left eye iris color (B),-1000,1000,1502,f32,0.01,%.2f,f32,Wrap
The size of the iris,The size of the iris of the left eye,-1000,1000,1510,f32,0.01,%.2f,f32,Wrap
Cloudiness of the crystalline lens,Cloudiness of the crystalline lens of the left eye,-1000,1000,1520,f32,0.01,%.2f,f32,Wrap
The turbid color of the crystalline lens (R),The turbid color of the crystalline lens of the left eye (R),-1000,1000,1530,f32,0.01,%.2f,f32,Wrap
The turbid color of the crystalline lens (G),The turbid color of the crystalline lens of the left eye (G),-1000,1000,1531,f32,0.01,%.2f,f32,Wrap
The turbid color of the crystalline lens (B),The turbid color of the crystalline lens of the left eye (B),-1000,1000,1532,f32,0.01,%.2f,f32,Wrap
White eye color (R),White eye color of the left eye (R),-1000,1000,1540,f32,0.01,%.2f,f32,Wrap
White eye color (G),White eye color of the left eye (G),-1000,1000,1541,f32,0.01,%.2f,f32,Wrap
White eye color (B),White eye color of the left eye (B),-1000,1000,1542,f32,0.01,%.2f,f32,Wrap
Position of the iris,Position of the iris of the left eye,-1000,1000,1550,f32,0.01,%.2f,f32,Wrap
Hair part ID,Hair part ID,-1000,1000,1600,f32,0.01,%.2f,f32,Wrap
Hair color (R),Hair color (R),-1000,1000,1610,f32,0.01,%.2f,f32,Wrap
Hair color (G),Hair color (G),-1000,1000,1611,f32,0.01,%.2f,f32,Wrap
Hair color (B),Hair color (B),-1000,1000,1612,f32,0.01,%.2f,f32,Wrap
Gloss,Hair gloss,-1000,1000,1620,f32,0.01,%.2f,f32,Wrap
Blackness at the base,Blackness at the base of hair,-1000,1000,1630,f32,0.01,%.2f,f32,Wrap
Amount of gray hair,Amount of white hair,-1000,1000,1640,f32,0.01,%.2f,f32,Wrap
Beard part ID,Beard part ID,-1000,1000,1700,f32,0.01,%.2f,f32,Wrap
Beard color (R),Beard color (R),-1000,1000,1710,f32,0.01,%.2f,f32,Wrap
Beard color (G),Beard color (G),-1000,1000,1711,f32,0.01,%.2f,f32,Wrap
Beard color (B),Beard color (B),-1000,1000,1712,f32,0.01,%.2f,f32,Wrap
Gloss,Beard luster,-1000,1000,1720,f32,0.01,%.2f,f32,Wrap
Blackness at the base,Blackness at the base of the beard,-1000,1000,1730,f32,0.01,%.2f,f32,Wrap
Amount of gray hair,Amount of white hair with a beard,-1000,1000,1740,f32,0.01,%.2f,f32,Wrap
Eyebrow part ID,Eyebrow part ID,-1000,1000,1800,f32,0.01,%.2f,f32,Wrap
Eyebrow color (R),Eyebrow color (R),-1000,1000,1810,f32,0.01,%.2f,f32,Wrap
Eyebrow color (G),Eyebrow color (G),-1000,1000,1811,f32,0.01,%.2f,f32,Wrap
Eyebrow color (B),Eyebrow color (B),-1000,1000,1812,f32,0.01,%.2f,f32,Wrap
Gloss,Glossy eyebrows,-1000,1000,1820,f32,0.01,%.2f,f32,Wrap
Blackness at the base,Blackness at the base of the eyebrows,-1000,1000,1830,f32,0.01,%.2f,f32,Wrap
Amount of gray hair,Amount of white hair on the eyebrows,-1000,1000,1840,f32,0.01,%.2f,f32,Wrap
Eyelash parts ID,Eyelash parts ID,-1000,1000,1900,f32,0.01,%.2f,f32,Wrap
Eyelash color (R),Eyelash color (R),-1000,1000,1910,f32,0.01,%.2f,f32,Wrap
Eyelash color (G),Eyelash color (G),-1000,1000,1911,f32,0.01,%.2f,f32,Wrap
Eyelash color (B),Eyelash color (B),-1000,1000,1912,f32,0.01,%.2f,f32,Wrap
Decorative part ID,Decorative part ID,-1000,1000,2000,f32,0.01,%.2f,f32,Wrap
Decoration color (R),Decoration color (R),-1000,1000,2010,f32,0.01,%.2f,f32,Wrap
Decoration color (G),Decoration color (G),-1000,1000,2011,f32,0.01,%.2f,f32,Wrap
Decorative color (B),Decorative color (B),-1000,1000,2012,f32,0.01,%.2f,f32,Wrap
Decal part ID,Decal part ID,-1000,1000,2100,f32,0.01,%.2f,f32,Wrap
Decal position (x),Decal position (x),-1000,1000,2110,f32,0.01,%.2f,f32,Wrap
Decal position (y),Decal position (y),-1000,1000,2111,f32,0.01,%.2f,f32,Wrap
Decal angle,Decal angle,-1000,1000,2120,f32,0.01,%.2f,f32,Wrap
Decal scale,Decal scale,-1000,1000,2130,f32,0.01,%.2f,f32,Wrap
Decal color (R),Decal color (R),-1000,1000,2140,f32,0.01,%.2f,f32,Wrap
Decal color (G),Decal color (G),-1000,1000,2141,f32,0.01,%.2f,f32,Wrap
