DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Basic toughness durability recovery time,This is the basic value of toughness recovery time. (Seconds),0,999,100,f32,0.1,%.1f,f32,None
Character event turning animation (90 ° left),This is a 90 ° left turn animation for the "Character Turn" event.,0,9999999,200,s32,1,%d,s32,None
Character event turning animation (right 90 °),This is a 90 ° right turn animation for the "Character Turn" event.,0,9999999,300,s32,1,%d,s32,None
Character event turning animation (180 ° left),This is a 180 ° left turn animation for the "Character Turn" event.,0,9999999,400,s32,1,%d,s32,None
Character event turning animation (right 180 °),This is a 180 ° right turn animation for the "Character Turn" event.,0,9999999,500,s32,1,%d,s32,None
Character event turning 90 ° Animation start angle,The starting angle of the angle to which the 90 ° swivel animation for the "Character Swirl" event is applied. If the event starts at an angle smaller than this angle, a system turn will occur.,0,360,600,s16,1,%d,s16,None
Character event turning 180 ° Animation start angle,The starting angle of the angle to which the 180 ° swivel animation for the "Character Swirl" event is applied.,0,360,700,s16,1,%d,s16,None
Stealth attack damage multiplier,Stealth attack damage multiplier,0,99,13650,f32,0.01,%f,f32,None
Damage cut rate when the guard is successful when repelled,Damage cut rate when the guard is successful when repelled. Multiply the final damage,0,99,900,f32,0.01,%.2f,f32,None
Difference angle to start playing NPC conversation animation,This is the difference angle at which the animation playback of the motion during the conversation of the NPC conversation starts.,0,180,1000,f32,0.1,%.1f,f32,None
Difference angle to stop animation playback of NPC conversation,This is the difference angle at which the animation playback of the motion during the conversation of the NPC conversation is stopped.,0,180,1100,f32,0.1,%.1f,f32,None
Nemuri Item Acquisition Range_Action Button Para ID,Nemuri Item Acquisition Range_Action Button Para ID. TAE flag Used as the default value when not overwriting with "Event> Nemuri item registration".,-1,999999999,1110,s32,1,%d,s32,None
Buddy item permission_SFX occurrence interval [s],Buddy item permission_SFX occurrence interval [s],0,99,18000,f32,0.01,%.2f,f32,None
Buddy Item Permission_SFX Occurrence PC Damipoli ID,Buddy Item Permission_SFX Occurrence PC Damipoli ID,-1,999999999,18010,s32,1,%d,s32,None
Buddy item permission_SFX generated horse Damipoli ID_when riding,Buddy item permission_SFX generated horse Damipoli ID_when riding,-1,999999999,18020,s32,1,%d,s32,None
Buddy Item Permission_Occurrence SFXID,Buddy Item Permission_Occurrence SFXID,-1,999999999,18030,s32,1,%d,s32,None
Buddy Summoning_Initial Range_SFX Occurrence Interval [s],Buddy Summoning_Initial Range_SFX Occurrence Interval [s],0,99,18040,f32,0.01,%f,f32,None
Buddy Summoning_Initial Range_SFX Occurrence PC Damipoli ID,Buddy Summoning_Initial Range_SFX Occurrence PC Damipoli ID,-1,999999999,18050,s32,1,%d,s32,None
Buddy Summoning_Initial Range_SFX Generated Horse Damipoli ID_When Riding,Buddy Summoning_Initial Range_SFX Generated Horse Damipoli ID_When Riding,-1,999999999,18060,s32,1,%d,s32,None
Buddy Summoning_Initial Range_Occurrence SFXID,Buddy Summoning_Initial Range_Occurrence SFXID,-1,999999999,18070,s32,1,%d,s32,None
Buddy Summoning_Initial range Special effect ID_For PC,Buddy Summoning_Initial range Special effect ID_For PC,-1,999999999,18080,s32,1,%d,s32,None
Buddy Summoning_Warning Range Special Effect ID_For PC,Buddy Summoning_Warning Range Special Effect ID_For PC,-1,999999999,18090,s32,1,%d,s32,None
Buddy Summoning_Buddy Return Special Effect ID_For PC,Buddy Summoning_Buddy Return Special Effect ID_For PC,-1,999999999,18100,s32,1,%d,s32,None
Buddy Summoning_Warning Range Special Effect ID_For Buddy,Buddy Summoning_Warning Range Special Effect ID_For Buddy,-1,999999999,18110,s32,1,%d,s32,None
Morning in-game time (hours),Morning in-game time (hours). Used in conversation.,0,23,19000,u8,1,%d,u8,None
Morning in-game time (minutes),Morning in-game time (minutes). Used in conversation.,0,59,19010,u8,1,%d,u8,None
Morning in-game time (seconds),Morning in-game time (seconds). Used in conversation.,0,59,19020,u8,1,%d,u8,None
Daytime in-game time (hours),Daytime in-game time (hours). Used in conversation.,0,23,19030,u8,1,%d,u8,None
Daytime in-game time (minutes),Daytime in-game time (minutes). Used in conversation.,0,59,19040,u8,1,%d,u8,None
Daytime in-game time (seconds),Daytime in-game time (seconds). Used in conversation.,0,59,19050,u8,1,%d,u8,None
Night in-game time (hours),Night in-game time (hours). Used in conversation.,0,23,19060,u8,1,%d,u8,None
Night in-game time (minutes),Night in-game time (minutes). Used in conversation.,0,59,19070,u8,1,%d,u8,None
Night in-game time (seconds),Night in-game time (seconds). Used in conversation.,0,59,19080,u8,1,%d,u8,None
AI visibility magnification_morning_start time (hour),AI visibility magnification_morning_start time (hour),0,23,20610,u8,1,%d,u8,None
AI visibility magnification_morning_start time (minutes),AI visibility magnification_morning_start time (minutes),0,59,20611,u8,1,%d,u8,None
AI visibility magnification_day_start time (hour),AI visibility magnification_day_start time (hour),0,23,20620,u8,1,%d,u8,None
AI visibility magnification_day_start time (minutes),AI visibility magnification_day_start time (minutes),0,59,20621,u8,1,%d,u8,None
AI visibility magnification_evening_start time (hour),AI visibility magnification_evening_start time (hour),0,23,20630,u8,1,%d,u8,None
AI visibility magnification_evening_start time (minutes),AI visibility magnification_evening_start time (minutes),0,59,20631,u8,1,%d,u8,None
AI visibility magnification_night_start time (hour),AI visibility magnification_night_start time (hour),0,23,20640,u8,1,%d,u8,None
AI visibility magnification_night_start time (minutes),AI visibility magnification_night_start time (minutes),0,59,20641,u8,1,%d,u8,None
AI visibility magnification_midnight_start time (hour),AI visibility magnification_midnight_start time (hour),0,23,20650,u8,1,%d,u8,None
AI visibility magnification_midnight_start time (minutes),AI visibility magnification_midnight_start time (minutes),0,59,20651,u8,1,%d,u8,None
SA large damage hit production SFX_ Occurrence condition SA damage threshold ratio [%],SA large damage hit production SFX_ Occurrence condition SA damage threshold ratio [%],0,100,35100,u8,1,%d,u8,None
SA heavy damage hit production SFX_SFXID,SA heavy damage hit production SFX_SFXID,0,999999999,35000,s32,1,%d,s32,None
Distance to create a sign away from a safe position [m],Distance at which you can create a sign away from the last safe position on your PC [m],0,9999,4910,f32,0.1,%f,f32,None
Distance between host and guest where resummoning occurs [m],Distance between host and guest where resummoning occurs [m],0,999999,3700,f32,0.1,%f,f32,None
Distance to notify the guest that they are about to leave the host [m],Distance [m] to notify the guest that they are about to leave the host. Notify me when I'm farther than this distance.,0,999999,3710,f32,0.1,%f,f32,None
Distance that allows guests to be re-notified that they are about to leave the host [m],Distance [m] that allows the guest to be re-notified that they are about to leave the host. Do not re-notify until closer than this distance.,0,999999,3720,f32,0.1,%f,f32,None
Maximum distance the guest can be away from the host [m],Maximum distance [m] that a guest can leave the host. If a certain period of time elapses while the distance is longer than this distance, the session will be withdrawn.,0,999999,3730,f32,0.1,%f,f32,None
Retry area radius_default value (m),Retry area radius_default value (m). It is used as the default value when the radius and area are not set in the event type "Retry Point" of MapStudio.,-1,9999,1130,f32,0.1,%f,f32,None
Special effect ID that activates when Nemuri items can be acquired,A special effect ID that activates when a Nemuri item can be acquired. TAE flag Used as the default value when not overwriting with "Event> Nemuri item registration".,-1,999999999,1120,s32,1,%d,s32,None
"Recover below HP maximum" Special effect completion notification Special effect ID,ID of the special effect that notifies that "Recovery below HP maximum" is completed. Mainly used for multi synchronization.,0,999999999,3800,s32,1,%d,s32,None
HP Est absorption production SFXID,Absorption effect SFXID when recovering the number of times the HP Est bottle has been used when defeating an intruder,0,999999999,3900,s32,1,%d,s32,None
MP Est Absorption Production SFXID,Absorption effect SFXID when recovering the number of times the MP Est bottle has been used when defeating an intruder,0,999999999,4000,s32,1,%d,s32,None
Special effect ID for determining the activation of the resurrection special effect,ID of the special effect that notifies that the resurrection special effect has been activated. Mainly used for multi synchronization.,0,999999999,4100,s32,1,%d,s32,None
Buddy Summoning_Initial Range Special Effect ID_For Buddy,Buddy Summoning_Initial Range Special Effect ID_For Buddy,-1,999999999,18120,s32,1,%d,s32,None
Time from the start of est absorption SFX playback to the start of est addition processing,Time from the start of est absorption SFX playback to the start of est addition processing,0,10,4050,f32,0.001,%.3f,f32,None
Soul correction value acquired when defeating enemies at multi time_host,Correction value of the amount of soul acquired by the host when defeating a normal enemy in multiplayer,0,99,4400,f32,0.001,%.3f,f32,None
Soul correction value acquired when defeating enemies at multi time_cooperative spirit,Correction value of the amount of soul acquired by cooperating spirits when defeating a normal enemy in multiplayer,0,99,4500,f32,0.001,%.3f,f32,None
Soul correction value acquired when defeating the boss at the time of multi _ host,Correction value of the amount of soul acquired by the host when defeating the boss in multiplayer,0,99,4600,f32,0.001,%.3f,f32,None
Soul correction value acquired when defeating the boss at the time of multi _ cooperation spirit,Correction value of the amount of soul acquired when the boss is defeated in multiplayer,0,99,4700,f32,0.001,%.3f,f32,None
Offset to prevent the HP gauge of the enemy character from being cut off on the screen,Offset value [pixel] (FullHD standard) that fits in the screen when the enemy's HP gauge is cut off on the screen,0,9999,4800,u16,1,%d,u16,None
Play area collection radius,Collection radius of the play area around the PC,0,999,4900,u16,1,%d,u16,None
Bullet firing position during "enemy detection" Damipoli ID,Detect bullet firing position Damipoli ID,0,9999,5000,u16,1,%d,u16,None
Large Rune: Number of tools granted when the Greater Demon invades,Large Rune: Number of tools granted when the Greater Demon invades,0,9999,5110,u16,1,%d,u16,None
Large Rune: Greater Demon Invasion Tool Item ID,Large Rune: Greater Demon Invasion Tool Item ID,-1,999999999,5100,s32,1,%d,s32,None
Large jump area SFXID,SFX ID in the riding large jump area,0,999999999,5300,s32,1,%d,s32,None
Common_Riding special attack magnification,Magnification to be corrected at the time of riding special attack,0,99,950,f32,0.1,%f,f32,None
Special effects on the enemy side when drawing Nemuri items,Special effects on the enemy side when drawing Nemuri items,-1,999999999,1121,s32,1,%d,s32,None
Map UID on hold,Map UID on hold for lap, enter in 8 digits (example ... m60_42_36_00-> 60423600),0,99999999,1300,s32,1,%d,s32,None
Return point when lap is on hold,Entity ID of return point on hold,0,-294967297,1400,u32,1,%u,u32,None
Bullet ID_cooperation ring_red hunting fired during "enemy detection",Bullet ID to fly depending on enemy power / type (also used for multi-automatic firing),-1,999999999,5800,s32,1,%d,s32,None
No bullet ID_invasion orb_ fired during "enemy detection",Bullet ID to fly depending on enemy power / type (also used for multi-automatic firing),-1,999999999,5900,s32,1,%d,s32,None
For tutorial judgment: Event flag to turn on when accessing the distant view,For tutorial judgment: Event flag to turn on when accessing the distant view,0,-294967297,6000,u32,1,%u,u32,None
For tutorial judgment: Event flag to turn on when accessing the retry point,For tutorial judgment: Event flag to turn on when accessing the retry point,0,-294967297,6100,u32,1,%u,u32,None
For tutorial judgment: Event flag to turn on when group reward is entered after defeating a group,For tutorial judgment: Event flag to turn on when group reward is entered after defeating a group,0,-294967297,6200,u32,1,%u,u32,None
For tutorial judgment: Event flag to turn on when entering the riding big jump point,For tutorial judgment: Event flag to turn on when entering the riding big jump point,0,-294967297,6300,u32,1,%u,u32,None
For tutorial judgment: Expand the riding large jump point by ○ [m] to judge inside and outside,For tutorial judgment: The riding large jump point is expanded by ○ [m] to judge inside and outside. ○ Set the value of [m] here.,-9999,9999,6400,f32,0.1,%f,f32,None
PC animation ID when retry point is activated,PC animation ID when retry point is started. If it is -1, it will not be played.,-1,999999999,6500,s32,1,%d,s32,None
Delay time of dialog display when retry point is started [seconds],Delay time of dialog display when retry point is started [seconds],0,999,6600,f32,0.1,%f,f32,None
Text ID of the dialog when starting the retry point,The text ID of the dialog when the retry point is started. Set the text in EventText_ForMap.xlsm. If it is -1, the dialog is not displayed.,-1,999999999,6700,s32,1,%d,s32,None
PC animation ID at the time of sign accumulation startup,PC animation ID at the time of sign accumulation startup. If it is -1, it will not be played.,-1,999999999,6800,s32,1,%d,s32,None
Delay time of dialog display at startup of sign accumulation [seconds],Delay time of dialog display at startup of sign accumulation [seconds],0,999,6900,f32,0.1,%f,f32,None
Bullet ID when the "Activity of the Dead" special effect is activated,Bullet ID fired when the "Activity of the Dead" special effect is activated,-1,999999999,7000,s32,1,%d,s32,None
Bullet generation position when the "Activity of the Dead" special effect is activated Damipoli ID,Damipoli ID at the position where the bullet is generated when the "Activity of the Dead" special effect is activated,-1,999999999,7100,s32,1,%d,s32,None
Fade out time of the corpse when the "Activity of the Dead" special effect is activated,Fade time when the corpse fades out when the "Activity of the Dead" special effect is activated,0,100,7200,f32,0.01,%f,f32,None
Time to ignore transitions due to network information at the start of throwing,Time to ignore transitions due to network information at the start of throwing,0,10,7300,f32,0.001,%f,f32,None
Multi-pre-penalty: LAN disconnection,Multi-pre-penalty: LAN disconnection,0,10000,7400,u16,1,%d,u16,None
Multi-pre-penalty: Profile sign-out,Multi-pre-penalty: Profile sign-out,0,10000,7500,u16,1,%d,u16,None
Multi-pre-penalty: Power off,Multi-pre-penalty: Power off,0,10000,7600,u16,1,%d,u16,None
Multi-pre-penalty: Suspend / Pause,Multi-pre-penalty: Suspend / Pause,0,10000,7700,u16,1,%d,u16,None
Multi-pre-penalty: Waiting time to start the generation (sale) of the bone of reason,Multi-pre-penalty: Waiting time (seconds) to start the generation (sale) of the bone of reason,0,1E+09,7800,f32,1,%f,f32,None
Multi-pre-penalty: Penalty judgment points,Multi-pre-penalty: Penalty judgment points,0,10000,7900,u16,1,%d,u16,None
No operation judgment time,It is for leaving people who have not operated for a certain period of time in multiplayer. The unit is seconds.,0,9999,8000,u16,1,%d,u16,None
Bullet ID_hostile NPC / enemy character fired during "enemy detection",Bullet ID to shoot to hostile NPCs / enemy characters when hostility detection fails,-1,999999999,8100,s32,1,%d,s32,None
Special effect ID to be applied to the target of "Activity target search of the dead",Special effects applied to the searched target,-1,999999999,8200,s32,1,%d,s32,None
