DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Soft particles enabled,Soft particles enabled,0,1,0,u8,1,%u,ON_OFF,None
Glow effective,Glow effective,0,1,0,u8,1,%u,ON_OFF,None
Distortion effective,Distortion effective,0,1,0,u8,1,%u,ON_OFF,None
Enable bilateral upscale,Bilateral upscale effective,0,255,20,u8,1,%u,CS_GCONFIG_ENABLED_TYPE,None
Number of Emits at one time,Number of Emits at one time,0,10,20,f32,0.1,%f,f32,None
Emit interval,Emit interval,0,10,20,f32,0.1,%f,f32,None
1st stage LOD distance scale,1st stage LOD distance scale,0,10,20,f32,0.1,%f,f32,None
Second stage LOD distance scale,Second stage LOD distance scale,0,10,20,f32,0.1,%f,f32,None
3rd stage LOD distance scale,3rd stage LOD distance scale,0,10,20,f32,0.1,%f,f32,None
4th stage LOD distance scale,4th stage LOD distance scale,0,10,20,f32,0.1,%f,f32,None
Magnification to the distance registered in the reduction buffer,Magnification to the distance registered in the reduction buffer,0,10,20,f32,0.1,%f,f32,None
dummy,,,,9999,dummy8,,,dummy8,None
