DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Fog enabled,Fog enabled,0,1,100,u8,1,%u,ON_OFF,None
Fog shadow permission,Fog shadow permission,0,1,200,u8,1,%u,ON_OFF,None
dmy,dmy,,,10000,dummy8,,%u,dummy8,None
Shadow sample count offset.,Shadow sample count offset.,-16,16,300,s32,1,%d,s32,None
Local light calculation distance scale (0 does not calculate local light),Local light calculation distance scale (0 does not calculate local light),0,2,400,f32,0.01,%f,f32,None
Fog volume size scaler,Fog volume size scaler,1,8,500,u32,1,%d,u32,None
Fog volume size division,Fog volume size division,1,8,600,u32,1,%d,u32,None
Fog Volume Depth Slice Scaler,Fog Volume Depth Slice Scaler,1,8,700,u32,1,%d,u32,None
Fog volume depth slice division,Fog volume depth slice division,1,8,800,u32,1,%d,u32,None
Arranged fog volume enabled,Arranged fog volume enabled,0,1,900,u8,1,%d,ON_OFF,None
Upscale type,Method type at the time of upscale,0,2,1000,u8,1,%d,GRAPHICS_CONFIG_CS_GCONFIG_FOG_VOLUME_UPSCALE_TYPE,None
Edge correction level performed only when bilateral,Edge correction level performed only at bilateral (0: invalid, edge redraw permission at 1: 1 / 2x1 / 2 resolution, edge redraw permission with parameter reduction at 2: 1 / 2x1 / 2 + 1x1 resolution, 3 : 1 / 2x1 / 2 + 1x1 resolution edge redraw permission),0,3,1200,u8,1,%d,GRAPHICS_CONFIG_CS_GCONFIG_FOG_VOLUME_EDGE_CORRECTION_LEVEL,None
Offset of sampling number during ray marching,Offset of sampling number during ray marching,-127,127,1300,s8,1,%d,s8,None
Shadow permission,Shadow permission (refers to shadow processing due to density changes in the area, where shadows are cast on the area),0,1,1400,u8,1,%d,ON_OFF,None
Forcibly casts a shadow on the area regardless of the setting when shadow is allowed,Forcibly casts a shadow on the area regardless of the setting when shadow is permitted (shadow processing is not affected),0,1,1500,u8,1,%d,ON_OFF,None
Fog volume upscale processing resolution,,0,2,1100,u8,1,%d,GRAPHICS_CONFIG_CS_GCONFIG_FOG_VOLUME_RESOLUTION,None
pad,,,,9999,dummy8,,%u,dummy8,None
