DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Iron: Slash: Small,Iron: Slash: Small,0,999999999,100,s32,1,%d,s32,Wrap
Iron: Slash: Large,Iron: Slash: Large,0,999999999,101,s32,1,%d,s32,Wrap
Iron: Slash: Oversized,Iron: Slash: Oversized,0,999999999,102,s32,1,%d,s32,Wrap
Iron: piercing: small,Iron: piercing: small,0,999999999,120,s32,1,%d,s32,Wrap
Made of iron: piercing: large,Made of iron: piercing: large,0,999999999,121,s32,1,%d,s32,Wrap
Iron: piercing: oversized,Iron: piercing: oversized,0,999999999,122,s32,1,%d,s32,Wrap
Iron: Batter: Small,Iron: Batter: Small,0,999999999,110,s32,1,%d,s32,Wrap
Iron: Batter: Large,Iron: Batter: Large,0,999999999,111,s32,1,%d,s32,Wrap
Iron: Batter: Oversized,Iron: Batter: Oversized,0,999999999,112,s32,1,%d,s32,Wrap
Flame: Slash: Small,Flame: Slash: Small,0,999999999,200,s32,1,%d,s32,Wrap
Flame: Slash: Large,Flame: Slash: Large,0,999999999,201,s32,1,%d,s32,Wrap
Flame: Slash: Oversized,Flame: Slash: Oversized,0,999999999,202,s32,1,%d,s32,Wrap
Flame: Piercing: Small,Flame: Piercing: Small,0,999999999,220,s32,1,%d,s32,Wrap
Flame: Piercing: Large,Flame: Piercing: Large,0,999999999,221,s32,1,%d,s32,Wrap
Flame: Piercing: Oversized,Flame: Piercing: Oversized,0,999999999,222,s32,1,%d,s32,Wrap
Flame: Batter: Small,Flame: Batter: Small,0,999999999,210,s32,1,%d,s32,Wrap
Flame: Batter: Large,Flame: Batter: Large,0,999999999,211,s32,1,%d,s32,Wrap
Flame: Batter: Oversized,Flame: Batter: Oversized,0,999999999,212,s32,1,%d,s32,Wrap
Wooden: Slash: Small,Wooden: Slash: Small,0,999999999,300,s32,1,%d,s32,Wrap
Wooden: Slash: Large,Wooden: Slash: Large,0,999999999,301,s32,1,%d,s32,Wrap
Wooden: Slash: Oversized,Wooden: Slash: Oversized,0,999999999,302,s32,1,%d,s32,Wrap
Wooden: piercing: small,Wooden: piercing: small,0,999999999,320,s32,1,%d,s32,Wrap
Wooden: piercing: large,Wooden: piercing: large,0,999999999,321,s32,1,%d,s32,Wrap
Wooden: piercing: oversized,Wooden: piercing: oversized,0,999999999,322,s32,1,%d,s32,Wrap
Wooden: Batter: Small,Wooden: Batter: Small,0,999999999,310,s32,1,%d,s32,Wrap
Wooden: Batter: Large,Wooden: Batter: Large,0,999999999,311,s32,1,%d,s32,Wrap
Wooden: Batter: Oversized,Wooden: Batter: Oversized,0,999999999,312,s32,1,%d,s32,Wrap
Meat: Slash: Small,Meat: Slash: Small,0,999999999,400,s32,1,%d,s32,Wrap
Meat: Slash: Large,Meat: Slash: Large,0,999999999,401,s32,1,%d,s32,Wrap
Meat: Slash: Oversized,Meat: Slash: Oversized,0,999999999,402,s32,1,%d,s32,Wrap
Meat: Stab: Small,Meat: Stab: Small,0,999999999,420,s32,1,%d,s32,Wrap
Meat: Stab: Large,Meat: Stab: Large,0,999999999,421,s32,1,%d,s32,Wrap
Meat: Stab: Oversized,Meat: Stab: Oversized,0,999999999,422,s32,1,%d,s32,Wrap
Meat: Batter: Small,Meat: Batter: Small,0,999999999,410,s32,1,%d,s32,Wrap
Meat: Batter: Large,Meat: Batter: Large,0,999999999,411,s32,1,%d,s32,Wrap
Meat: Batter: Oversized,Meat: Batter: Oversized,0,999999999,412,s32,1,%d,s32,Wrap
Corrosion: Slash: Small,Corrosion: Slash: Small,0,999999999,500,s32,1,%d,s32,Wrap
Eating: Slashing: Large,Eating: Slashing: Large,0,999999999,501,s32,1,%d,s32,Wrap
Eating: Slashing: Oversized,Eating: Slashing: Oversized,0,999999999,502,s32,1,%d,s32,Wrap
Corrosion: piercing: small,Corrosion: piercing: small,0,999999999,520,s32,1,%d,s32,Wrap
Corrosion: Piercing: Large,Corrosion: Piercing: Large,0,999999999,521,s32,1,%d,s32,Wrap
Corrosion: piercing: oversized,Corrosion: piercing: oversized,0,999999999,522,s32,1,%d,s32,Wrap
Corrosion: Batter: Small,Corrosion: Batter: Small,0,999999999,510,s32,1,%d,s32,Wrap
Corrosion: Batter: Large,Corrosion: Batter: Large,0,999999999,511,s32,1,%d,s32,Wrap
Corrosion: Batter: Oversized,Corrosion: Batter: Oversized,0,999999999,512,s32,1,%d,s32,Wrap
Energy: Slash: Small,Energy: Slash: Small,0,999999999,600,s32,1,%d,s32,Wrap
Energy: Slash: Large,Energy: Slash: Large,0,999999999,601,s32,1,%d,s32,Wrap
Energy: Slash: Oversized,Energy: Slash: Oversized,0,999999999,602,s32,1,%d,s32,Wrap
Energy: Puncture: Small,Energy: Puncture: Small,0,999999999,620,s32,1,%d,s32,Wrap
Energy: Puncture: Large,Energy: Puncture: Large,0,999999999,621,s32,1,%d,s32,Wrap
Energy: Puncture: Oversized,Energy: Puncture: Oversized,0,999999999,622,s32,1,%d,s32,Wrap
Energy: Batter: Small,Energy: Batter: Small,0,999999999,610,s32,1,%d,s32,Wrap
Energy: Batter: Large,Energy: Batter: Large,0,999999999,611,s32,1,%d,s32,Wrap
