DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Iron: Concept 1,Iron: Concept 1,0,9999,1,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
Iron: Concept 2,Iron: Concept 2,0,9999,2,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
Made of leather: Concept 1,Leather: Concept 1,0,9999,3,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
Made of leather: Concept 2,Leather: Concept 2,0,9999,4,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
Wooden: Concept 1,Wooden: Concept 1,0,9999,5,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
Wooden: Concept 2,Wooden: Concept 2,0,9999,6,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
Meat: Concept 1,Meat: Concept 1,0,9999,7,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
Meat: Concept 2,Meat: Concept 2,0,9999,8,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
Stone: Concept 1,Corrosion: Concept 1,0,9999,9,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
Stone: Concept 2,Corrosion: Concept 2,0,9999,10,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
pad,,,,15,dummy8,,%d,dummy8,Wrap
None: Concept 1,None: Concept 1,0,9999,11,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
None: Concept 2,None: Concept 2,0,9999,12,s16,1,%d,HIT_EFFECT_SFX_CONCEPT_TYPE,Wrap
Reserved area,,,,16,dummy8,,,dummy8,None
