DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Slash: Standard,Slash: Standard,0,999999999,1,s32,1,%d,s32,Wrap
Slash: Small,Slash: Small,0,999999999,2,s32,1,%d,s32,Wrap
Slash: Large,Slash: Large,0,999999999,3,s32,1,%d,s32,Wrap
Slash: Designation 1,Slash: Designation 1,0,999999999,4,s32,1,%d,s32,Wrap
Slash: Designation 2,Slash: Designation 2,0,999999999,5,s32,1,%d,s32,Wrap
Batter: Standard,Batter: Standard,0,999999999,6,s32,1,%d,s32,Wrap
Batter: Small,Batter: Small,0,999999999,7,s32,1,%d,s32,Wrap
Batter: Large,Batter: Large,0,999999999,8,s32,1,%d,s32,Wrap
Batter: Designation 1,Batter: Designation 1,0,999999999,9,s32,1,%d,s32,Wrap
Batter: Designation 2,Batter: Designation 2,0,999999999,10,s32,1,%d,s32,Wrap
Piercing: Standard,Piercing: Standard,0,999999999,11,s32,1,%d,s32,Wrap
Piercing: Small,Piercing: Small,0,999999999,12,s32,1,%d,s32,Wrap
Piercing: Large,Piercing: Large,0,999999999,13,s32,1,%d,s32,Wrap
Piercing: Designation 1,Piercing: Designation 1,0,999999999,14,s32,1,%d,s32,Wrap
Piercing: Designation 2,Piercing: Designation 2,0,999999999,15,s32,1,%d,s32,Wrap
Non-attribute: standard,Non-attribute: standard,0,999999999,16,s32,1,%d,s32,Wrap
Non-attribute: small,Non-attribute: small,0,999999999,17,s32,1,%d,s32,Wrap
Non-attribute: Large,Non-attribute: Large,0,999999999,18,s32,1,%d,s32,Wrap
Non-attribute: Designation 1,Non-attribute: Designation 1,0,999999999,19,s32,1,%d,s32,Wrap
Non-attribute: Designation 2,Non-attribute: Designation 2,0,999999999,20,s32,1,%d,s32,Wrap
