DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Lv00,Lv00 Drawing distance scale,0,2,1,f32,0.01,%f,f32,None
Lv01,Lv01 Drawing distance scale,0,2,2,f32,0.01,%f,f32,None
Lv02,Lv02 Drawing distance scale,0,2,3,f32,0.01,%f,f32,None
Lv03,Lv03 Drawing distance scale,0,2,4,f32,0.01,%f,f32,None
Lv04,Lv04 Drawing distance scale,0,2,5,f32,0.01,%f,f32,None
Lv05,Lv05 Drawing distance scale,0,2,6,f32,0.01,%f,f32,None
Lv06,Lv06 Drawing distance scale,0,2,7,f32,0.01,%f,f32,None
Lv07,Lv07 Drawing distance scale,0,2,8,f32,0.01,%f,f32,None
Lv08,Lv08 Drawing distance scale,0,2,9,f32,0.01,%f,f32,None
Lv09,Lv09 Drawing distance scale,0,2,10,f32,0.01,%f,f32,None
Lv10,Lv10 Drawing distance scale,0,2,11,f32,0.01,%f,f32,None
Lv11,Lv11 Drawing distance scale,0,2,12,f32,0.01,%f,f32,None
Lv12,Lv12 Drawing distance scale,0,2,13,f32,0.01,%f,f32,None
Lv13,Lv13 Drawing distance scale,0,2,14,f32,0.01,%f,f32,None
Lv14,Lv14 Drawing distance scale,0,2,15,f32,0.01,%f,f32,None
Lv15,Lv15 Drawing distance scale,0,2,16,f32,0.01,%f,f32,None
Lv16,Lv16 Drawing distance scale,0,2,17,f32,0.01,%f,f32,None
Lv17,Lv17 Drawing distance scale,0,2,18,f32,0.01,%f,f32,None
Lv18,Lv18 Drawing distance scale,0,2,19,f32,0.01,%f,f32,None
Lv19,Lv19 Drawing distance scale,0,2,20,f32,0.01,%f,f32,None
Lv20,Lv20 Drawing distance scale,0,2,21,f32,0.01,%f,f32,None
Reserve,Reserve,,,23,dummy8,,,dummy8,None
