DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Activation level (start),Drawing distance scale activation level (start),0,21,1,u8,1,%u,u8,Wrap
Activation level (end),Drawing distance scale activation level (completed),0,21,2,u8,1,%u,u8,Wrap
Reserve,Reserve,,,12,dummy8,,,dummy8,None
Scale (start),Drawing distance scale (start),0,2,3,f32,0.01,%f,f32,Wrap
Scale (end),Drawing distance scale (completed),0,2,4,f32,0.01,%f,f32,Wrap
Activation level (start),Shadow drawing distance scale activation level (start),0,21,5,u8,1,%u,u8,Wrap
Activation level (end),Shadow drawing distance scale activation level (completed),0,21,6,u8,1,%u,u8,Wrap
Reserve,Reserve,,,13,dummy8,,,dummy8,None
Scale (start),Shadow drawing distance scale (start),0,2,7,f32,0.01,%f,f32,Wrap
Scale (end),Shadow drawing distance scale (completed),0,2,8,f32,0.01,%f,f32,Wrap
Reserve,Reserve,,,14,dummy8,,,dummy8,None
