DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Do you remove it from the NT version output?,Parameters marked with ○ are excluded in the NT version package.,0,1,0,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Reserve for package output 1,Reserve for package output 1,,,10151,dummy8,,%d,dummy8,None
Reserve for package output 2,Reserve for package output 2,,,10152,dummy8,,%d,dummy8,None
Yes / No Dialog Message ID,Message ID of Yes / No dialog issued when using magic,-1,99999999,2500,s32,1,%d,s32,Wrap
Special effect ID that is out of usage restrictions,Usage restrictions can be ignored when the specified special effect ID is activated,-1,999999999,1020,s32,1,%d,s32,Wrap
SortID,Sort ID (-1: Do not collect),-1,30000,1800,s16,1,%d,s16,Wrap
Equipment conditions [luck],Can't be equipped without more PC luck,0,99,1603,u8,1,%d,u8,Wrap
AI notification type,AI interrupt occurs in act ("AI notification when magic is activated"),0,2,9150,u8,1,%d,MAGIC_AI_NOTIFY_TYPE,Wrap
MP consumption [normal],MP consumption,0,9999,300,s16,1,%d,s16,Wrap
Consumed stamina [normal],Consumption stamina,0,9999,310,s16,1,%d,s16,Wrap
Icon ID,Specify icon> For menu,-1,30000,160,s16,1,%d,s16,Wrap
Action ID,Set the action ID,-1,30000,1400,s16,1,%d,s16,Wrap
Required item ID,Item ID required for purchase,-1,30000,2000,s16,1,%d,s16,Wrap
Magic ID to replace,ID to be replaced when the state change matches (-1: invalid),-1,30000,3000,s16,1,%d,s16,Wrap
Maximum number,Number per piece (-1: infinity),-1,9999,450,s16,1,%d,s16,Wrap
ID category,Call ID category [Attack, Projectile, Special Effects],0,255,500,u8,1,%d,BEHAVIOR_REF_TYPE,Wrap
Skill over start value,Skill over start value,0,99,200,u8,1,%d,u8,Wrap
ID category,Call ID category [Attack, Projectile, Special Effects],0,255,510,u8,1,%d,BEHAVIOR_REF_TYPE,Wrap
Required slot,Number of slots required for equipment> For menu,0,3,1600,u8,1,%d,u8,Wrap
Equipment conditions [Intelligence],Can't be equipped without more PC intelligence,0,99,1601,u8,1,%d,u8,Wrap
Equipment conditions [reason],It cannot be equipped without the power of the PC any more.,0,99,1602,u8,1,%d,u8,Wrap
Analog minimum workmanship,Motion cancel analog: Minimum skill value,0,99,1005,u8,1,%d,u8,Wrap
Maximum analog workmanship,Motion cancel analog: Maximum skill value,0,99,1006,u8,1,%d,u8,Wrap
category,Used for sorting> For menu,0,255,100,u8,1,%d,MAGIC_CATEGORY,Wrap
ID category,Call ID category [Attack, Projectile, Special Effects],0,255,520,u8,1,%d,BEHAVIOR_REF_TYPE,Wrap
Special effects category,Since there are effects (enchantment weapons, etc.) whose parameters fluctuate depending on skills, magic, items, etc., set each action so that the determined effect can correspond to the effect such as "power up only weapon attack". Set "None" for items that do not need to be set, such as varistor.
