DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Mimicry weight 0,Mimicry weight 0,-1,1000,100,f32,0.01,%f,f32,Wrap
Mimicry weight 1,Mimicry weight 1,-1,1000,110,f32,0.01,%f,f32,Wrap
Mimicry weight 2,Mimicry weight 2,-1,1000,120,f32,0.01,%f,f32,Wrap
Mimicry 0 SFXID Forward swing,Mimicry 0 SFXID Forward swing,-1,999999999,300,s32,1,%d,s32,Wrap
Mimicry 0 SFXID body,Mimicry 0 SFXID body,-1,999999999,310,s32,1,%d,s32,Wrap
Mimicry 0 SFXID release,Mimicry 0 SFXID release,-1,999999999,320,s32,1,%d,s32,Wrap
Mimicry 1 SFXID Forward swing,Mimicry 1 SFXID Forward swing,-1,999999999,400,s32,1,%d,s32,Wrap
Mimicry 1 SFXID body,Mimicry 1 SFXID body,-1,999999999,410,s32,1,%d,s32,Wrap
Mimicry 1 SFXID release,Mimicry 1 SFXID release,-1,999999999,420,s32,1,%d,s32,Wrap
Mimicry 2 SFXID Forward swing,Mimicry 2 SFXID Forward swing,-1,999999999,500,s32,1,%d,s32,Wrap
Mimicry 2 SFXID body,Mimicry 2 SFXID body,-1,999999999,510,s32,1,%d,s32,Wrap
Mimicry 2 SFXID cancellation,Mimicry 2 SFXID cancellation,-1,999999999,520,s32,1,%d,s32,Wrap
pad,pad,,,521,dummy8,,,dummy8,None
