DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Cell size X,Cell size X,1,9999,0,f32,0,,f32,None
Cell size Y,Cell size Y,1,9999,1,f32,0,,f32,None
Cell size Z,Cell size Z,1,9999,2,f32,0,,f32,None
Cell offset X,Cell offset X,0,9999,3,f32,0,,f32,None
Cell offset Y,Cell offset Y,0,9999,4,f32,0,,f32,None
Cell offset Z,Cell offset Z,0,9999,5,f32,0,,f32,None
Effective bloodstain / death illusion,Effective bloodstain / death illusion,0,1,6,u8,0,,BOOL_CIRCLECROSS_TYPE,None
Blood character valid,Blood character valid,0,1,7,u8,0,,BOOL_CIRCLECROSS_TYPE,None
Phantom effective,Phantom effective,0,1,8,u8,0,,BOOL_CIRCLECROSS_TYPE,None
Multiplayer enabled,Multiplayer enabled,0,1,9,u8,0,,BOOL_CIRCLECROSS_TYPE,None
Ring search enabled,Is it a search target for ring search? (Area called Kanemori Ash Spirit / Relief Blue Spirit),0,1,10,u8,0,,BOOL_CIRCLECROSS_TYPE,None
Intrusion search enabled,Is it the target of intrusion search?,0,1,11,u8,0,,BOOL_CIRCLECROSS_TYPE,None
dummy,,,,999,dummy8,,,dummy8,None
