DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
priority,priority,0,9999,10,u16,1,%u,u16,Wrap
Forced interrupt,Forced interrupt,0,1,20,u8,1,%d,BOOL_YESNO_TYPE,Wrap
reserve,reserve,,,2001,dummy8,,,dummy8,None
White spirit (white sign),White spirit (white sign),-1,999999999,110,s32,1,%d,s32,Wrap
Sun spirit (white sign),Sun spirit (white sign),-1,999999999,120,s32,1,%d,s32,Wrap
Berserker spirit (white sign),Berserker spirit (white sign),-1,999999999,130,s32,1,%d,s32,Wrap
Sinner Hero Spirit (white sign),Sinner Hero Spirit (white sign),-1,999999999,140,s32,1,%d,s32,Wrap
Dark spirit (red sign),Dark spirit (red sign),-1,999999999,150,s32,1,%d,s32,Wrap
Sun spirit (red sign),Sun spirit (red sign),-1,999999999,160,s32,1,%d,s32,Wrap
Berserker spirit (red sign),Berserker spirit (red sign),-1,999999999,170,s32,1,%d,s32,Wrap
Intrusion_A,Intrusion_A,-1,999999999,180,s32,1,%d,s32,Wrap
Sun spirit (intrusion),Sun spirit (intrusion),-1,999999999,190,s32,1,%d,s32,Wrap
Berserker spirit (intrusion),Berserker spirit (intrusion),-1,999999999,200,s32,1,%d,s32,Wrap
Sinner hunting spirit (visit),Sinner hunting spirit (visit),-1,999999999,210,s32,1,%d,s32,Wrap
Red Scare Spirit (Visit),Red Scare Spirit (Visit),-1,999999999,220,s32,1,%d,s32,Wrap
Boss guardian spirit (visit),Boss guardian spirit (visit),-1,999999999,230,s32,1,%d,s32,Wrap
Map Guardian Spirit_Forest (Visit),Map Guardian Spirit_Forest (Visit),-1,999999999,240,s32,1,%d,s32,Wrap
Map Guardian_Anor (Visit),Map Guardian_Anor (Visit),-1,999999999,250,s32,1,%d,s32,Wrap
Rosalia spirit (red sign),Rosalia spirit (red sign),-1,999999999,172,s32,1,%d,s32,Wrap
Rosalia spirit (intrusion),Rosalia spirit (intrusion),-1,999999999,202,s32,1,%d,s32,Wrap
Red Scare Spirit 2 (Visit),Red Scare Spirit 2 (Visit),-1,999999999,222,s32,1,%d,s32,Wrap
NPC Pseudo Multi 1,NPC Pseudo Multi 1,-1,999999999,260,s32,1,%d,s32,Wrap
NPC Pseudo Multi 2,NPC Pseudo Multi 2,-1,999999999,270,s32,1,%d,s32,Wrap
NPC Pseudo Multi 3,NPC Pseudo Multi 3,-1,999999999,280,s32,1,%d,s32,Wrap
NPC Pseudo Multi 4,NPC Pseudo Multi 4,-1,999999999,290,s32,1,%d,s32,Wrap
Battle royale,Battle royale,-1,999999999,2000,s32,1,%d,s32,Wrap
NPC Pseudo Multi 5,NPC Pseudo Multi 5,-1,999999999,300,s32,1,%d,s32,Wrap
NPC Pseudo Multi 6,NPC Pseudo Multi 6,-1,999999999,310,s32,1,%d,s32,Wrap
NPC Pseudo Multi 7,NPC Pseudo Multi 7,-1,999999999,320,s32,1,%d,s32,Wrap
NPC Pseudo Multi 8,NPC Pseudo Multi 8,-1,999999999,330,s32,1,%d,s32,Wrap
NPC Pseudo Multi 9,NPC Pseudo Multi 9,-1,999999999,340,s32,1,%d,s32,Wrap
NPC Pseudo Multi 10,NPC Pseudo Multi 10,-1,999999999,350,s32,1,%d,s32,Wrap
NPC Pseudo Multi 11,NPC Pseudo Multi 11,-1,999999999,360,s32,1,%d,s32,Wrap
NPC Pseudo Multi 12,NPC Pseudo Multi 12,-1,999999999,370,s32,1,%d,s32,Wrap
NPC Pseudo Multi 13,NPC Pseudo Multi 13,-1,999999999,380,s32,1,%d,s32,Wrap
NPC Pseudo Multi 14,NPC Pseudo Multi 14,-1,999999999,390,s32,1,%d,s32,Wrap
NPC Pseudo Multi 15,NPC Pseudo Multi 15,-1,999999999,400,s32,1,%d,s32,Wrap
NPC Pseudo Multi 16,NPC Pseudo Multi 16,-1,999999999,410,s32,1,%d,s32,Wrap
Intrusion_B,Intrusion_B,-1,999999999,182,s32,1,%d,s32,Wrap
White spirit (white sign) for NPCs,White spirit (white sign) for NPCs,-1,999999999,1000,s32,1,%d,s32,Wrap
For intrusion_A_NPCs,For intrusion_A_NPCs,-1,999999999,1010,s32,1,%d,s32,Wrap
For intrusion_B_NPCs,For intrusion_B_NPCs,-1,999999999,1020,s32,1,%d,s32,Wrap
For intrusion_C_NPCs,For intrusion_C_NPCs,-1,999999999,1030,s32,1,%d,s32,Wrap
reserve,reserve,,,2002,dummy8,,,dummy8,None
