DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Sign height offset [m],,0,1,0,f32,0.01,%f,f32,Wrap
Sign position correction maximum distance [m],,0,1,1,f32,0.01,%f,f32,Wrap
Summon desired timeout time [seconds],,0,999,2,f32,1,%f,f32,Wrap
reserve,,,,3,dummy8,,,dummy8,None
Message display interval [seconds] during registration of signature accumulation,,0,10000,100,f32,0.1,%f,f32,Wrap
Key guide vertical range [m],,1,1000,101,f32,1,%f,f32,Wrap
Waiting time for reacquisition of summoning sign (during depopulation) [seconds],,1,1000,102,f32,1,%f,f32,Wrap
Summon sign reacquisition waiting time [seconds],,1,1000,103,f32,1,%f,f32,Wrap
Maximum number of summon signs you can have (overall),Actually u8 is enough,1,20,105,u32,1,%u,u32,Wrap
Maximum number of summon signs you can have (cell),Actually u8 is enough,1,99,106,u32,1,%u,u32,Wrap
Summon sign update waiting time [seconds],,0,1000,107,f32,1,%f,f32,Wrap
Exclusive horizontal range for drawing between summon signs [m],,0,1000,108,f32,1,%f,f32,Wrap
Exclusive vertical range for drawing between summon signs [m],,0,1000,109,f32,1,%f,f32,Wrap
Summon sign character model drawing waiting time [seconds],,0,1000,110,f32,1,%f,f32,Wrap
Summon sign PC drawing distance [m],,0,1000,112,f32,1,%f,f32,Wrap
Summon sign acquisition cell range (horizontal),Actually u8 is enough,0,1,113,u32,1,%u,u32,Wrap
Summon sign acquisition cell range (upward),Actually u8 is enough,0,1,114,u32,1,%u,u32,Wrap
Summon sign acquisition cell range (downward),Actually u8 is enough,0,1,115,u32,1,%u,u32,Wrap
White spirit sign display time limit lower limit magnification,,1,1000,116,f32,1,%f,f32,Wrap
Small spirit sign display time limit lower limit magnification,,1,1000,117,f32,1,%f,f32,Wrap
White spirit sign keyword extension magnification,,1,1000,118,f32,1,%f,f32,Wrap
Ghost sign keyword extension magnification,,1,1000,119,f32,1,%f,f32,Wrap
Dark Spirit Sign Keyword Extension Magnification,,1,1000,120,f32,1,%f,f32,Wrap
Dragon Spirit Sign Keyword Extension Magnification,,1,1000,121,f32,1,%f,f32,Wrap
Sign acquisition limit,Actually u8 is enough,0,1000,122,u32,1,%u,u32,Wrap
Sign download span,,0,1000,123,f32,0.1,%f,f32,Wrap
Sign upload span,,0,1000,124,f32,0.1,%f,f32,Wrap
reserve,,,,125,dummy8,,,dummy8,None
Number of intruders acquired,,1,1000,200,u32,1,%u,u32,Wrap
Intrusion request interval [seconds],,0,999,201,f32,0.1,%f,f32,Wrap
Intrusion request timeout time [seconds],,0,999,202,f32,0.1,%f,f32,Wrap
reserve,,,,203,dummy8,,%f,dummy8,Wrap
Key guide horizontal range [m],,0,1000,300,f32,1,%f,f32,Wrap
Key guide vertical range [m],,0,1000,301,f32,1,%f,f32,Wrap
Number of blood characters acquired (overall),Actually u8 is enough,1,99,302,u32,1,%u,u32,Wrap
Number of blood characters acquired (cell, new order),Actually u8 is enough,1,99,303,u32,1,%u,u32,Wrap
Number of blood characters acquired (cell, random),Actually u8 is enough,1,99,304,u32,1,%u,u32,Wrap
Upper limit of the number of blood characters that can be possessed (overall),Actually u16 is enough,1,999,305,u32,1,%u,u32,Wrap
Upper limit of the number of blood characters that can be possessed (cell),Actually u8 is enough,1,100,307,u32,1,%u,u32,Wrap
Blood character drawing exclusive horizontal range [m],,0,1000,308,f32,1,%f,f32,Wrap
Blood character drawing exclusive vertical range [m],,0,1000,309,f32,1,%f,f32,Wrap
Blood character PC drawing distance [m],,0,1000,310,f32,1,%f,f32,Wrap
Maximum number of written blood characters history,Actually u8 is enough,0,1000,311,u32,1,%u,u32,Wrap
Maximum number of blood characters read,Actually u8 is enough,0,1000,312,u32,1,%u,u32,Wrap
Blood character reacquisition waiting time [seconds],,0,1000,313,f32,1,%f,f32,Wrap
Blood character acquisition cell range (horizontal),Actually u8 is enough,0,1,314,u32,1,%u,u32,Wrap
Blood character acquisition cell range (upward),Actually u8 is enough,0,1,315,u32,1,%u,u32,Wrap
Blood character acquisition cell range (downward),Actually u8 is enough,0,1,316,u32,1,%u,u32,Wrap
Blood character data retention period upper limit [seconds],Actually u16 is enough,1,1800,317,u32,1,%u,u32,Wrap
Blood character download interval,,0,10000,318,f32,0.1,%f,f32,Wrap
Blood character evaluation number Download interval,,0,10000,318,f32,0.1,%f,f32,Wrap
reserve,,,,319,dummy8,,,dummy8,None
Allowable distance between bloodstain position and illusion start position [m],If the distance between the bloodstain position and the illusion start position is farther than this value, the server will not be registered.,0,1000,401,f32,0.1,%f,f32,Wrap
Key guide vertical range [m],,0,1000,402,f32,1,%f,f32,Wrap
Player Bloodstain Key Guide Horizontal Range [m],,0,1000,403,f32,1,%f,f32,Wrap
Player Bloodstain Key Guide Vertical Range [m],,0,1000,404,f32,1,%f,f32,Wrap
