DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Right hand proximity_R1 combo,Right-handed proximity behavior,-9999,9999,0,s16,1,%d,s16,None
Right hand proximity_R2 combo,Right-handed proximity behavior,-9999,9999,100,s16,1,%d,s16,None
Right-handed melee_dash attack,Right-handed proximity behavior,-9999,9999,200,s16,1,%d,s16,None
Right-handed melee_front rolling attack,Right-handed proximity behavior,-9999,9999,300,s16,1,%d,s16,None
Right hand proximity_left and right rolling attack,Right-handed proximity behavior,-9999,9999,400,s16,1,%d,s16,None
Right-handed melee_rear rolling attack,Right-handed proximity behavior,-9999,9999,500,s16,1,%d,s16,None
Right-handed melee_backstep attack,Right-handed proximity behavior,-9999,9999,600,s16,1,%d,s16,None
Right-handed melee_jump attack,Right-handed proximity behavior,-9999,9999,700,s16,1,%d,s16,None
Right-handed melee_dash jump attack,Right-handed proximity behavior,-9999,9999,800,s16,1,%d,s16,None
unused,,-9999,9999,900,s16,1,%d,s16,None
Right hand long range _R1 shooting,Right-handed long-range weapon action,-9999,9999,1000,s16,1,%d,s16,None
Right hand long range _R2 shooting,Right-handed long-range weapon action,-9999,9999,1100,s16,1,%d,s16,None
unused,,-9999,9999,1200,s16,1,%d,s16,None
Right hand magic _ long distance magic _ move forward,Right hand magic action,-9999,9999,2200,s16,1,%d,s16,None
Right-handed magic_long-distance magic_moving backwards,Right hand magic action,-9999,9999,2220,s16,1,%d,s16,None
Move left / right [Close Draw Bow],Interrupt approached while holding a bow,-9999,9999,24000,s16,1,%d,s16,None
Left and right rolling [Close Draw Bow],Interrupt approached while holding a bow,-9999,9999,24100,s16,1,%d,s16,None
Do not interrupt [Close Draw Bow],Interrupt approached while holding a bow,-9999,9999,24200,s16,1,%d,s16,None
unused,,-9999,9999,24300,s16,1,%d,s16,None
unused,,-9999,9999,24400,s16,1,%d,s16,None
Right hand magic_Melee magic_Left and right,Right hand magic action,-9999,9999,2010,s16,1,%d,s16,None
Right hand magic_medium range magic_left and right,Right hand magic action,-9999,9999,2110,s16,1,%d,s16,None
Right hand magic _ long distance magic _ left and right,Right hand magic action,-9999,9999,2210,s16,1,%d,s16,None
Right hand magic _HP recovery magic,Right hand magic action,-9999,9999,2300,s16,1,%d,s16,None
Right hand magic_buff magic,Right hand magic action,-9999,9999,2400,s16,1,%d,s16,None
Right hand magic_Melee magic_Move forward,Right hand magic action,-9999,9999,2000,s16,1,%d,s16,None
Right hand magic_Melee magic_Move backwards,Right hand magic action,-9999,9999,2020,s16,1,%d,s16,None
Right-handed magic_Medium-range magic_Move forward,Right hand magic action,-9999,9999,2100,s16,1,%d,s16,None
Right-handed magic_Medium-range magic_Move backwards,Right hand magic action,-9999,9999,2120,s16,1,%d,s16,None
unused,,-9999,9999,2900,s16,1,%d,s16,None
Right hand shield_R1 attack,Right hand shield action,-9999,9999,3000,s16,1,%d,s16,None
Right hand shield_R2 attack,Right hand shield action,-9999,9999,3100,s16,1,%d,s16,None
unused,,-9999,9999,3200,s16,1,%d,s16,None
unused,,-9999,9999,3300,s16,1,%d,s16,None
unused,,-9999,9999,3400,s16,1,%d,s16,None
Backstep [SuccessGuard],Guard success interrupt,-9999,9999,25000,s16,1,%d,s16,None
Do not interrupt [SuccessGuard],Guard success interrupt,-9999,9999,25200,s16,1,%d,s16,None
Guard Counter Attack [SuccessGuard],Guard success interrupt,-9999,9999,25100,s16,1,%d,s16,None
unused,,-9999,9999,25300,s16,1,%d,s16,None
unused,,-9999,9999,25400,s16,1,%d,s16,None
Left hand proximity_R1 combo (both hands only),Left hand proximity behavior,-9999,9999,4000,s16,1,%d,s16,None
Left hand proximity_R2 combo (both hands only),Left hand proximity behavior,-9999,9999,4100,s16,1,%d,s16,None
Left-handed proximity_L1 combo (one-handed only),Left hand proximity behavior,-9999,9999,4200,s16,1,%d,s16,None
Left-handed melee_dash attack (both hands only),Left hand proximity behavior,-9999,9999,4300,s16,1,%d,s16,None
Left hand proximity_front rolling attack (both hands only),Left hand proximity behavior,-9999,9999,4400,s16,1,%d,s16,None
Left hand proximity_left and right rolling attack (only with both hands),Left hand proximity behavior,-9999,9999,4500,s16,1,%d,s16,None
Left hand proximity_rear rolling attack (only with both hands),Left hand proximity behavior,-9999,9999,4600,s16,1,%d,s16,None
Left-handed melee_backstep attack (only with both hands),Left hand proximity behavior,-9999,9999,4700,s16,1,%d,s16,None
Left-handed melee_jump attack (only with both hands),Left hand proximity behavior,-9999,9999,4800,s16,1,%d,s16,None
Left-handed melee_dash jump attack (only with both hands),Left hand proximity behavior,-9999,9999,4900,s16,1,%d,s16,None
Left hand long range _R1 shooting,Left-handed long-range weapon action,-9999,9999,5000,s16,1,%d,s16,None
Left hand long range _R2 shooting,Left-handed long-range weapon action,-9999,9999,5100,s16,1,%d,s16,None
unused,,-9999,9999,5200,s16,1,%d,s16,None
Left hand magic _ long distance magic _ move forward,Left hand magic action,-9999,9999,6200,s16,1,%d,s16,None
Left hand magic _ long distance magic _ move backward,Left hand magic action,-9999,9999,6220,s16,1,%d,s16,None
Fatal Attack [Success Parry],Parry Success Interrupt,-9999,9999,26000,s16,1,%d,s16,None
Do not interrupt [Success Parry],Parry Success Interrupt,-9999,9999,26100,s16,1,%d,s16,None
unused,,-9999,9999,26200,s16,1,%d,s16,None
unused,,-9999,9999,26300,s16,1,%d,s16,None
unused,,-9999,9999,26400,s16,1,%d,s16,None
Left hand magic_Melee magic_Left and right,Left hand magic action,-9999,9999,6010,s16,1,%d,s16,None
Left hand magic_medium range magic_left and right,Left hand magic action,-9999,9999,6110,s16,1,%d,s16,None
Left hand magic _ long distance magic _ left and right,Left hand magic action,-9999,9999,6210,s16,1,%d,s16,None
