DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Do you remove it from the NT version output?,Parameters marked with ○ are excluded in the NT version package.,0,1,0,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Reserve for package output 1,Reserve for package output 1,,,2000001,dummy8,,%d,dummy8,None
Reserve for package output 2,Reserve for package output 2,,,2000002,dummy8,,%d,dummy8,None
Behavior variation ID,Variation ID used when calculating the action ID.,0,99999,1000,s32,1,%d,s32,Wrap
Poison resistance correction rule ID,When the abnormal condition is activated, the maximum value is temporarily changed by using the set value of the abnormal condition resistance correction parameter.,-1,999999999,44000,s32,1,%d,s32,Wrap
NPC name ID,NPC Name Message Parameter ID,-1,999999,3000,s32,1,%d,s32,Wrap
Turning speed [deg / sec],Rotational speed [degrees / second] that can turn in 1 second.,0,1000000,8000,f32,0.1,%f,f32,Wrap
Height per map [m],The height of the capsule per character.,0,999999,13000,f32,0.1,%f,f32,Wrap
Radius per map [m],Radius of capsule per character.,0,999999,13100,f32,0.1,%f,f32,Wrap
Weight [kg],weight.,0,999999,15000,u32,1,%d,u32,Wrap
Display position Y offset [m],Offset of the model display position in the Y (height) direction. It can be floated from the hit position.,-100,100,16000,f32,0.1,%f,f32,Wrap
HP,Death grace.,0,99999,21000,u32,1,%d,u32,Wrap
MP,Magic usage.,0,99999,22000,u32,1,%d,u32,Wrap
Seoul,The amount of soul that a character can get at the time of death.,0,999999,27000,u32,1,%d,u32,Wrap
Item lottery ID_for enemies,Specify the lottery ID_for enemies of the item to be acquired at the time of death. Please set only one of them.,-1,999999999,28000,s32,1,%d,s32,Wrap
Item lottery ID_for map,Specify for the lottery ID_map of the item to be acquired at the time of death. Please set only one of them.,-1,999999999,28001,s32,1,%d,s32,Wrap
FootIK Ankle limit angle_roll,FootIK Ankle roll limit angle (-1: no limit),-1,90,200070,f32,0.1,%f,f32,Wrap
Per group and used navigation mesh,Set the hit judgment with other characters (If you hit the ragdoll, other characters will hit the ragdoll),0,255,9060,u8,1,%d,CHR_HIT_GROUP,Wrap
NPC face image ID,NPC face image ID (0: invalid value (default)). Specify the ID of the face image to be displayed in the "Sign browsing menu", "Kick menu", etc. If it is an invalid value, the dress-up model is displayed.,0,99,2000000,u8,1,%d,u8,Wrap
Deactivate distance setting [m],Distance at which the character is deactivated (valid only for open placement characters),-1,220,450100,s16,1,%d,s16,Wrap
Character appearance condition Para,Character appearance condition parameter ID,0,999999999,450000,u32,1,%d,CHR_ACTIVATE_CONDITION_TYPE,Wrap
FootIK Appearance up / down limit,FootIK Appearance up / down limit,0,100,200100,f32,0.01,%.3f,f32,Wrap
Human nature lottery ID,Specify the lottery ID of human nature to be acquired at the time of death,-1,999999999,33010,s32,1,%d,s32,Wrap
Resident special effect 0,Resident special effect 0,-1,999999,46000,s32,1,%d,s32,Wrap
Resident special effect 1,Resident special effect 1,-1,999999,47000,s32,1,%d,s32,Wrap
Resident special effect 2,Resident special effect 2,-1,999999,48000,s32,1,%d,s32,Wrap
Resident special effect 3,Resident special effect 3,-1,999999,49000,s32,1,%d,s32,Wrap
Resident special effect 4,Resident special effect 4,-1,999999,50000,s32,1,%d,s32,Wrap
Resident special effect 5,Resident special effect 5,-1,999999,50010,s32,1,%d,s32,Wrap
Resident special effect 6,Resident special effect 6,-1,999999,50020,s32,1,%d,s32,Wrap
Resident special effect 7,Resident special effect 7,-1,999999,50030,s32,1,%d,s32,Wrap
Special effect ID for lap bonus,Special effect ID for lap bonus,-1,999999,51000,s32,1,%d,s32,Wrap
Physical attack cut rate [%],Set the damage cut rate when guarding for each attack,0,100,55000,f32,0.1,%0.1f,f32,Wrap
