DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
SFX identifier: 00,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,1,u32,1,%d,u32,Wrap
SFX identifier: 01,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,2,u32,1,%d,u32,Wrap
SFX identifier: 02,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,3,u32,1,%d,u32,Wrap
SFX identifier: 03,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,4,u32,1,%d,u32,Wrap
SFX identifier: 04,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,5,u32,1,%d,u32,Wrap
SFX identifier: 05,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,6,u32,1,%d,u32,Wrap
SFX identifier: 06,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,7,u32,1,%d,u32,Wrap
SFX identifier: 07,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,8,u32,1,%d,u32,Wrap
SFX identifier: 08,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,9,u32,1,%d,u32,Wrap
SFX identifier: 09,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,10,u32,1,%d,u32,Wrap
SFX identifier: 10,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,11,u32,1,%d,u32,Wrap
SFX identifier: 11,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,12,u32,1,%d,u32,Wrap
SFX identifier: 12,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,13,u32,1,%d,u32,Wrap
SFX identifier: 13,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,14,u32,1,%d,u32,Wrap
SFX identifier: 14,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,15,u32,1,%d,u32,Wrap
SFX identifier: 15,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,16,u32,1,%d,u32,Wrap
SFX identifier: 16,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,17,u32,1,%d,u32,Wrap
SFX identifier: 17,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,18,u32,1,%d,u32,Wrap
SFX identifier: 18,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,19,u32,1,%d,u32,Wrap
SFX identifier: 19,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,20,u32,1,%d,u32,Wrap
SFX identifier: 20,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,21,u32,1,%d,u32,Wrap
SFX identifier: 21,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,22,u32,1,%d,u32,Wrap
SFX identifier: 22,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,23,u32,1,%d,u32,Wrap
SFX identifier: 23,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,24,u32,1,%d,u32,Wrap
SFX identifier: 24,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,25,u32,1,%d,u32,Wrap
SFX identifier: 25,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,26,u32,1,%d,u32,Wrap
SFX identifier: 26,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,27,u32,1,%d,u32,Wrap
SFX identifier: 27,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,28,u32,1,%d,u32,Wrap
SFX identifier: 28,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,29,u32,1,%d,u32,Wrap
SFX identifier: 29,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,30,u32,1,%d,u32,Wrap
SFX identifier: 30,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,31,u32,1,%d,u32,Wrap
SFX identifier: 31,SFX identifier corresponding to the object parameter "SFX identifier after destruction",0,1E+09,32,u32,1,%d,u32,Wrap
