DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
HP,Durability until destruction (-1: Indestructible),-1,9999,100,s16,1,%d,s16,None
Defense power,Attack power below this value is no damage,0,9999,200,u16,1,%d,u16,None
Xref texture ID,mAA / mAA_ ????. Tpf (-1: None) (AA: Area number),-1,9999,500,s16,1,%d,s16,None
Material ID,Material ID. Treated the same as the floor material. When -1, the same behavior as before,-1,999,800,s16,1,%d,s16,None
Anime destruction ID maximum value,What is the animation destruction ID from 0 to what?,0,99,700,u8,1,%d,u8,None
Does the camera hit?,Does the camera hit (0: not hit, 1: hit),0,1,310,u8,1,%d,u8,Wrap
Will it break in a player collision?,Broken when the player touches (0: no, 1:),0,1,400,u8,1,%d,u8,Wrap
Is it anime destruction?,Is it animation destruction (0: physical destruction, 1: animation destruction),0,1,600,u8,1,%d,u8,Wrap
Will it hit a penetrating bullet?,Will the penetrating bullet hit (0: not hit, 1: hit),0,1,900,u8,1,%d,u8,Wrap
Will the character win?,Does the character win (0: not hit, 1: hit),0,1,311,u8,1,%d,u8,Wrap
Do you play the attack,Do you play the attack (0: do not play, 1: play),0,1,950,u8,1,%d,u8,Wrap
No destruction for initial appearance,Broken at the initial appearance of the player (0: ru, 1: no),0,1,450,u8,1,%d,u8,Wrap
Is it a ladder?,Is it a ladder (0: different, 1: yes),0,1,970,u8,1,%d,u8,Wrap
Do you want to stop the animation during the poly play?,Do you want to stop the animation during the poly play (0: not, 1: do),0,1,980,u8,1,%d,u8,Wrap
Is it not damaged?,No damage (0: hit, 1: not hit),0,1,312,u8,1,%d,u8,Wrap
Is it a moving object?,Is it a moving object (0: different, 1: yes),0,1,975,u8,1,%d,u8,Wrap
Is it a suspension bridge object?,Suspension bridge object (0: different, 1: yes),0,1,971,u8,1,%d,u8,Wrap
Does the damage blow off the rigid body?,Does the damage blow the rigid body (0: do not blow, 1: blow),0,1,376,u8,1,%d,u8,Wrap
Will it break if the character gets on it?,Will it break if the character gets on (0: it won't break 1: it will break),0,1,402,u8,1,%d,u8,Wrap
Will it burn,Will it burn (0: not, 1:),0,1,1400,u8,1,%d,u8,Wrap
Will it be destroyed by an enemy character collision?,Broken when an enemy character touches (0: No, 1: Ru),0,1,401,u8,1,%d,u8,Wrap
