DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Right elbow _ inside and outside,Right elbow _ inside and outside,-180,180,1,s16,1,%d,s16,Wrap
Left elbow_inside and outside,Left elbow_inside and outside,-180,180,2,s16,1,%d,s16,Wrap
Both feet _ inside and outside,Both feet _ inside and outside,-180,180,3,s16,1,%d,s16,Wrap
Right elbow _ inside and outside,Right elbow _ inside and outside,-180,180,4,s16,1,%d,s16,Wrap
Left elbow_inside and outside,Left elbow_inside and outside,-180,180,5,s16,1,%d,s16,Wrap
Both feet _ inside and outside,Both feet _ inside and outside,-180,180,6,s16,1,%d,s16,Wrap
Right elbow _ inside and outside,Right elbow _ inside and outside,-180,180,7,s16,1,%d,s16,Wrap
Left elbow_inside and outside,Left elbow_inside and outside,-180,180,8,s16,1,%d,s16,Wrap
Both feet _ inside and outside,Both feet _ inside and outside,-180,180,9,s16,1,%d,s16,Wrap
Right elbow _ inside and outside,Right elbow _ inside and outside,-180,180,10,s16,1,%d,s16,Wrap
Left elbow_inside and outside,Left elbow_inside and outside,-180,180,11,s16,1,%d,s16,Wrap
Both feet _ inside and outside,Both feet _ inside and outside,-180,180,12,s16,1,%d,s16,Wrap
Right elbow _ inside and outside,Right elbow _ inside and outside,-180,180,13,s16,1,%d,s16,Wrap
Left elbow_inside and outside,Left elbow_inside and outside,-180,180,14,s16,1,%d,s16,Wrap
Both feet _ inside and outside,Both feet _ inside and outside,-180,180,15,s16,1,%d,s16,Wrap
Right elbow _ inside and outside,Right elbow _ inside and outside,-180,180,16,s16,1,%d,s16,Wrap
Left elbow_inside and outside,Left elbow_inside and outside,-180,180,17,s16,1,%d,s16,Wrap
Both feet _ inside and outside,Both feet _ inside and outside,-180,180,18,s16,1,%d,s16,Wrap
Right elbow _ inside and outside,Right elbow _ inside and outside,-180,180,19,s16,1,%d,s16,Wrap
Left elbow_inside and outside,Left elbow_inside and outside,-180,180,20,s16,1,%d,s16,Wrap
Both feet _ inside and outside,Both feet _ inside and outside,-180,180,21,s16,1,%d,s16,Wrap
Right elbow _ inside and outside,Right elbow _ inside and outside,-180,180,22,s16,1,%d,s16,Wrap
Left elbow_inside and outside,Left elbow_inside and outside,-180,180,23,s16,1,%d,s16,Wrap
Both feet _ inside and outside,Both feet _ inside and outside,-180,180,24,s16,1,%d,s16,Wrap
Right elbow _ inside and outside,Right elbow _ inside and outside,-180,180,25,s16,1,%d,s16,Wrap
Left elbow_inside and outside,Left elbow_inside and outside,-180,180,26,s16,1,%d,s16,Wrap
Both feet _ inside and outside,Both feet _ inside and outside,-180,180,27,s16,1,%d,s16,Wrap
pad,,,,29,dummy8,,%d,dummy8,Wrap
