DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Left arm_front and back,Left arm_front and back,-180,180,1,s16,1,%d,s16,Wrap
Left wrist_front and back,Left wrist_front and back,-180,180,2,s16,1,%d,s16,Wrap
Left wrist_inside and outside,Left wrist_inside and outside,-180,180,3,s16,1,%d,s16,Wrap
Left arm_front and back,Left arm_front and back,-180,180,4,s16,1,%d,s16,Wrap
Left wrist_front and back,Left wrist_front and back,-180,180,5,s16,1,%d,s16,Wrap
Left wrist_inside and outside,Left wrist_inside and outside,-180,180,6,s16,1,%d,s16,Wrap
Left arm_front and back,Left arm_front and back,-180,180,7,s16,1,%d,s16,Wrap
Left wrist_front and back,Left wrist_front and back,-180,180,8,s16,1,%d,s16,Wrap
Left wrist_inside and outside,Left wrist_inside and outside,-180,180,9,s16,1,%d,s16,Wrap
pad,,,,11,dummy8,,%d,dummy8,Wrap
