DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Lottery slot ID 0,Will it appear if the slot is won?,0,1,1,u8,1,%d,u8,Wrap
Lottery slot ID1,Will it appear if the slot is won?,0,1,2,u8,1,%d,u8,Wrap
Lottery slot ID2,Will it appear if the slot is won?,0,1,3,u8,1,%d,u8,Wrap
Lottery slot ID3,Will it appear if the slot is won?,0,1,4,u8,1,%d,u8,Wrap
Lottery slot ID 4,Will it appear if the slot is won?,0,1,5,u8,1,%d,u8,Wrap
Lottery slot ID 5,Will it appear if the slot is won?,0,1,6,u8,1,%d,u8,Wrap
Lottery slot ID 6,Will it appear if the slot is won?,0,1,7,u8,1,%d,u8,Wrap
Lottery slot ID 7,Will it appear if the slot is won?,0,1,8,u8,1,%d,u8,Wrap
Lottery slot ID 8,Will it appear if the slot is won?,0,1,9,u8,1,%d,u8,Wrap
Lottery slot ID 9,Will it appear if the slot is won?,0,1,10,u8,1,%d,u8,Wrap
Lottery slot ID 10,Will it appear if the slot is won?,0,1,11,u8,1,%d,u8,Wrap
Lottery slot ID 11,Will it appear if the slot is won?,0,1,12,u8,1,%d,u8,Wrap
Lottery slot ID 12,Will it appear if the slot is won?,0,1,13,u8,1,%d,u8,Wrap
Lottery slot ID 13,Will it appear if the slot is won?,0,1,14,u8,1,%d,u8,Wrap
Lottery slot ID 14,Will it appear if the slot is won?,0,1,15,u8,1,%d,u8,Wrap
Lottery slot ID 15,Will it appear if the slot is won?,0,1,16,u8,1,%d,u8,Wrap
Lottery slot ID 16,Will it appear if the slot is won?,0,1,17,u8,1,%d,u8,Wrap
Lottery slot ID 17,Will it appear if the slot is won?,0,1,18,u8,1,%d,u8,Wrap
Lottery slot ID 18,Will it appear if the slot is won?,0,1,19,u8,1,%d,u8,Wrap
Lottery slot ID 19,Will it appear if the slot is won?,0,1,20,u8,1,%d,u8,Wrap
Lottery slot ID 20,Will it appear if the slot is won?,0,1,21,u8,1,%d,u8,Wrap
Lottery slot ID21,Will it appear if the slot is won?,0,1,22,u8,1,%d,u8,Wrap
Lottery slot ID 22,Will it appear if the slot is won?,0,1,23,u8,1,%d,u8,Wrap
Lottery slot ID 23,Will it appear if the slot is won?,0,1,24,u8,1,%d,u8,Wrap
Lottery slot ID 24,Will it appear if the slot is won?,0,1,25,u8,1,%d,u8,Wrap
Lottery slot ID 25,Will it appear if the slot is won?,0,1,26,u8,1,%d,u8,Wrap
Lottery slot ID 26,Will it appear if the slot is won?,0,1,27,u8,1,%d,u8,Wrap
Lottery slot ID 27,Will it appear if the slot is won?,0,1,28,u8,1,%d,u8,Wrap
Lottery slot ID 28,Will it appear if the slot is won?,0,1,29,u8,1,%d,u8,Wrap
Lottery slot ID 29,Will it appear if the slot is won?,0,1,30,u8,1,%d,u8,Wrap
Lottery slot ID 30,Will it appear if the slot is won?,0,1,31,u8,1,%d,u8,Wrap
Lottery slot ID 31,Will it appear if the slot is won?,0,1,32,u8,1,%d,u8,Wrap
Lottery slot ID 32,Will it appear if the slot is won?,0,1,33,u8,1,%d,u8,Wrap
Lottery slot ID 33,Will it appear if the slot is won?,0,1,34,u8,1,%d,u8,Wrap
Lottery slot ID 34,Will it appear if the slot is won?,0,1,35,u8,1,%d,u8,Wrap
Lottery slot ID35,Will it appear if the slot is won?,0,1,36,u8,1,%d,u8,Wrap
Lottery slot ID 36,Will it appear if the slot is won?,0,1,37,u8,1,%d,u8,Wrap
Lottery slot ID 37,Will it appear if the slot is won?,0,1,38,u8,1,%d,u8,Wrap
Lottery slot ID 38,Will it appear if the slot is won?,0,1,39,u8,1,%d,u8,Wrap
Lottery slot ID 39,Will it appear if the slot is won?,0,1,40,u8,1,%d,u8,Wrap
Lottery slot ID 40,Will it appear if the slot is won?,0,1,41,u8,1,%d,u8,Wrap
Lottery slot ID 41,Will it appear if the slot is won?,0,1,42,u8,1,%d,u8,Wrap
Lottery slot ID 42,Will it appear if the slot is won?,0,1,43,u8,1,%d,u8,Wrap
Lottery slot ID 43,Will it appear if the slot is won?,0,1,44,u8,1,%d,u8,Wrap
Lottery slot ID 44,Will it appear if the slot is won?,0,1,45,u8,1,%d,u8,Wrap
Lottery slot ID 45,Will it appear if the slot is won?,0,1,46,u8,1,%d,u8,Wrap
Lottery slot ID 46,Will it appear if the slot is won?,0,1,47,u8,1,%d,u8,Wrap
Lottery slot ID 47,Will it appear if the slot is won?,0,1,48,u8,1,%d,u8,Wrap
Lottery slot ID 48,Will it appear if the slot is won?,0,1,49,u8,1,%d,u8,Wrap
Lottery slot ID 49,Will it appear if the slot is won?,0,1,50,u8,1,%d,u8,Wrap
Lottery slot ID 50,Will it appear if the slot is won?,0,1,51,u8,1,%d,u8,Wrap
Lottery slot ID 51,Will it appear if the slot is won?,0,1,52,u8,1,%d,u8,Wrap
Lottery slot ID 52,Will it appear if the slot is won?,0,1,53,u8,1,%d,u8,Wrap
Lottery slot ID53,Will it appear if the slot is won?,0,1,54,u8,1,%d,u8,Wrap
Lottery slot ID 54,Will it appear if the slot is won?,0,1,55,u8,1,%d,u8,Wrap
Lottery slot ID 55,Will it appear if the slot is won?,0,1,56,u8,1,%d,u8,Wrap
