DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Physical attack power basic value,Physical attack power correction value,0,99.99,100,f32,0.01,%.2f,f32,Wrap
Magic attack power basic value,Magic attack power correction value,0,99.99,200,f32,0.01,%.2f,f32,Wrap
Fire attack power basic value,Fire attack power correction value,0,99.99,300,f32,0.01,%.2f,f32,Wrap
Electric shock attack power basic value,Correction value of electric shock attack power,0,99.99,400,f32,0.01,%.2f,f32,Wrap
Stamina attack power,Stamina attack power correction value,0,99.99,500,f32,0.01,%.2f,f32,Wrap
SA weapon attack power,Super Armor Weapon Attack Color Correction Value,0,99.99,600,f32,0.01,%.2f,f32,Wrap
SA durability value,SA endurance correction value,0,99.99,700,f32,0.01,%.2f,f32,Wrap
Strength correction,Correction value of muscle strength correction,0,99.99,800,f32,0.01,%.2f,f32,Wrap
Agility correction,Correction value of agility correction,0,99.99,900,f32,0.01,%.2f,f32,Wrap
Magic correction,Correction value of magic power correction,0,99.99,1000,f32,0.01,%.2f,f32,Wrap
Faith correction,Correction value of faith correction,0,99.99,1100,f32,0.01,%.2f,f32,Wrap
Physical attack cut rate when guarding,Correction value of physical attack cut rate when guarding,0,99.99,1200,f32,0.01,%.2f,f32,Wrap
Magic attack cut rate when guarding,Correction value of magic attack cut rate when guarding,0,99.99,1210,f32,0.01,%.2f,f32,Wrap
Flame attack cut rate when guarding,Correction value of flame attack cut rate when guarding,0,99.99,1220,f32,0.01,%.2f,f32,Wrap
Electric shock attack cut rate when guarding,Correction value of electric shock attack cut rate when guarding,0,99.99,1230,f32,0.01,%.2f,f32,Wrap
Guard time poison attack cut rate,Correction value of poison attack cut rate when guarding,0,99.99,1300,f32,0.01,%.2f,f32,Wrap
Epidemic attack cut rate when guarding,Correction value of plague attack cut rate when guarding,0,99.99,1310,f32,0.01,%.2f,f32,Wrap
Bleeding attack cut rate when guarding,Correction value for bleeding attack cut rate when guarding,0,99.99,1320,f32,0.01,%.2f,f32,Wrap
Curse attack cut rate when guarding,Correction value of curse attack cut rate when guarding,0,99.99,1330,f32,0.01,%.2f,f32,Wrap
Stamina defense when guarding,Correction value of stamina defense power when guarding,0,99.99,2000,f32,0.01,%.2f,f32,Wrap
Special effect ID1,Addition correction value for special effect ID1,0,255,2100,u8,1,%d,u8,Wrap
Special effect ID2,Addition correction value for special effect ID2,0,255,2200,u8,1,%d,u8,Wrap
Special effect ID3,Addition correction value for special effect ID3,0,255,2300,u8,1,%d,u8,Wrap
Resident special effect ID1,Addition correction value for resident special effect ID1,0,255,2400,u8,1,%d,u8,Wrap
Resident special effect ID2,Addition correction value for resident special effect ID2,0,255,2500,u8,1,%d,u8,Wrap
Resident special effect ID3,Addition correction value for resident special effect ID3,0,255,2600,u8,1,%d,u8,Wrap
Material ID addition value,Addition correction value of material parameter ID,0,255,2700,u8,1,%d,u8,Wrap
Level value for maximum enhanced weapon level,Level value for maximum enhanced weapon level,0,99,3000,u8,1,%d,u8,Wrap
Dark attack power basic value,Dark attack power correction value,0,99.99,410,f32,0.01,%.2f,f32,Wrap
Dark attack cut rate when guarding,Correction value of darkness attack cut rate when guarding,0,99.99,1240,f32,0.01,%.2f,f32,Wrap
Luck correction,Correction value of luck correction,0,99.99,1150,f32,0.01,%.2f,f32,Wrap
Cold attack cut rate when guarding,Correction value of cold air attack cut rate when guarding,0,99.99,1340,f32,0.01,%.2f,f32,Wrap
Enhanced price correction value,Correction value to multiply the enhancement price of the weapon parameter,0,99.99,2800,f32,0.01,%.2f,f32,Wrap
Evolution price correction value,Correction value to multiply the evolution price of the weapon parameter,0,99.99,2900,f32,0.01,%.2f,f32,Wrap
Mountable magic stone rank,Mountable magic stone rank,0,99,3100,s8,1,%d,s8,Wrap
pad,,,,3101,dummy8,,,dummy8,None
Sleep attack cut rate when guarding,Correction value of sleep attack cut rate when guarding,0,99.99,1350,f32,0.01,%.2f,f32,Wrap
Mad attack cut rate when guarding,Correction value of mad attack cut rate when guarding,0,99.99,1360,f32,0.01,%.2f,f32,Wrap
Additional attack power multiplier,Additional attack power multiplier,0,99.99,450,f32,0.01,%.2f,f32,Wrap
