DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Do you remove it from the NT version output?,Parameters marked with ○ are excluded in the NT version package.,0,1,0,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Reserve for package output 1,Reserve for package output 1,,,702,dummy8,,%d,dummy8,None
Reserve for package output 2,Reserve for package output 2,,,703,dummy8,,%d,dummy8,None
AssetId_0,AssetId_0 (-1: Ignore),-1,999999,0,s32,1,%d,s32,Wrap
AssetId_1_1,AssetId_1 (-1: Ignore),-1,999999,100,s32,1,%d,s32,Wrap
AssetId_2,AssetId_2 (-1: Ignore),-1,999999,200,s32,1,%d,s32,Wrap
AssetId_3,AssetId_3 (-1: Ignore),-1,999999,300,s32,1,%d,s32,Wrap
AssetId_4,AssetId_4 (-1: Ignore),-1,999999,400,s32,1,%d,s32,Wrap
AssetId_5,AssetId_5 (-1: Ignore),-1,999999,500,s32,1,%d,s32,Wrap
AssetId_6,AssetId_6 (-1: Ignore),-1,999999,600,s32,1,%d,s32,Wrap
AssetId_7,AssetId_7 (-1: Ignore),-1,999999,700,s32,1,%d,s32,Wrap
Appearance weight _0,Appearance ratio point (weight) _0: 0 is ignored,0,255,1,u8,1,%d,u8,Wrap
Appearance weight _1,Appearance ratio point (weight) _1,0,255,101,u8,1,%d,u8,Wrap
Appearance weight _2,Appearance ratio point (weight) _2,0,255,201,u8,1,%d,u8,Wrap
Appearance weight _3,Appearance ratio point (weight) _3,0,255,301,u8,1,%d,u8,Wrap
Appearance weight _4,Appearance ratio point (weight) _4,0,255,401,u8,1,%d,u8,Wrap
Appearance weight _5,Appearance ratio point (weight) _5,0,255,501,u8,1,%d,u8,Wrap
Appearance weight _6,Appearance ratio point (weight) _6,0,255,601,u8,1,%d,u8,Wrap
Appearance weight _7,Appearance ratio point (weight) _7,0,255,701,u8,1,%d,u8,Wrap
Reserve,Reserve,,,704,dummy8,,%d,dummy8,Wrap
