DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Reverb type,Reverb type,0,16,1,u32,1,%d,u32,None
Area No,Condition: Area No. (-1: Invalid),-1,99,2,s32,1,%d,s32,None
Indoor and outdoor,Condition: Indoor / outdoor designation (0: outdoor, 1: indoor) (-1: invalid),-1,1,3,s8,1,%d,s8,None
Evaluation distance number A,Condition: Evaluation distance number A to use (-1: invalid),-1,8,100,s8,1,%d,s8,None
Evaluation distance number B,Condition: Evaluation distance number B to be used (-1: invalid),-1,8,200,s8,1,%d,s8,None
pad0,pad0,,,9999,dummy8,,,dummy8,None
Distance MinA [m],Condition: For evaluation distance minimum specification A (less than 0: invalid),-1,512,101,f32,0.1,%f,f32,None
Distance MaxA [m],Condition: For evaluation distance maximum specification A (less than 0: invalid),-1,512,102,f32,0.1,%f,f32,None
Distance MinB [m],Condition: For evaluation distance minimum specification A (less than 0: invalid),-1,512,201,f32,0.1,%f,f32,None
Distance MaxB [m],Condition: For evaluation distance maximum specification A (less than 0: invalid),-1,512,202,f32,0.1,%f,f32,None
Minimum number of collision points No Hits,Condition: No Hit number (-1: invalid),-1,4096,300,s32,1,%d,s32,None
