DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Icon ID,Icon ID (When -1, no icon is required),-1,999999,1000,s32,1,%d,s32,Wrap
Trigger condition: Remaining HP ratio [%],Set what percentage of maxHP the remaining HP will be activated,-1,100,18000,f32,0.1,%f,f32,Wrap
Effect duration time [s],Change duration / -1 for permanent / 0 for one moment only,-1,9999,19000,f32,0.1,%f,f32,Wrap
Activation interval [s],Set how many seconds it occurs,-1,999,20000,f32,0.1,%f,f32,Wrap
Maximum HP magnification [%],Correct the maximum HP,0,99,21000,f32,0.001,%f,f32,Wrap
Maximum MP magnification [%],Correct the maximum MP,0,99,22000,f32,0.001,%f,f32,Wrap
Maximum stamina magnification [%],Correct the maximum SP,0,99,23000,f32,0.001,%f,f32,Wrap
Defender: Slash damage multiplier,Slash damage ratio: Correct the calculated damage by XX times. 1 is normal.,-99,99,29100,f32,0.001,%f,f32,Wrap
Defender: Batter damage multiplier,Batter damage ratio: The calculated damage is corrected by XX times. 1 is normal.,-99,99,29200,f32,0.001,%f,f32,Wrap
Defender: Puncture damage multiplier,Puncture damage ratio: Correct the calculated damage by XX times. 1 is normal.,-99,99,29300,f32,0.001,%f,f32,Wrap
Defender: Non-attribute damage multiplier,Non-attribute damage ratio: Correct the calculated damage by XX times. 1 is normal.,-99,99,29400,f32,0.001,%f,f32,Wrap
Defender: Magic damage multiplier,Magic damage multiplier: The calculated damage is corrected by XX times. 1 is normal.,-99,99,30000,f32,0.001,%f,f32,Wrap
Defender: Fire damage multiplier,Flame damage ratio: Correct the calculated damage by XX times. 1 is normal.,-99,99,31000,f32,0.001,%f,f32,Wrap
Defender: Electric shock damage multiplier,Electric shock damage ratio: Correct the calculated damage by XX times. 1 is normal.,-99,99,31100,f32,0.001,%f,f32,Wrap
Attacker: Physical damage multiplier,Physical damage ratio: Correct the calculated damage by XX times. 1 is normal.,-99,99,32000,f32,0.001,%f,f32,Wrap
Attacker: Magic damage multiplier,Magic damage multiplier: The calculated damage is corrected by XX times. 1 is normal.,-99,99,33000,f32,0.001,%f,f32,Wrap
Attacker: Fire damage multiplier,Flame damage ratio: Correct the calculated damage by XX times. 1 is normal.,-99,99,34000,f32,0.001,%f,f32,Wrap
Attack side: Electric shock damage ratio,Electric shock damage ratio: Correct the calculated damage by XX times. 1 is normal.,-99,99,34100,f32,0.001,%f,f32,Wrap
Physical attack power multiplier,Multiply the physical attack power by the set value,-99,99,35000,f32,0.001,%f,f32,Wrap
Magic attack power multiplier,Multiply the magic attack power by the set value,-99,99,36000,f32,0.001,%f,f32,Wrap
Fire attack power multiplier,Multiply the fire attack power by the set value,-99,99,37000,f32,0.001,%f,f32,Wrap
Electric shock attack power multiplier,Multiply the electric shock attack power by the set value,-99,99,37100,f32,0.001,%f,f32,Wrap
Physical attack power [point],Add or subtract the value set for physical attack power,-9999,9999,38000,s32,1,%d,s32,Wrap
Magic attack power [point],Add or subtract the value set for the magic attack power,-9999,9999,39000,s32,1,%d,s32,Wrap
Fire attack power [point],Add or subtract the value set for the flame attack power,-9999,9999,40000,s32,1,%d,s32,Wrap
Electric shock attack power [point],Add or subtract the value set for the electric shock attack power,-9999,9999,40100,s32,1,%d,s32,Wrap
Physical defense power multiplier,Multiply the set value for physical defense,-99,99,41000,f32,0.001,%f,f32,Wrap
Magic defense multiplier,Multiply the value set for magic defense,-99,99,42000,f32,0.001,%f,f32,Wrap
Fire defense multiplier,Multiply the fire defense by the set value,-99,99,43000,f32,0.001,%f,f32,Wrap
Electric shock defense power multiplier,Multiply the value set for the electric shock defense,-99,99,43100,f32,0.001,%f,f32,Wrap
Physical defense [point],Add or subtract the value set for physical defense,-9999,9999,44000,s32,1,%d,s32,Wrap
