DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Leaf minimum fade value,,0,1,1,f32,0.1,%f,f32,Lock
Frond minimum fade value,,0,1,2,f32,0.1,%f,f32,Lock
Branch minimum fade value,,0,1,3,f32,0.1,%f,f32,Lock
Minimum transmitted light of Leaf,,0,10,4,f32,0.1,%f,f32,Lock
Maximum transmitted light of Leaf,,0,10,5,f32,0.1,%f,f32,Lock
Minimum transmitted light of Frond,,0,10,6,f32,0.1,%f,f32,Lock
Maximum transmitted light of Frond,,0,10,7,f32,0.1,%f,f32,Lock
Minimum transmitted light of Branch,,0,10,8,f32,0.1,%f,f32,Lock
Maximum transmitted light of Branch,,0,10,9,f32,0.1,%f,f32,Lock
Billboard Specular suppression value,,0,1,10,f32,0.01,%f,f32,Lock
