DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
0,ID of SFX to use,0,9999999,1000,s32,1,%d,s32,Wrap
1,ID of SFX to use,0,9999999,1001,s32,1,%d,s32,Wrap
2,ID of SFX to use,0,9999999,1002,s32,1,%d,s32,Wrap
3,ID of SFX to use,0,9999999,1003,s32,1,%d,s32,Wrap
Four,ID of SFX to use,0,9999999,1004,s32,1,%d,s32,Wrap
Five,ID of SFX to use,0,9999999,1005,s32,1,%d,s32,Wrap
6,ID of SFX to use,0,9999999,1006,s32,1,%d,s32,Wrap
7,ID of SFX to use,0,9999999,1007,s32,1,%d,s32,Wrap
8,ID of SFX to use,0,9999999,1008,s32,1,%d,s32,Wrap
9,ID of SFX to use,0,9999999,1009,s32,1,%d,s32,Wrap
Ten,ID of SFX to use,0,9999999,1010,s32,1,%d,s32,Wrap
11 11,ID of SFX to use,0,9999999,1011,s32,1,%d,s32,Wrap
12,ID of SFX to use,0,9999999,1012,s32,1,%d,s32,Wrap
13,ID of SFX to use,0,9999999,1013,s32,1,%d,s32,Wrap
14,ID of SFX to use,0,9999999,1014,s32,1,%d,s32,Wrap
15,ID of SFX to use,0,9999999,1015,s32,1,%d,s32,Wrap
16 16,ID of SFX to use,0,9999999,1016,s32,1,%d,s32,Wrap
17 17,ID of SFX to use,0,9999999,1017,s32,1,%d,s32,Wrap
18 18,ID of SFX to use,0,9999999,1018,s32,1,%d,s32,Wrap
19 19,ID of SFX to use,0,9999999,1019,s32,1,%d,s32,Wrap
20,ID of SFX to use,0,9999999,1020,s32,1,%d,s32,Wrap
twenty one,ID of SFX to use,0,9999999,1021,s32,1,%d,s32,Wrap
twenty two,ID of SFX to use,0,9999999,1022,s32,1,%d,s32,Wrap
twenty three,ID of SFX to use,0,9999999,1023,s32,1,%d,s32,Wrap
twenty four,ID of SFX to use,0,9999999,1024,s32,1,%d,s32,Wrap
twenty five,ID of SFX to use,0,9999999,1025,s32,1,%d,s32,Wrap
26,ID of SFX to use,0,9999999,1026,s32,1,%d,s32,Wrap
27,ID of SFX to use,0,9999999,1027,s32,1,%d,s32,Wrap
28 28,ID of SFX to use,0,9999999,1028,s32,1,%d,s32,Wrap
29,ID of SFX to use,0,9999999,1029,s32,1,%d,s32,Wrap
30,ID of SFX to use,0,9999999,1030,s32,1,%d,s32,Wrap
pad,pad,0,0,1031,dummy8,0,,dummy8,None
