DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Asset Id,Specify the asset ID to generate. AEG999_999-> 999999,0,999999,0,u32,1,%d,u32,None
Slot number,This is the number for generation control. Only one asset can be generated in the same slot. You can control whether you want to generate duplicates or not.,0,4,1,u32,1,%d,u32,None
Occurrence condition,The type of condition of occurrence,0,1,2,u8,1,%d,WEATHER_ASSET_CREATE_CONDITION_TYPE,None
padding0,,,,9999,dummy8,,,dummy8,None
Transition source weather,Specify the transition source weather. It is referenced only when the occurrence condition is "transition".,-9999,9999,100,s16,1,%d,WEATHER_TYPE,None
Transition destination weather,Specify the transition destination weather. It is referenced only when the occurrence condition is "transition".,-9999,9999,100,s16,1,%d,WEATHER_TYPE,None
Elapsed time check weather,Specify the weather to check the elapsed time.,-9999,9999,200,s16,1,%d,WEATHER_TYPE,None
padding1,,,,9999,dummy8,,,dummy8,None
Elapsed time [Second],Specify the elapsed time. It is referenced only when the occurrence condition is "time elapsed". Real time Specify in seconds.,0,99999,200,f32,1,%f,f32,None
Generation delay time [Second],Specifies the time to delay after the generation is determined. The created slot will be in use while it is delayed. Created immediately with 0 or less.,-1,999,200,f32,0.1,%f,f32,None
Probability of occurrence [%],Specifies the probability of occurrence when conditions for weather transitions or elapsed time are met.,0,100,200,u32,1,%d,u32,None
Lifespan [Second],Specifies the life of the generated asset. Real time Specify in seconds.,10,99999,200,f32,1,%f,f32,None
Fade time [Second],Time [seconds] used for fade-in and fade-out. No fade below 0.,-1,64,200,f32,0.1,%f,f32,None
Generateable start time [Hour],Specifies a start time that can be generated [0.0 --24.0]. If you put -1 in either the start or the end, it will be treated as unlimited (can be generated in all time).,-1,24,300,f32,0.1,%f,f32,None
Generateable end time [Hour],Specifies the end time that can be generated [0.0 --24.0]. If you put -1 in either the start or the end, it will be treated as unlimited (can be generated in all time).,-1,24,300,f32,0.1,%f,f32,None
Generation point 0,Specify the generation point number. Specify the last 3 digits of the "Weather Asset Generation Point" in MapStudio. -1 will be invalid,-1,999,300,s16,1,%d,s16,None
Generation point 1,Specify the generation point number. Specify the last 3 digits of the "Weather Asset Generation Point" in MapStudio. -1 will be invalid,-1,999,300,s16,1,%d,s16,None
Generation point 2,Specify the generation point number. Specify the last 3 digits of the "Weather Asset Generation Point" in MapStudio. -1 will be invalid,-1,999,300,s16,1,%d,s16,None
Generation point 3,Specify the generation point number. Specify the last 3 digits of the "Weather Asset Generation Point" in MapStudio. -1 will be invalid,-1,999,300,s16,1,%d,s16,None
Generation limit ID 0,ID for production restriction. -1: Unlimited. Generation is allowed only if it matches the generation limit ID in "Map default parameter .xlsm" (SEQ08921).,-1,127,350,s8,1,%d,s8,None
Generation limit ID1,ID for production restriction. -1: Unlimited. Generation is allowed only if it matches the generation limit ID in "Map default parameter .xlsm" (SEQ08921).,-1,127,350,s8,1,%d,s8,None
Generation limit ID2,ID for production restriction. -1: Unlimited. Generation is allowed only if it matches the generation limit ID in "Map default parameter .xlsm" (SEQ08921).,-1,127,350,s8,1,%d,s8,None
Generation limit ID3,ID for production restriction. -1: Unlimited. Generation is allowed only if it matches the generation limit ID in "Map default parameter .xlsm" (SEQ08921).,-1,127,350,s8,1,%d,s8,None
Reserved2,,,,9999,dummy8,,%d,dummy8,None
