DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Map number,Specify the map number in 8 digits. Only open and legacy celestial sphere placement maps can be specified,0,999999999,0,u32,1,%d,u32,None
weather,Specifies the assets that will be valid in this weather.,-9999,9999,2,s16,1,%d,WEATHER_TYPE,None
reserved0,,,,9999,dummy8,,,dummy8,None
After "fire ashes"?,Specifies whether or not to adapt to the "fire ash" state of the map.,0,1,1,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
padding0,,,,9999,dummy8,,,dummy8,None
reserved2,,0,0,9999,u32,0,%f,u32,None
Display Asset 1,-1: Invalid Specify the asset ID to generate. AEG999_999-> 999999,-1,999999,10,s32,1,%d,s32,None
Display asset 2,-1: Invalid Specify the asset ID to generate. AEG999_999-> 999999,-1,999999,11,s32,1,%d,s32,None
Display assets 3,-1: Invalid Specify the asset ID to generate. AEG999_999-> 999999,-1,999999,12,s32,1,%d,s32,None
Display assets 4,-1: Invalid Specify the asset ID to generate. AEG999_999-> 999999,-1,999999,13,s32,1,%d,s32,None
Display assets 5,-1: Invalid Specify the asset ID to generate. AEG999_999-> 999999,-1,999999,14,s32,1,%d,s32,None
Display assets 6,-1: Invalid Specify the asset ID to generate. AEG999_999-> 999999,-1,999999,15,s32,1,%d,s32,None
Display assets 7,-1: Invalid Specify the asset ID to generate. AEG999_999-> 999999,-1,999999,16,s32,1,%d,s32,None
Display assets 8,-1: Invalid Specify the asset ID to generate. AEG999_999-> 999999,-1,999999,17,s32,1,%d,s32,None
reserved0,,,,9999,dummy8,,,dummy8,None
Generation limit ID 0,ID for production restriction. -1: Unlimited. Generation is allowed only if it matches the generation limit ID in "Map default parameter .xlsm" (SEQ08921).,-1,127,100,s8,1,%d,s8,None
Generation limit ID1,ID for production restriction. -1: Unlimited. Generation is allowed only if it matches the generation limit ID in "Map default parameter .xlsm" (SEQ08921).,-1,127,100,s8,1,%d,s8,None
Generation limit ID2,ID for production restriction. -1: Unlimited. Generation is allowed only if it matches the generation limit ID in "Map default parameter .xlsm" (SEQ08921).,-1,127,100,s8,1,%d,s8,None
Generation limit ID3,ID for production restriction. -1: Unlimited. Generation is allowed only if it matches the generation limit ID in "Map default parameter .xlsm" (SEQ08921).,-1,127,100,s8,1,%d,s8,None
reserved1,,,,9999,dummy8,,,dummy8,None
