DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Weather SfxId (common),SfxId for weather -1: No weather Sfx Set for indoor and outdoor use. Items that can be erased with Above Shadow, such as raindrops of interactive particles, are OK here.,-1,2147483647,0,s32,1,%d,s32,None
Wind SfxId (outdoor),Wind SfxId -1: No wind Sfx Created only outdoors,-1,2147483647,3,s32,1,%d,s32,None
SfxId for ground hit effect,SfxId for ground hit effect -1: None for ground hit effect,-1,2147483647,10,s32,1,%d,s32,None
SoundId for weather (common),SoundId for weather -1: No Sound,-1,2147483647,1000,s32,1,%d,s32,None
Wet time (seconds),Time to get completely wet (time until the weight of m00_00_0000_WeatherBase reaches 1.0) -1: No wetness (m00_00_0000_WeatherBase remains 0.0),-1,128,2001,f32,1,%f,f32,None
GparamId for weather,Specify the XXX part of Gparam (m00_00_? XXX_WeatherOutdoor.gparamxml) for outdoor weather. Gparam to be used can be shared between weather.,0,999,2000,u32,1,%d,u32,None
Minimum time until the next weather lottery (in-game seconds),Specify the minimum time to the next weather lottery in in-game seconds. When transitioning to this weather, the time to the next weather will be a random time between the minimum and maximum.,0,2147483647,3000,u32,0,%d,u32,None
Maximum time until the next weather lottery (in-game seconds),Specify the maximum time until the next weather lottery in in-game seconds. When transitioning to this weather, the time to the next weather will be a random time between the minimum and maximum.,0,2147483647,3001,u32,1,%d,u32,None
Wet special effect ID_00,Special effect ID on the character (-1: None),-1,99999999,4000,s32,1,%d,s32,None
Wet special effect ID_01,Special effect ID on the character (-1: None),-1,99999999,4001,s32,1,%d,s32,None
Wet special effect ID_02,Special effect ID on the character (-1: None),-1,99999999,4002,s32,1,%d,s32,None
Wet special effect ID_03,Special effect ID on the character (-1: None),-1,99999999,4003,s32,1,%d,s32,None
Wet special effect ID_04,Special effect ID on the character (-1: None),-1,99999999,4004,s32,1,%d,s32,None
Weather SfxId (indoor),Weather SfxId -1: No weather Sfx indoors only,-1,2147483647,1,s32,1,%d,s32,None
Weather SfxId (outdoor),Weather SfxId -1: No weather Sfx, outdoor only,-1,2147483647,2,s32,1,%d,s32,None
AI field of view magnification,AI field of view magnification,0,1,2100,f32,0.01,%f,f32,None
Overwrite weight value in the distance camera,Overwrite weight value in distant view camera (SEQ16724),-1,1,2050,f32,0.01,%f,f32,None
