DisplayName,Description,Minimum,Maximum,SortID,DisplayType,Increment,DisplayFormat,InternalType,EditFlags
Do you remove it from the NT version output?,Parameters marked with ○ are excluded in the NT version package.,0,1,0,u8,1,%d,BOOL_CIRCLECROSS_TYPE,None
Reserve for package output 1,Reserve for package output 1,,,2901,dummy8,,%d,dummy8,None
Reserve for package output 2,Reserve for package output 2,,,2902,dummy8,,%d,dummy8,None
Release event flag ID,Event flag ID of open condition,0,-294967297,100,u32,1,%u,u32,Wrap
Far-viewing platform discovery event flag ID,Event flag ID to be set when found on the distant view,0,-294967297,2100,u32,1,%u,u32,Wrap
Icon ID,Icon ID,0,65535,300,u16,1,%u,u16,Wrap
BGM location information (inside the entrance area),Bgm location type,0,99999999,1000,s16,1,%d,SOUND_BGM_MAP_PLACE_TYPE,Wrap
Is it a range icon?,Is it an icon that represents a range? Same size as the map,0,1,700,u8,1,%d,BOOL_CIRCLECROSS_TYPE,Wrap
Tomidai mark_Coordinates overwrite,Whether to overwrite the coordinates when using it as a distant view marker,0,1,2300,u8,1,%d,BOOL_CIRCLECROSS_TYPE,Wrap
Whether to display when there is no text,Do you want to display it even when there is no text? Basically, points are not displayed without text. Display without text when this flag is enabled,0,1,710,u8,1,%d,BOOL_CIRCLECROSS_TYPE,Wrap
Pad 3,,,,2903,dummy8,,,dummy8,None
Overwrite distant view mark_area number,AA part of mAA_BB_CC_DD,0,99,2400,u8,1,%u,u8,Wrap
Overwrite distant view mark_Grid X number,BB part of mAA_BB_CC_DD,0,99,2500,u8,1,%u,u8,Wrap
Overwrite distant view mark_Grid Z number,CC part of mAA_BB_CC_DD,0,99,2600,u8,1,%u,u8,Wrap
Cleared event flag ID,Cleared event flag ID (0: always treated as cleared),0,-294967297,110,u32,1,%u,u32,Wrap
Display setting M00,Whether to display with M00,0,1,800,u8,1,%d,BOOL_CIRCLECROSS_TYPE,Wrap
Display setting M01,Whether to display with M01,0,1,810,u8,1,%d,BOOL_CIRCLECROSS_TYPE,Wrap
pad,pad2_0,,,2904,dummy8,,,dummy8,None
pad,pad2,,,2905,dummy8,,,dummy8,None
Icon ID when distant view is found,Icon ID when distant view is found,0,65535,2200,u16,1,%u,u16,Wrap
Icon angle [deg],Display icon rotation angle [deg],-360,360,1700,f32,0.1,%.1f,f32,Wrap
Area number,AA part of mAA_BB_CC_DD,0,99,1100,u8,1,%u,u8,Wrap
Grid X number,BB part of mAA_BB_CC_DD,0,99,1200,u8,1,%u,u8,Wrap
Grid Z number,CC part of mAA_BB_CC_DD,0,99,1300,u8,1,%u,u8,Wrap
Padding,Padding,,,2906,dummy8,,,dummy8,None
X coordinate,X coordinate,-20000,20000,1400,f32,0.01,%f,f32,Wrap
Y coordinate,Y coordinate (not used),-20000,20000,1500,f32,0.01,%f,f32,Wrap
Z coordinate,Z coordinate,-20000,20000,1600,f32,0.01,%f,f32,Wrap
