||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| atk0_EzStateId || Attack 1 EzState Anime Number || Attack 1 EzState Anime Number || - ||
|| atk1_EzStateId || Attack 2 EzState Anime Number || Attack 2 EzState Anime Number || - ||
|| atk2_EzStateId || Attack 3 EzState Anime Number || Attack 3 EzState Anime Number || - ||
|| atk3_EzStateId || Attack 4 EzState Anime Number || Attack 4 EzState Anime Number || - ||
|| atk4_EzStateId || Attack 5 EzState Anime Number || Attack 5 EzState Anime Number || - ||
|| atk5_EzStateId || Attack 6 EzState Anime Number || Attack 6 EzState Anime Number || - ||
|| atk6_EzStateId || Attack 7 EzState Anime Number || Attack 7 EzState Anime Number || - ||
|| atk7_EzStateId || Attack 8 EzState Anime Number || Attack 8 EzState Anime Number || - ||
|| atk8_EzStateId || Attack 9 EzState Anime Number || Attack 9 EzState Anime Number || - ||
|| atk9_EzStateId || Attack 10 EzState Anime Number || Attack 10 EzState Anime Number || - ||
|| atk10_EzStateId || Attack 11 EzState Anime Number || Attack 11 EzState Anime Number || - ||
|| atk11_EzStateId || Attack 12 EzState Anime Number || Attack 12 EzState Anime Number || - ||
|| atk12_EzStateId || Attack 13 EzState Anime Number || Attack 13 EzState Anime Number || - ||
|| atk13_EzStateId || Attack 14 EzState Anime Number || Attack 14 EzState Anime Number || - ||
|| atk14_EzStateId || Attack 15 EzState Anime Number || Attack 15 EzState Anime Number || - ||
|| atk15_EzStateId || Attack 16 EzState Anime Number || Attack 16 EzState Anime Number || - ||
|| atk16_EzStateId || Attack 17 EzState Anime Number || Attack 17 EzState Anime Number || - ||
|| atk17_EzStateId || Attack 18 EzState Anime Number || Attack 18 EzState Anime Number || - ||
|| atk18_EzStateId || Attack 19 EzState Anime Number || Attack 19 EzState Anime Number || - ||
|| atk19_EzStateId || Attack 20 EzState Anime Number || Attack 20 EzState Anime Number || - ||
|| atk20_EzStateId || Attack 21 EzState Anime Number || Attack 21 EzState Anime Number || - ||
|| atk21_EzStateId || Attack 22 EzState Anime Number || Attack 22 EzState Anime Number || - ||
|| atk22_EzStateId || Attack 23 EzState Anime Number || Attack 23 EzState Anime Number || - ||
|| atk23_EzStateId || Attack 24 EzState Anime Number || Attack 24 EzState Anime Number || - ||
