||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| hit0_Radius || 0 radius per || Sphere, capsule radius || - ||
|| hit1_Radius || 1 radius per || Sphere, capsule radius || - ||
|| hit2_Radius || 2 radii per || Sphere, capsule radius || - ||
|| hit3_Radius || 3 radii per || Sphere, capsule radius || - ||
|| knockbackDist || Knockback distance [m] || Knockback distance [m] || - ||
|| hitStopTime || Hit stop time [s] || Hit stop stop time [s] || - ||
|| spEffectId0 || Special effects 0 || Enter the ID created with the special effects parameter || - ||
|| spEffectId1 || Special effect 1 || Enter the ID created with the special effects parameter || - ||
|| spEffectId2 || Special effect 2 || Enter the ID created with the special effects parameter || - ||
|| spEffectId3 || Special effect 3 || Enter the ID created with the special effects parameter || - ||
|| spEffectId4 || Special effect 4 || Enter the ID created with the special effects parameter || - ||
|| hit0_DmyPoly1 || Per 0 Damipoli 1 || Damipoli in sphere, capsule position || - ||
|| hit1_DmyPoly1 || 1 per Damipoli 1 || Damipoli in sphere, capsule position || - ||
|| hit2_DmyPoly1 || 2 per Damipoli 1 || Damipoli in sphere, capsule position || - ||
|| hit3_DmyPoly1 || 3 per Damipoli 1 || Damipoli in sphere, capsule position || - ||
|| hit0_DmyPoly2 || Per 0 Damipoli 2 || The position of another point on the capsule Damipoli. -1 makes it a sphere || - ||
|| hit1_DmyPoly2 || 1 per Damipoli 2 || The position of another point on the capsule Damipoli. -1 makes it a sphere || - ||
|| hit2_DmyPoly2 || 2 per Damipoli 2 || The position of another point on the capsule Damipoli. -1 makes it a sphere || - ||
|| hit3_DmyPoly2 || 3 per Damipoli 2 || The position of another point on the capsule Damipoli. -1 makes it a sphere || - ||
|| blowingCorrection || Blow-off correction value || Correction value when blowing off || - ||
|| atkPhysCorrection || Physical attack power correction value || PC only. Multiplier by multiplying the basic physical attack power || - ||
|| atkMagCorrection || Magic attack power correction value || PC only. Multiply the magic attack power (in the case of a bow, correct the missile) || - ||
|| atkFireCorrection || Fire attack power correction value || PC only. Multiply the fire attack power (in the case of a bow, correct the missile) || - ||
|| atkThunCorrection || Electric shock attack power correction value || PC only. Multiplier for electric shock attack power (in the case of a bow, correct the missile) || - ||
|| atkStamCorrection || Stamina attack power correction value || PC only. Multiplier for stamina attack power || - ||
|| guardAtkRateCorrection || Repellent attack power correction value || PC only. 1 only || - ||
|| guardBreakCorrection || Repellent defense correction value || PC only. Multiplying the base value by the repelling of the attack || - ||
|| atkThrowEscapeCorrection || Throw-through attack power correction value || Weapon correction value for throw-through attacks || - ||
