||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| atkId_Bullet || Attack ID || Register each attack parameter ID. → Attack type / Attack material / Physical attack power / Magic attack power / Stamina attack power / Knockback distance. || - ||
|| sfxId_Bullet || SFX ID [bullet] || Enter the SFX ID for [Bullet]. -1 does not occur. || - ||
|| sfxId_Hit || SFXID [landing] || [Impact] Enter the SFX ID. -1 does not occur. || - ||
|| sfxId_Flick || SFXID [at the time of repelling] || [At the time of repelling] Enter the SFX ID. -1 does not occur. || - ||
|| life || Lifespan [s] || Time for missiles to continue to exist (-1 is infinite). || - ||
|| dist || Range [m] || Distance at which attenuation begins (not actual flight distance). || - ||
|| shootInterval || Fire interval [s] || Specify how many seconds the missile will be fired. || - ||
|| gravityInRange || Gravity within range [m / s ^ 2] || Downward gravity within range. || - ||
|| gravityOutRange || Gravity outside range [m / s ^ 2] || Gravity applied downward when damping begins (expresses the feeling of falling down. || - ||
|| hormingStopRange || Guidance stop distance [m] || The distance to the target to stop the guidance. A parameter that prevents you from hitting too much with a guided bullet. || - ||
|| initVellocity || Initial velocity [m / s] || Initial speed of SFX. || - ||
|| accelInRange || Acceleration within range [m / s ^ 2] || Acceleration within SFX range. || - ||
|| accelOutRange || Acceleration outside range [m / s ^ 2] || Acceleration when SFX goes out of range. || - ||
|| maxVellocity || Maximum speed [m / s] || maximum speed. || - ||
|| minVellocity || Minimum speed [m / s] || Minimum guaranteed speed. || - ||
|| accelTime || Acceleration start time [s] || Until this time, do not accelerate (make sure you can shoot magic like rockets). || - ||
|| homingBeginDist || Guidance start distance [m] || How many meters should the guidance start? || - ||
|| hitRadius || Initial radius [m] || Set the radius of the hit ball. || - ||
|| hitRadiusMax || Maximum radius [m] || Maximum radius of the hit sphere (If -1, make it the same as the initial radius / default) || - ||
|| spreadTime || Range diffusion time [s] || The time when the radius of the range expands to a small extent. || - ||
|| expDelay || Activation delay [s] || Time from landing to explosion (if 0, it explodes immediately). || - ||
|| hormingOffsetRange || Induction shift amount [m] || It is accurate if it is 0. At the time of shooting, each component of XYZ should be aimed by shifting this amount. || - ||
|| dmgHitRecordLifeTime || Time to live in damage hit history [s] || Damage hit history survival time [sec] (<= 0.0f: indefinite) || - ||
|| externalForce || External force [m / s ^ 2] || External force applied in the direction of shooting. (Y-axis is removed) || - ||
|| spEffectIDForShooter || Special effects on the person who shot || Special effects on the person who shot || - ||
|| autoSearchNPCThinkID || Funnel NPC Thinking ID || Parameters used by the funnel to search for the target || - ||
|| HitBulletID || Generated bullet ID || Specify the ID when generating a new bullet parameter from the bullet parameter || - ||
|| spEffectId0 || Special effect ID0 || Register each special effect parameter ID. → General special effects. || - ||
|| spEffectId1 || Special effect ID1 || Register each special effect parameter ID. → General special effects. || - ||
|| spEffectId2 || Special effect ID2 || Register each special effect parameter ID. → General special effects. || - ||
|| spEffectId3 || Special effect ID3 || Register each special effect parameter ID. → General special effects. || - ||
|| spEffectId4 || Special effect ID4 || Register each special effect parameter ID. → General special effects. || - ||
|| numShoot || Number of shots || The number of missiles fired at one time. || - ||
|| homingAngle || Induction performance [deg / s] || How many corrections per second? .. || - ||
|| shootAngle || Launch angle [deg] || Specify how many times the missile is fired forward. || - ||
|| shootAngleInterval || Launch angle interval [deg] || When firing multiple missiles, specify how often to fire them. (Y-axis) || - ||
|| shootAngleXInterval || Launch elevation interval [deg] || When firing multiple missiles, specify how often to fire them. (X-axis) || - ||
|| damageDamp || Physical attack power attenuation rate [% / s] || Correction value that decreases in 1 second after the attenuation distance. || - ||
|| spelDamageDamp || Magic attack power attenuation rate [% / s] || Correction value that decreases in 1 second after the attenuation distance. || - ||
|| fireDamageDamp || Flame attack power attenuation rate [% / s] || Correction value that decreases in 1 second after the attenuation distance. || - ||
|| thunderDamageDamp || Electric shock attack power attenuation rate [% / s] || Correction value that decreases in 1 second after the attenuation distance. || - ||
