||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParam_Debug || Is it a debug parameter? || Parameters marked with a circle are excluded from all packages (because they are for debugging). || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| DstTimezone_Morning || Morning || Morning (Refer to the cutscene time conversion setting sheet for the conversion time) || CUTSCENE_TIMEZONE_TYPE ||
|| DstTimezone_Noon || Noon A || Day A (Refer to the cutscene time conversion setting sheet for the conversion time) || CUTSCENE_TIMEZONE_TYPE ||
|| DstTimezone_AfterNoon || Noon B || Noon-B (Refer to the cutscene time conversion setting sheet for the conversion time) || CUTSCENE_TIMEZONE_TYPE ||
|| DstTimezone_Evening || evening || Evening (Refer to the cutscene time conversion setting sheet for the conversion time) || CUTSCENE_TIMEZONE_TYPE ||
|| DstTimezone_Night || Night || Night (Refer to the cutscene time conversion setting sheet for the conversion time) || CUTSCENE_TIMEZONE_TYPE ||
|| DstTimezone_DeepNightA || Midnight A || Midnight A (Refer to the cutscene time conversion setting sheet for the conversion time) || CUTSCENE_TIMEZONE_TYPE ||
|| DstTimezone_DeepNightB || Midnight B || Midnight B (Refer to the cutscene time conversion setting sheet for the conversion time) || CUTSCENE_TIMEZONE_TYPE ||
|| reserved || reserved || reserved || - ||
|| PostPlayIngameTime || Specify in-game time at the end of playback [hour] || Specify in-game time at the end of playback [hour] [-1.0 to 24.0] (-1 (less than 0): do nothing) || - ||
