||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| refId_default || Call ID 0 (default) || ID0 called from the item (default) || - ||
|| sfxVariationId || SFX variation ID || Specify SFX variation (used to identify SFX in combination with TimeActEditor ID) || - ||
|| weight || Weight [kg] || Weight [kg] || - ||
|| basicPrice || Basic price || Basic price || - ||
|| sellValue || Sale price || Selling price || - ||
|| behaviorId || Action ID || Set the effect that occurs when using a tool || - ||
|| replaceItemId || Replacement item ID || Item ID when replacing || - ||
|| sortId || Sort ID || Sort ID (-1: Do not collect) || - ||
|| appearanceReplaceItemId || Display replacement destination item ID || Conditionally replace the display with another tool ID. The tool ID on the game data side does not change || - ||
|| yesNoDialogMessageId || YES / NO message ID || YesNo Message ID used when displaying the dialog || - ||
|| useEnableSpEffectType || Usable condition_state change type || Allow to use only when the special effect of the set state change type is applied || SP_EFFECT_TYPE ||
|| potGroupId || Vase group ID || "Consumable items" for which 0 or more is set for the pot group ID can be possessed by the number of "pots" with the same pot group ID. || - ||
|| pad || PAD || Old (magic ID linked to a scroll) || - ||
|| iconId || Icon ID || Menu icon ID || - ||
|| modelId || Model ID || Model ID || - ||
|| shopLv || Shop level || Level that can be sold at the store || - ||
|| compTrophySedId || Comptrophy SEQ number || SEQ number of complete trophy || - ||
|| trophySeqId || Trophy SEQ number || Trophy SEQ number || - ||
|| maxNum || Maximum number of possessions || Maximum number of possessions || - ||
|| consumeHeroPoint || Consumer nature || Consumer nature || - ||
|| overDexterity || Skill over start value || Skill over start value || - ||
|| goodsType || Tool type || Types of tools || GOODS_TYPE ||
|| refCategory || ID category || ↓ ID category [Attack, Projectile, Special] || BEHAVIOR_REF_TYPE ||
|| spEffectCategory || Special effects category || Since there are effects (enchantment weapons, etc.) whose parameters fluctuate depending on skills, magic, items, etc., set each action so that the determined effect can correspond to the effect such as "power up only weapon attack". Set "None" for items that do not need to be set, such as varistor.
 || BEHAVIOR_CATEGORY ||
|| pad3 || pad ||  || - ||
|| goodsUseAnim || Animation when using tools || Set the animation to play when using the tool || GOODS_USE_ANIM ||
|| opmeMenuType || Do you want to open the menu || Menu type that opens when using an item || GOODS_OPEN_MENU ||
|| useLimitCategory || Prohibition conditions_Special effects category || Specified to control whether it can be used by the special effect applied || SP_EFFECT_USELIMIT_CATEGORY ||
|| replaceCategory || Replacement category || Condition category to add to call ID || REPLACE_CATEGORY ||
|| reserve4 || Reserve ||  || - ||
|| enable_live || Can be used alive || Is it possible to use a surviving player? || EQUIP_BOOL ||
|| enable_gray || Gray available || Can Gray Ghost be used? || EQUIP_BOOL ||
|| enable_white || White can be used || Can white ghost be used? || EQUIP_BOOL ||
|| enable_black || Black can be used || Is it possible to do a black ghost? || EQUIP_BOOL ||
|| enable_multi || Multiplayer possible || Can it be used during multiplayer? || EQUIP_BOOL ||
|| disable_offline || Not available offline || Is it unavailable while offline? || EQUIP_BOOL ||
|| isEquip || Can be equipped || Whether it can be equipped || EQUIP_BOOL ||
|| isConsume || Is it a consumable item? || Will it be consumed when used (whether the number of possessions will decrease) || EQUIP_BOOL ||
|| isAutoEquip || Is it automatically equipped? || Will it be equipped automatically when picked up? || EQUIP_BOOL ||
|| isEstablishment || Is it a stationary item? || Is it a stationary item? || EQUIP_BOOL ||
|| isOnlyOne || Can i have only one || Is it an item that you can only have one? || EQUIP_BOOL ||
|| isDiscard || Can you throw it away || Can you throw away the item? TRUE = thrown away || EQUIP_BOOL ||
|| isDeposit || Can you deposit || Can you leave it in the warehouse? || EQUIP_BOOL ||
|| isDisableHand || Can I use it with my right bare hand? || Can't be used when the right-handed weapon is bare-handed? || EQUIP_BOOL ||
|| isRemoveItem_forGameClear || Whether to delete at the time of lap || Whether to delete at the time of lap || EQUIP_BOOL ||
|| isSuppleItem || Is it a replenishment item? || Used to determine replenishable items || EQUIP_BOOL ||
|| isFullSuppleItem || Is it a replenished item? || Used to determine replenished items || EQUIP_BOOL ||
|| isEnhance || Do you want to enchant? || Do you want to enchant your weapon? || EQUIP_BOOL ||
|| isFixItem || Is it a repair item? || Is it an item to repair? || EQUIP_BOOL ||
|| disableMultiDropShare || Is multi-drop sharing prohibited? || Is multi-drop sharing prohibited? || EQUIP_BOOL ||
|| disableUseAtColiseum || Is it prohibited to use in the arena? || Is it prohibited to use in the arena? || EQUIP_BOOL ||
