||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| sortId || Sort ID || Sort ID (7 digits is the limit for s32 because the enhancement level is added in the program) || - ||
|| wanderingEquipId || Wandering equipment ID || Replacement equipment ID for wandering ghosts. || - ||
|| resistSleep || Sleep tolerance || Difficulty in getting sleep abnormalities || - ||
|| resistMadness || Madness resistance || Difficulty in getting mad || - ||
|| saDurability || SA durability value || Super armor endurance || - ||
|| toughnessCorrectRate || Toughness correction factor || It is a magnification that corrects the basic value of toughness. || - ||
|| fixPrice || Repair price || Basic repair price || - ||
|| basicPrice || Basic price || Basic price || - ||
|| sellValue || Sale price || Selling price || - ||
|| weight || Weight [kg] || Weight [kg]. || - ||
|| residentSpEffectId || Resident special effect ID1 || Resident special effect ID1 || - ||
|| residentSpEffectId2 || Resident special effect ID2 || Resident special effect ID2 || - ||
|| residentSpEffectId3 || Resident special effect ID3 || Resident special effect ID3 || - ||
|| materialSetId || Material ID || Material parameter ID required for weapon enhancement || - ||
|| partsDamageRate || Part damage rate || Part damage rate || - ||
|| corectSARecover || SA recovery time correction value || Super Armor Recovery Time Correction Value || - ||
|| originEquipPro || Derivation source || Strengthening of this armor Original armor ID || - ||
|| originEquipPro1 || Derivative source enhancement +1 || Strengthening this armor Original armor ID1 || - ||
|| originEquipPro2 || Derivative source enhancement +2 || Strengthening this armor Original armor ID2 || - ||
|| originEquipPro3 || Derivative source enhancement +3 || Strengthening this armor Original armor ID3 || - ||
|| originEquipPro4 || Derivative source enhancement +4 || Strengthening this armor Original armor ID4 || - ||
|| originEquipPro5 || Derivative source enhancement +5 || Strengthening this armor Original armor ID5 || - ||
|| originEquipPro6 || Derivative source enhancement +6 || Strengthening this armor Original armor ID6 || - ||
|| originEquipPro7 || Derivative source enhancement +7 || Strengthening this armor Original armor ID7 || - ||
|| originEquipPro8 || Derivative source enhancement +8 || Strengthening this armor Original armor ID8 || - ||
|| originEquipPro9 || Derivative source enhancement +9 || Strengthening this armor Original armor ID9 || - ||
|| originEquipPro10 || Derivative source enhancement +10 || Strengthening this armor Original armor ID10 || - ||
|| originEquipPro11 || Derivative source enhancement +11 || Strengthening this armor Original armor ID11 || - ||
|| originEquipPro12 || Derivative source enhancement +12 || Strengthening this armor Original armor ID12 || - ||
|| originEquipPro13 || Derivative source enhancement +13 || Strengthening this armor Original armor ID13 || - ||
|| originEquipPro14 || Derivative source enhancement +14 || Strengthening this armor Original armor ID14 || - ||
|| originEquipPro15 || Derivative source enhancement +15 || Strengthening this armor Original armor ID15 || - ||
|| faceScaleM_ScaleX || Man profile enlargement scale ||  || - ||
|| faceScaleM_ScaleZ || Male face enlargement scale ||  || - ||
|| faceScaleM_MaxX || Maximum magnification for male profile enlargement ||  || - ||
|| faceScaleM_MaxZ || Maximum magnification for man's face enlargement ||  || - ||
|| faceScaleF_ScaleX || Female profile enlargement scale ||  || - ||
|| faceScaleF_ScaleZ || Female face enlargement scale ||  || - ||
|| faceScaleF_MaxX || Female profile enlargement maximum magnification ||  || - ||
|| faceScaleF_MaxZ || Maximum magnification for female face enlargement ||  || - ||
|| qwcId || QWCID || QWC parameter ID || - ||
|| equipModelId || Equipment model number || Equipment model number. || - ||
|| iconIdM || Icon ID for men || Men's menu icon ID. || - ||
|| iconIdF || Female icon ID || Women's menu icon ID. || - ||
|| knockBack || Knockback cut rate || Knockback reduction value. || - ||
|| knockbackBounceRate || Knockback repulsion rate || Knockback repulsion rate. || - ||
|| durability || Durability || Initial durability. || - ||
|| durabilityMax || Maximum durability || New durability. || - ||
|| pad03 || pad ||  || - ||
|| defFlickPower || Repellent defense || Used to determine the repulsion of enemy attacks. || - ||
|| defensePhysics || Physical defense || Physical attack damage protection. || - ||
|| defenseMagic || Magic defense || Magic attack damage protection. || - ||
|| defenseFire || Fire defense || Fire attack damage protection. || - ||
|| defenseThunder || Electric shock defense || Damage protection for electric shock attacks. || - ||
|| defenseSlash || Slash defense || Look at the attack type, and if it is a slashing attribute, reduce the defense power || - ||
|| defenseBlow || Strike defense || Look at the attack attribute, and if it is a hit attribute, reduce the defense power. || - ||
|| defenseThrust || Puncture defense || Look at the attack attribute, and if it is a hit attribute, reduce the defense power. || - ||
|| resistPoison || Poison resistance || Difficulty in getting poisonous || - ||
|| resistDisease || Epidemic resistance || Difficulty in getting sick || - ||
