||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| behaviorVariationId || Behavior variation ID || Used when determining the action parameter ID to be referenced during an attack || - ||
|| sortId || Sort ID || Sort ID (-1: Do not collect) (7 digits is the limit in s32 to add the enhancement level in the program) || - ||
|| wanderingEquipId || Wandering equipment ID || Replacement equipment ID for wandering ghosts. || - ||
|| weight || Weight [kg] || Weight [kg]. || - ||
|| weaponWeightRate || Equipment weight ratio || Equipment weight ratio || - ||
|| fixPrice || Repair price || Basic repair price || - ||
|| reinforcePrice || Enhanced price || Enhanced price || - ||
|| sellValue || Sale price || Selling price || - ||
|| correctStrength || Strength correction || Charapara correction value. || - ||
|| correctAgility || Agility correction || Charapara correction value. || - ||
|| correctMagic || Magic correction || Charapara correction value. || - ||
|| correctFaith || Faith correction || Charapara correction value. || - ||
|| physGuardCutRate || Physical attack cut rate when guarding || Set the damage cut rate when guarding for each attack || - ||
|| magGuardCutRate || Magic attack cut rate when guarding || If it is not a guard attack, enter 0 || - ||
|| fireGuardCutRate || Flame attack power cut rate when guarding || How much to cut the fire attack? || - ||
|| thunGuardCutRate || Electric shock attack power cut rate when guarding || How much to cut the electric shock attack? || - ||
|| spEffectBehaviorId0 || Special effect ID 0 on attack hit || Register when adding special effects to weapons || - ||
|| spEffectBehaviorId1 || Special effect ID1 on attack hit || Register when adding special effects to weapons || - ||
|| spEffectBehaviorId2 || Special effect ID2 on attack hit || Register when adding special effects to weapons || - ||
|| residentSpEffectId || Resident special effect ID || Resident special effect ID0 || - ||
|| residentSpEffectId1 || Resident special effect ID1 || Resident special effect ID1 || - ||
|| residentSpEffectId2 || Resident special effect ID2 || Resident special effect ID2 || - ||
|| materialSetId || Material ID || Material parameter ID required for weapon enhancement || - ||
|| originEquipWep || Derivation source || This weapon's enhancement source weapon ID || - ||
|| originEquipWep1 || Derivative source enhancement +1 || This weapon's enhancement source weapon ID1 || - ||
|| originEquipWep2 || Derivative source enhancement +2 || This weapon's enhancement source weapon ID2 || - ||
|| originEquipWep3 || Derivative source enhancement +3 || This weapon's enhancement source weapon ID3 || - ||
|| originEquipWep4 || Derivative source enhancement +4 || This weapon's enhancement source weapon ID 4 || - ||
|| originEquipWep5 || Derivative source enhancement +5 || This weapon's enhancement source weapon ID 5 || - ||
|| originEquipWep6 || Derivative source enhancement +6 || This weapon's enhancement source weapon ID 6 || - ||
|| originEquipWep7 || Derivative source enhancement +7 || This weapon's enhancement source weapon ID 7 || - ||
|| originEquipWep8 || Derivative source enhancement +8 || This weapon's enhancement source weapon ID8 || - ||
|| originEquipWep9 || Derivative source enhancement +9 || This weapon's enhancement source weapon ID 9 || - ||
|| originEquipWep10 || Derivative source enhancement +10 || This weapon's enhancement source weapon ID 10 || - ||
|| originEquipWep11 || Derivative source enhancement +11 || This weapon's enhancement source weapon ID 11 || - ||
|| originEquipWep12 || Derivative source enhancement +12 || This weapon's enhancement source weapon ID 12 || - ||
|| originEquipWep13 || Derivative source enhancement +13 || This weapon's enhancement source weapon ID 13 || - ||
|| originEquipWep14 || Derivative source enhancement +14 || This weapon's enhancement source weapon ID14 || - ||
|| originEquipWep15 || Derivative source enhancement +15 || This weapon's enhancement source weapon ID 15 || - ||
|| weakA_DamageRate || Special attack A damage multiplier || Damage multiplier for special attack A || - ||
|| weakB_DamageRate || Special attack B damage multiplier || Damage multiplier for special attack B || - ||
|| weakC_DamageRate || Special attack C damage multiplier || Damage multiplier for special attack C || - ||
|| weakD_DamageRate || Special attack D damage multiplier || Damage multiplier for special attack D || - ||
|| sleepGuardResist_MaxCorrect || Sleep tolerance cut rate_maximum correction value || Maximum value of cut rate correction value for attack power against sleep (set as special effect parameter) || - ||
|| madnessGuardResist_MaxCorrect || Madness resistance cut rate_maximum correction value || Maximum value of cut rate correction value for attack power against madness (set as special effect parameter) || - ||
|| saWeaponDamage || SA weapon attack power || Super Armor Basic Attack Power || - ||
|| equipModelId || Equipment model number || Equipment model number. || - ||
|| iconId || Icon ID || Menu icon ID. || - ||
|| durability || Durability || Initial durability. || - ||
|| durabilityMax || Maximum durability || New durability. || - ||
|| attackThrowEscape || Throw-through attack power basic value || Basic value of throw-through attack power || - ||
|| parryDamageLife || Parry occurrence time [frame] || Limit the life of parry damage. It does not last longer than it is set in TimeAct. || - ||
