||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| textID || text || Key specified ⇒ Item name, 1-line help ID. No key specified ⇒ Category name ID. No text specified ⇒ Not displayed in pad / key settings (operation list display only) || - ||
|| key || Key || User input key to be assigned. If not specified, it will be treated as a category display item. || CS_USER_INPUT_KEY ||
|| enableUnassign || lift || Is it possible to unassign (default: possible) || BOOL_CIRCLECROSS_TYPE ||
|| enablePadConfig || pad || Is it possible to change the pad operation assignment (default: possible)? || BOOL_CIRCLECROSS_TYPE ||
|| enableMouseConfig || mouse || Is it possible to change the mouse operation assignment (default: possible)? || BOOL_CIRCLECROSS_TYPE ||
|| group || group || Group for determining duplicate assignments. Cannot be duplicated in the same group || CS_KEY_ASSIGN_GROUP ||
|| mappingTextID || text || Item name to be displayed in the operation list. 0 :: Do not display in the list || - ||
|| viewPad || pad || Whether to display with key config (pad) (default: display) || BOOL_CIRCLECROSS_TYPE ||
|| viewKeyboardMouse || Mouse / keyboard || Whether to display with key config (mouse / keyboard) (default: display) || BOOL_CIRCLECROSS_TYPE ||
|| padding || padding || Is it possible to change the pad operation assignment (default: possible)? || - ||
