||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| TargetMapId || Map ID || Specify the target map ID. Legacy only. (m12_34_56_78 → 12345678). Initially it was only legacy, but it also supports open celestial sphere maps || - ||
|| TargetEventId || Natural disaster event ID || If you enter the target natural disaster event ID from "300, 310, 311 and 312", it will be [natural disaster replacement data]. If it is 0 or blank, it will be [Regional ID switching data] (SEQ16039). || - ||
|| SrcAssetId || Replacement source asset ID || Replacement source AssetId: AEG123_456_9999 → 123456 || - ||
|| SrcAssetPartsNo || Replacement source asset part ID || Replacement source PartsNo: AEG123_456_9999 → 9999 || - ||
|| DstAssetId || Replacement destination asset ID || Replacement destination AssetId: AEG123_456_9999 → 123456 || - ||
|| DstAssetPartsNo || Replacement destination asset part ID || Replacement destination PartsNo: AEG123_456_9999 → 9999 || - ||
|| SrcAssetIdRangeMin || Replacement source asset ID range specification Min || Replacement source asset ID range specification Min || - ||
|| SrcAssetIdRangeMax || Replacement source asset ID range specification Max || Replacement source asset ID range specification Max || - ||
|| DstAssetIdRangeMin || Replacement destination asset ID range specification Min || Replacement destination asset ID range specification Min || - ||
|| DstAssetIdRangeMax || Replacement destination asset ID range specification Max || Replacement destination asset ID range specification Max || - ||
|| LimitedMapRegionId0 || Local ID limit 0 || MapGD Local ID restriction 0: Valid only when "Natural disaster event ID" is 0. The part is valid only with the MapGD local ID you set (SEQ16039). || - ||
|| LimitedMapRegionId1 || Local ID limit 1 || MapGD Local ID Restriction 1: Valid only when "Natural Disaster Event ID" is 0. The part is valid only with the MapGD local ID you set (SEQ16039). || - ||
|| LimitedMapRegionId2 || Local ID limit 2 || MapGD Local ID restriction 2: Valid only when "Natural disaster event ID" is 0. The part is valid only with the MapGD local ID you set (SEQ16039). || - ||
|| LimitedMapRegionId3 || Local ID limit 3 || MapGD Local ID restriction 3: Valid only when "Natural disaster event ID" is 0. The part is valid only with the MapGD local ID you set (SEQ16039). || - ||
|| reserve || reserve || reserve || - ||
|| LimitedMapRegionAssetId || Local restricted asset ID || MapGD Valid assets specified by local ID: AssetId: AEG123_456_9999 → 123456 || - ||
|| LimitedMapRegioAssetPartsNo || Local restriction asset part ID || MapGD Valid assets specified by local ID: PartsNo: AEG123_456_9999 → 9999 || - ||
|| LimitedMapRegioAssetIdRangeMin || Local restriction asset ID range specification Min || MapGD Valid asset specification with local ID: Asset ID range specification Min || - ||
|| LimitedMapRegioAssetIdRangeMax || Local limit asset ID range specification Max || MapGD Valid asset specification for local ID: Asset ID range specification Max || - ||
