||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| soloPlayDeath_ToFadeOutTime || Solo play Fade out start time at death [seconds] || How many seconds have passed after "YOU DIED" is displayed at the time of death of solo play to start fading out? || - ||
|| partyGhostDeath_ToFadeOutTime || White, Black Ghost Fade Out Start Time [Seconds] || How many seconds have passed after "YOU DIED" is displayed when a white or black ghost dies to start fading out? || - ||
|| playerMaxHpLimit || Maximum player HP || It is used to calculate what percentage of the gauge length provided by the resource is used when displaying the HP gauge. || - ||
|| playerMaxMpLimit || Maximum player MP || It is used to calculate what percentage of the gauge length provided by the resource is used when displaying the MP gauge. || - ||
|| playerMaxSpLimit || Maximum player SP || It is used to calculate what percentage of the gauge length provided by the resource is used when displaying the SP gauge. || - ||
|| actionPanelChangeThreshold_Vel || Action panel switching judgment_player speed [m / sec] || Action panel Switchable player speed. Switchable if below this speed || - ||
|| actionPanelChangeThreshold_PassTime || Action panel switching judgment_player speed judgment time [sec] || Action panel Consideration time to increase the speed of switchable players. Use the average speed of this time (systematically up to 4 seconds) || - ||
|| kgIconVspace || Vertical position of the key guide icon || Vertical position of key guide icon (+: top,-: bottom) || - ||
|| worldMapCursorSelectRadius || Cursor selection radius [px] || If the cursor position is within this radius, it means that it is selected. || - ||
|| reserved8 || reserve || (dummy8) || - ||
|| decalPosOffsetX || Decal offset (left and right) || Decal display position offset left and right || - ||
|| decalPosOffsetY || Decal offset (up and down) || Decal display position offset vertical direction || - ||
|| targetStateSearchDurationTime || FE: Search icon display time [seconds] || The number of seconds it takes for the FE Search icon to start fading in and then fading out. || - ||
|| targetStateBattleDurationTime || FE: Battle icon display time [seconds] || The number of seconds it takes for the FE Battle icon to start fading in and then fading out. || - ||
|| worldMapCursorSpeed || Cursor movement speed [px / sec] || Movement speed when moving smoothly || - ||
|| worldMapCursorFirstDistance || First movement distance of the cursor [px] || Distance to move only once at the first input || - ||
|| worldMapCursorFirstDelay || Delay time for the first movement of the cursor [sec] || The time it takes to move only once at the first input || - ||
|| worldMapCursorWaitTime || Wait until the cursor moves [sec] || Waiting time from input to smooth movement || - ||
|| worldMapCursorSnapRadius || Cursor snap radius [px] || Move the cursor closer than this radius to start adsorption (for snap mode) || - ||
|| worldMapCursorSnapTime || Cursor snap time [sec] || The time it takes to start and complete adsorption || - ||
|| itemGetLogAliveTime || Item acquisition log: Display time of 1 line [sec] || Time to add one line of log and fade out. There is a timer for each line || - ||
|| playerMaxSaLimit || Upper limit of player maximum SA (trunk value) || It is used to calculate what percentage of the gauge length provided by the resource is used when displaying the SA gauge. || - ||
|| worldMap_IsChangeableLayerEventFlagId || Underground map switchable event flag ID || Specify the event flag ID that manages whether it is possible to switch to the underground map. When this event flag ID is ON, it is possible to switch to the underground map. || - ||
