||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| FFXID || FFXID || ID on the FFX editor || - ||
|| LifeTime || Survival time [frame] || Survival time. || - ||
|| HitSphereRadius || Hit ball radius [cm] || Hit ball radius. Unit cm || - ||
|| HitDamage || Landing damage || Amount of damage at the time of landing || - ||
|| reserve0 || reserve ||  || - ||
|| InitVelocity || Initial speed [m / s] || Initial speed [m / s] || - ||
|| distance || Range distance || Range distance || - ||
|| gravityInRange || Gravity within range || Gravity within range || - ||
|| gravityOutRange || Out-of-range gravity || Out-of-range gravity || - ||
|| mp || MP consumption || MP consumption || - ||
|| accelInRange || Acceleration within range || Acceleration within range || - ||
|| accelOutRange || Out-of-range acceleration || Out-of-range acceleration || - ||
|| reserve1 || reserve ||  || - ||
|| HitMissileID || Landing ID || Landing ID || - ||
|| DiedNaturaly || Will you die at the end of your life? || Will it use up its life without dying even if it lands? || ON_OFF ||
|| ExplosionDie || Will it land when the life has expired? || Will it land when the life has expired? || ON_OFF ||
|| behaviorId || Action ID on hit || Action ID given to the opponent when doing damage || - ||
|| reserve_last || reserve ||  || - ||
