||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| signVerticalOffset || Sign height offset [m] ||  || - ||
|| maxSignPosCorrectionRange || Sign position correction maximum distance [m] ||  || - ||
|| summonTimeoutTime || Summon desired timeout time [seconds] ||  || - ||
|| pad || reserve ||  || - ||
|| signPuddleActiveMessageIntervalSec || Message display interval [seconds] during registration of signature accumulation ||  || - ||
|| keyGuideHeight || Key guide vertical range [m] ||  || - ||
|| reloadSignIntervalTime1 || Waiting time for reacquisition of summoning sign (during depopulation) [seconds] ||  || - ||
|| reloadSignIntervalTime2 || Summon sign reacquisition waiting time [seconds] ||  || - ||
|| reloadSignTotalCount || Maximum number of summon signs you can have (overall) || Actually u8 is enough || - ||
|| reloadSignCellCount || Maximum number of summon signs you can have (cell) || Actually u8 is enough || - ||
|| updateSignIntervalTime || Summon sign update waiting time [seconds] ||  || - ||
|| basicExclusiveRange || Exclusive horizontal range for drawing between summon signs [m] ||  || - ||
|| basicExclusiveHeight || Exclusive vertical range for drawing between summon signs [m] ||  || - ||
|| previewChrWaitingTime || Summon sign character model drawing waiting time [seconds] ||  || - ||
|| signVisibleRange || Summon sign PC drawing distance [m] ||  || - ||
|| cellGroupHorizontalRange || Summon sign acquisition cell range (horizontal) || Actually u8 is enough || - ||
|| cellGroupTopRange || Summon sign acquisition cell range (upward) || Actually u8 is enough || - ||
|| cellGroupBottomRange || Summon sign acquisition cell range (downward) || Actually u8 is enough || - ||
|| minWhitePhantomLimitTimeScale || White spirit sign display time limit lower limit magnification ||  || - ||
|| minSmallPhantomLimitTimeScale || Small spirit sign display time limit lower limit magnification ||  || - ||
|| whiteKeywordLimitTimeScale || White spirit sign keyword extension magnification ||  || - ||
|| smallKeywordLimitTimeScale || Ghost sign keyword extension magnification ||  || - ||
|| blackKeywordLimitTimeScale || Dark Spirit Sign Keyword Extension Magnification ||  || - ||
|| dragonKeywordLimitTimeScale || Dragon Spirit Sign Keyword Extension Magnification ||  || - ||
|| singGetMax || Sign acquisition limit || Actually u8 is enough || - ||
|| signDownloadSpan || Sign download span ||  || - ||
|| signUpdateSpan || Sign upload span ||  || - ||
|| signPad || reserve ||  || - ||
|| maxBreakInTargetListCount || Number of intruders acquired ||  || - ||
|| breakInRequestIntervalTimeSec || Intrusion request interval [seconds] ||  || - ||
|| breakInRequestTimeOutSec || Intrusion request timeout time [seconds] ||  || - ||
|| pad || reserve ||  || - ||
|| keyGuideRange || Key guide horizontal range [m] ||  || - ||
|| keyGuideHeight || Key guide vertical range [m] ||  || - ||
|| reloadSignTotalCount || Number of blood characters acquired (overall) || Actually u8 is enough || - ||
|| reloadNewSignCellCount || Number of blood characters acquired (cell, new order) || Actually u8 is enough || - ||
|| reloadRandomSignCellCount || Number of blood characters acquired (cell, random) || Actually u8 is enough || - ||
|| maxSignTotalCount || Upper limit of the number of blood characters that can be possessed (overall) || Actually u16 is enough || - ||
|| maxSignCellCount || Upper limit of the number of blood characters that can be possessed (cell) || Actually u8 is enough || - ||
|| basicExclusiveRange || Blood character drawing exclusive horizontal range [m] ||  || - ||
|| basicExclusiveHeight || Blood character drawing exclusive vertical range [m] ||  || - ||
|| signVisibleRange || Blood character PC drawing distance [m] ||  || - ||
|| maxWriteSignCount || Maximum number of written blood characters history || Actually u8 is enough || - ||
|| maxReadSignCount || Maximum number of blood characters read || Actually u8 is enough || - ||
|| reloadSignIntervalTime || Blood character reacquisition waiting time [seconds] ||  || - ||
|| cellGroupHorizontalRange || Blood character acquisition cell range (horizontal) || Actually u8 is enough || - ||
|| cellGroupTopRange || Blood character acquisition cell range (upward) || Actually u8 is enough || - ||
|| cellGroupBottomRange || Blood character acquisition cell range (downward) || Actually u8 is enough || - ||
|| lifeTime || Blood character data retention period upper limit [seconds] || Actually u16 is enough || - ||
|| downloadSpan || Blood character download interval ||  || - ||
|| downloadEvaluationSpan || Blood character evaluation number Download interval ||  || - ||
|| pad || reserve ||  || - ||
|| deadingGhostStartPosThreshold || Allowable distance between bloodstain position and illusion start position [m] || If the distance between the bloodstain position and the illusion start position is farther than this value, the server will not be registered. || - ||
|| keyGuideHeight || Key guide vertical range [m] ||  || - ||
|| keyGuideRangePlayer || Player Bloodstain Key Guide Horizontal Range [m] ||  || - ||
|| keyGuideHeightPlayer || Player Bloodstain Key Guide Vertical Range [m] ||  || - ||
|| reloadSignTotalCount || Number of blood stains acquired (overall) || Actually u8 is enough || - ||
|| reloadSignCellCount || Number of blood stains obtained (cell) || Actually u8 is enough || - ||
|| maxSignTotalCount || Upper limit of the number of blood stains that can be possessed (overall) || Actually u16 is enough || - ||
|| maxSignCellCount || Maximum number of blood stains (cell) || Actually u8 is enough || - ||
|| reloadSignIntervalTime || Waiting time for reacquisition of blood stains [seconds] ||  || - ||
|| signVisibleRange || Bloodstain PC drawing distance [m] ||  || - ||
|| basicExclusiveRange || Exclusive horizontal range for drawing between blood stains [m] ||  || - ||
|| basicExclusiveHeight || Exclusive vertical range for drawing between blood stains [m] ||  || - ||
|| cellGroupHorizontalRange || Blood stain acquisition cell range (horizontal) || Actually u8 is enough || - ||
|| cellGroupTopRange || Blood stain acquisition cell range (upward) || Actually u8 is enough || - ||
|| cellGroupBottomRange || Blood stain acquisition cell range (downward) || Actually u8 is enough || - ||
|| lifeTime || Bloodstain data retention period upper limit [seconds] || Actually u16 is enough || - ||
