||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| behaviorVariationId || Behavior variation ID || Variation ID used when calculating the action ID. || - ||
|| resistCorrectId_poison || Poison resistance correction rule ID || When the abnormal condition is activated, the maximum value is temporarily changed by using the set value of the abnormal condition resistance correction parameter. || - ||
|| nameId || NPC name ID || NPC Name Message Parameter ID || - ||
|| turnVellocity || Turning speed [deg / sec] || Rotational speed [degrees / second] that can turn in 1 second. || - ||
|| hitHeight || Height per map [m] || The height of the capsule per character. || - ||
|| hitRadius || Radius per map [m] || Radius of capsule per character. || - ||
|| weight || Weight [kg] || weight. || - ||
|| hitYOffset || Display position Y offset [m] || Offset of the model display position in the Y (height) direction. It can be floated from the hit position. || - ||
|| hp || HP || Death grace. || - ||
|| mp || MP || Magic usage. || - ||
|| getSoul || Seoul || The amount of soul that a character can get at the time of death. || - ||
|| itemLotId_enemy || Item lottery ID_for enemies || Specify the lottery ID_for enemies of the item to be acquired at the time of death. Please set only one of them. || - ||
|| itemLotId_map || Item lottery ID_for map || Specify for the lottery ID_map of the item to be acquired at the time of death. Please set only one of them. || - ||
|| maxAnkleRollAngle || FootIK Ankle limit angle_roll || FootIK Ankle roll limit angle (-1: no limit) || - ||
|| chrHitGroupAndNavimesh || Per group and used navigation mesh || Set the hit judgment with other characters (If you hit the ragdoll, other characters will hit the ragdoll) || CHR_HIT_GROUP ||
|| faceIconId || NPC face image ID || NPC face image ID (0: invalid value (default)). Specify the ID of the face image to be displayed in the "Sign browsing menu", "Kick menu", etc. If it is an invalid value, the dress-up model is displayed. || - ||
|| deactivateDist || Deactivate distance setting [m] || Distance at which the character is deactivated (valid only for open placement characters) || - ||
|| chrActivateConditionParamId || Character appearance condition Para || Character appearance condition parameter ID || CHR_ACTIVATE_CONDITION_TYPE ||
|| footIkErrorHeightLimit || FootIK Appearance up / down limit || FootIK Appearance up / down limit || - ||
|| humanityLotId || Human nature lottery ID || Specify the lottery ID of human nature to be acquired at the time of death || - ||
|| spEffectID0 || Resident special effect 0 || Resident special effect 0 || - ||
|| spEffectID1 || Resident special effect 1 || Resident special effect 1 || - ||
|| spEffectID2 || Resident special effect 2 || Resident special effect 2 || - ||
|| spEffectID3 || Resident special effect 3 || Resident special effect 3 || - ||
|| spEffectID4 || Resident special effect 4 || Resident special effect 4 || - ||
|| spEffectID5 || Resident special effect 5 || Resident special effect 5 || - ||
|| spEffectID6 || Resident special effect 6 || Resident special effect 6 || - ||
|| spEffectID7 || Resident special effect 7 || Resident special effect 7 || - ||
|| GameClearSpEffectID || Special effect ID for lap bonus || Special effect ID for lap bonus || - ||
|| physGuardCutRate || Physical attack cut rate [%] || Set the damage cut rate when guarding for each attack || - ||
|| magGuardCutRate || Magic attack cut rate [%] || If it is not a guard attack, enter 0 || - ||
|| fireGuardCutRate || Flame attack power cut rate [%] || How much to cut the fire attack? || - ||
|| thunGuardCutRate || Electric shock attack power cut rate [%] || How much to cut the electric shock attack? || - ||
|| animIdOffset || Anime ID offset 1 || All animations will be played with IDs shifted by this number. If not, the original anime ID is referenced. || - ||
|| lockGazePoint0 || Gaze point of Rock Damipoli 0 || Gaze at the Damipoli specified when locking the Lock-on Damipoly 22X (-1: Invalid) || - ||
|| lockGazePoint1 || Gaze point of Rock Damipoli 1 || Gaze at the Damipoli specified when locking the Lock-on Damipoly 22X (-1: Invalid) || - ||
|| lockGazePoint2 || Gaze point of Rock Damipoli 2 || Gaze at the Damipoli specified when locking the Lock-on Damipoly 22X (-1: Invalid) || - ||
|| lockGazePoint3 || Gaze point of Rock Damipoli 3 || Gaze at the Damipoli specified when locking the Lock-on Damipoly 22X (-1: Invalid) || - ||
|| lockGazePoint4 || Gaze point of Rock Damipoli 4 || Gaze at the Damipoli specified when locking the Lock-on Damipoly 22X (-1: Invalid) || - ||
|| lockGazePoint5 || Gaze point of Rock Damipoli 5 || Gaze at the Damipoli specified when locking the Lock-on Damipoly 22X (-1: Invalid) || - ||
|| networkWarpDist || Network warp judgment distance [m / sec] || Distance to warp instead of complementary movement in network synchronization. Faster people (ex dragons) need to be longer. || - ||
|| dbgBehaviorR1 || R1 || Register the ID from the action parameter tool and specify the action. || - ||
|| dbgBehaviorL1 || L1 || Register the ID from the action parameter tool and specify the action. || - ||
|| dbgBehaviorR2 || R2 || Register the ID from the action parameter tool and specify the action. || - ||
