||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| matchAreaId || Simple match area ID || Simple match area ID || - ||
|| multiPlayStartLimitEventFlagId || Multiplayer start limit event flag ID || Multiplayer start limit event flag ID || - ||
|| otherDisableDistance || Other distances that cannot be invaded by spirits || Other distances that cannot be invaded by spirits. The intrusion position is searched for the intrusion points within the "other ghost invasion impossible distance" to the "other ghost invasion range upper limit" from the host position. || - ||
|| pcPositionSaveLimitEventFlagId || PC position save limit event flag ID || PC position save restriction event flag ID (flag ON: PC position save valid flag OFF: PC position save invalid 0: PC position save always valid) || - ||
|| bossAreaId || Boss area ID || Areas with the same ID are treated as the same boss area. || - ||
|| cultNpcWhiteGhostEntityId_byFree || NPC White Spirit Summon Ritual Summon NPC Entity ID Free Frame ID || NPC White Spirit Summon Ritual Summon The beginning of the free frame ID used as the NPC's entity ID || - ||
|| bMapGuradianRegion || Is it a map guardian area? || Whether to increase or decrease the frame of the map protection area || ON_OFF ||
|| bYellowCostumeRegion || Is it the old man sign area of yellow robe? || Is it the old man sign area of yellow robe? || ON_OFF ||
|| multiPlayStartLimitEventFlagId_targetFlagState || Flag state to limit || Flag state that limits "multiplayer start restriction event flag ID" || ON_OFF ||
|| breakInLimitEventFlagId_1_targetFlagState || Flag state to limit || Flag state that limits "intrusion restriction event flag ID1" || ON_OFF ||
|| whiteSignLimitEventFlagId_1_targetFlagState || Flag state to limit || Flag state that limits "white sign restriction event flag ID1" || ON_OFF ||
|| redSignLimitEventFlagId_1_targetFlagState || Flag state to limit || Flag state that limits "red sign limit event flag ID1" || ON_OFF ||
|| breakInLimitEventFlagId_2_targetFlagState || Flag state to limit || Flag state that limits "intrusion restriction event flag ID2" || ON_OFF ||
|| breakInLimitEventFlagId_3_targetFlagState || Flag state to limit || Flag state that limits "intrusion restriction event flag ID3" || ON_OFF ||
|| whiteSignLimitEventFlagId_2_targetFlagState || Flag state to limit || Flag state that limits "white sign restriction event flag ID2" || ON_OFF ||
|| warpItemUsePermitBonfireId_1 || Warp item permit bonfire ID1 || Bonfire entity ID1 used to determine whether to allow the use of warp items || - ||
|| warpItemUsePermitBonfireId_2 || Warp item permit bonfire ID2 || Bonfire entity ID 2 used to determine permission to use warp items || - ||
|| warpItemUsePermitBonfireId_3 || Warp item permit bonfire ID3 || Bonfire entity ID 3 used to determine permission to use warp items || - ||
|| warpItemUsePermitBonfireId_4 || Warp item permit bonfire ID4 || Bonfire entity ID 4 used to determine permission to use warp items || - ||
|| warpItemUsePermitBonfireId_5 || Warp item permit bonfire ID5 || Bonfire entity ID 5 used to determine permission to use warp items || - ||
|| warpItemProhibitionEventFlagId_1 || Warp item prohibited event flag ID1 || Event flag ID 1 to determine the prohibition of warp items. Warp item permission Higher priority than judgment by bonfire ID || - ||
|| warpItemProhibitionEventFlagId_2 || Warp item prohibited event flag ID2 || Event flag ID 2 to determine the prohibition of warp items. Warp item permission Higher priority than judgment by bonfire ID || - ||
|| warpItemProhibitionEventFlagId_3 || Warp item prohibited event flag ID3 || Event flag ID 3 to determine the prohibition of warp items. Warp item permission Higher priority than judgment by bonfire ID || - ||
|| warpItemProhibitionEventFlagId_4 || Warp item prohibited event flag ID4 || Event flag ID 4 to determine the prohibition of warp items. Warp item permission Higher priority than judgment by bonfire ID || - ||
|| warpItemProhibitionEventFlagId_5 || Warp Item Ban Event Flag ID 5 || Event flag ID 5 to determine the prohibition of warp items. Warp item permission Higher priority than judgment by bonfire ID || - ||
|| enableBloodstain || Effective bloodstain / death illusion || Effective bloodstain / death illusion || BOOL_CIRCLECROSS_TYPE ||
|| enableBloodMessage || Blood character valid || Blood character valid || BOOL_CIRCLECROSS_TYPE ||
|| enableGhost || Phantom effective || Phantom effective || BOOL_CIRCLECROSS_TYPE ||
|| dispMask00 || Map display_display setting M00 || Whether to display on map M00 || BOOL_CIRCLECROSS_TYPE ||
|| dispMask01 || For map display_Display setting M01 || Whether to display on map M01 || BOOL_CIRCLECROSS_TYPE ||
|| whiteSignLimitEventFlagId_3_targetFlagState || Flag state to limit || Flag state that limits "white sign restriction event flag ID3" || ON_OFF ||
|| redSignLimitEventFlagId_2_targetFlagState || Flag state to limit || Flag state that limits "red sign limit event flag ID2" || ON_OFF ||
