||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| a000_rightArmIO || Right arm_inside and outside || Right arm_inside and outside || - ||
|| a000_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a000_leftArmIO || Left arm_inside and outside || Left arm_inside and outside || - ||
|| a000_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a002_rightArmIO || Right arm_inside and outside || Right arm_inside and outside || - ||
|| a002_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a002_leftArmIO || Left arm_inside and outside || Left arm_inside and outside || - ||
|| a002_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a003_rightArmIO || Right arm_inside and outside || Right arm_inside and outside || - ||
|| a003_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a003_leftArmIO || Left arm_inside and outside || Left arm_inside and outside || - ||
|| a003_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a010_rightArmIO || Right arm_inside and outside || Right arm_inside and outside || - ||
|| a010_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a010_leftArmIO || Left arm_inside and outside || Left arm_inside and outside || - ||
|| a010_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a012_rightArmIO || Right arm_inside and outside || Right arm_inside and outside || - ||
|| a012_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a012_leftArmIO || Left arm_inside and outside || Left arm_inside and outside || - ||
|| a012_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a013_rightArmIO || Right arm_inside and outside || Right arm_inside and outside || - ||
|| a013_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a013_leftArmIO || Left arm_inside and outside || Left arm_inside and outside || - ||
|| a013_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a014_rightArmIO || Right arm_inside and outside || Right arm_inside and outside || - ||
|| a014_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a014_leftArmIO || Left arm_inside and outside || Left arm_inside and outside || - ||
|| a014_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a015_rightArmIO || Right arm_inside and outside || Right arm_inside and outside || - ||
|| a015_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a015_leftArmIO || Left arm_inside and outside || Left arm_inside and outside || - ||
|| a015_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a016_rightArmIO || Right arm_inside and outside || Right arm_inside and outside || - ||
|| a016_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a016_leftArmIO || Left arm_inside and outside || Left arm_inside and outside || - ||
|| a016_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| pad || pad ||  || - ||
