||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| a000_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a000_rightWristFB || Right wrist_front and back || Right wrist_front and back || - ||
|| a000_rightWristIO || Right wrist_inside and outside || Right wrist_inside and outside || - ||
|| a000_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a000_leftWristFB || Left wrist_front and back || Left wrist_front and back || - ||
|| a000_leftWristIO || Left wrist_inside and outside || Left wrist_inside and outside || - ||
|| a002_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a002_rightWristFB || Right wrist_front and back || Right wrist_front and back || - ||
|| a002_rightWristIO || Right wrist_inside and outside || Right wrist_inside and outside || - ||
|| a002_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a002_leftWristFB || Left wrist_front and back || Left wrist_front and back || - ||
|| a002_leftWristIO || Left wrist_inside and outside || Left wrist_inside and outside || - ||
|| a003_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a003_rightWristFB || Right wrist_front and back || Right wrist_front and back || - ||
|| a003_rightWristIO || Right wrist_inside and outside || Right wrist_inside and outside || - ||
|| a003_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a003_leftWristFB || Left wrist_front and back || Left wrist_front and back || - ||
|| a003_leftWristIO || Left wrist_inside and outside || Left wrist_inside and outside || - ||
|| a010_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a010_rightWristFB || Right wrist_front and back || Right wrist_front and back || - ||
|| a010_rightWristIO || Right wrist_inside and outside || Right wrist_inside and outside || - ||
|| a010_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a010_leftWristFB || Left wrist_front and back || Left wrist_front and back || - ||
|| a010_leftWristIO || Left wrist_inside and outside || Left wrist_inside and outside || - ||
|| a012_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a012_rightWristFB || Right wrist_front and back || Right wrist_front and back || - ||
|| a012_rightWristIO || Right wrist_inside and outside || Right wrist_inside and outside || - ||
|| a012_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a012_leftWristFB || Left wrist_front and back || Left wrist_front and back || - ||
|| a012_leftWristIO || Left wrist_inside and outside || Left wrist_inside and outside || - ||
|| a013_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a013_rightWristFB || Right wrist_front and back || Right wrist_front and back || - ||
|| a013_rightWristIO || Right wrist_inside and outside || Right wrist_inside and outside || - ||
|| a013_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a013_leftWristFB || Left wrist_front and back || Left wrist_front and back || - ||
|| a013_leftWristIO || Left wrist_inside and outside || Left wrist_inside and outside || - ||
|| a014_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a014_rightWristFB || Right wrist_front and back || Right wrist_front and back || - ||
|| a014_rightWristIO || Right wrist_inside and outside || Right wrist_inside and outside || - ||
|| a014_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a014_leftWristFB || Left wrist_front and back || Left wrist_front and back || - ||
|| a014_leftWristIO || Left wrist_inside and outside || Left wrist_inside and outside || - ||
|| a015_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a015_rightWristFB || Right wrist_front and back || Right wrist_front and back || - ||
|| a015_rightWristIO || Right wrist_inside and outside || Right wrist_inside and outside || - ||
|| a015_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a015_leftWristFB || Left wrist_front and back || Left wrist_front and back || - ||
|| a015_leftWristIO || Left wrist_inside and outside || Left wrist_inside and outside || - ||
|| a016_rightArmFB || Right arm_front and back || Right arm_front and back || - ||
|| a016_rightWristFB || Right wrist_front and back || Right wrist_front and back || - ||
|| a016_rightWristIO || Right wrist_inside and outside || Right wrist_inside and outside || - ||
|| a016_leftArmFB || Left arm_front and back || Left arm_front and back || - ||
|| a016_leftWristFB || Left wrist_front and back || Left wrist_front and back || - ||
|| a016_leftWristIO || Left wrist_inside and outside || Left wrist_inside and outside || - ||
|| pad || pad ||  || - ||
