||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| ContactLandSeId || Ground contact SEID || SEID pronounced when contacting the ground after death. (-1: Invalid). SEID category is fixed to c || - ||
|| ContactLandAddSeId || Ground contact additional SEID (for material) || Additional SEID (for material) that sounds when it comes into contact with the ground after death. (-1: Invalid). SEID category is fixed to c || - ||
|| ContactLandPlayNum || Number of ground contact pronunciations || Number of pronunciations when touching the ground after death || - ||
|| IsEnablePlayCountPerRigid || Do you count the number of ground contact sounds in rigid body units? || Do you count the number of pronunciations of surface contact after death in rigid body units? (○: Rigid body unit, ×: Character unit) || BOOL_CIRCLECROSS_TYPE ||
|| pad || pad ||  || - ||
|| ContactLandMinImpuse || Ground contact minimum impulse value || Minimum impulse value required for ground contact determination after death || - ||
|| ContactLandMinSpeed || Ground contact minimum velocity value || Minimum speed value required for ground contact determination after death || - ||
|| ContactPlayerSeId || Player contact SEID || SEID that sounds when you come into contact with Player after death. (-1: Invalid). SEID category is fixed to c || - ||
|| ContactPlayerMinImpuse || Player minimum contact impulse value || Minimum impulse value required for Player contact judgment after death || - ||
|| ContactPlayerMinSpeed || Player minimum contact speed value || Minimum speed value required for Player contact judgment after death || - ||
|| ContactCheckRigidIdx0 || Contact judgment rigid body IDX0 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx1 || Contact judgment rigid body IDX1 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx2 || Contact judgment rigid body IDX2 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx3 || Contact judgment rigid body IDX3 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx4 || Contact judgment rigid body IDX4 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx5 || Contact judgment rigid body IDX5 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx6 || Contact judgment rigid body IDX6 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx7 || Contact judgment rigid body IDX7 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx8 || Contact judgment rigid body IDX8 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx9 || Contact judgment rigid body IDX9 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx10 || Contact judgment rigid body IDX10 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx11 || Contact judgment rigid body IDX11 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx12 || Contact judgment rigid body IDX12 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx13 || Contact judgment rigid body IDX13 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx14 || Contact judgment rigid body IDX14 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
|| ContactCheckRigidIdx15 || Contact judgment rigid body IDX15 || Specify the INDEX of the rigid body for contact judgment. Specify only the rigid body to which you want to attach SE || - ||
